ccat,n_total,n_included,n_linked,n_A,n_B,included_A,included_B,retention_rate,linkage_rate,retention_A,retention_B
Phase II,584,323,328,0,584,0,323,0.553082191780822,0.5616438356164384,,0.553082191780822
Phase I,339,232,232,0,339,0,232,0.6843657817109144,0.6843657817109144,,0.6843657817109144
Launched,278,157,158,278,0,157,0,0.564748201438849,0.5683453237410072,0.564748201438849,
Phase III,153,78,79,0,153,0,78,0.5098039215686274,0.5163398692810458,,0.5098039215686274
