pool,n_total,n_included,n_linked,n_A,n_B,included_A,included_B,retention_rate,linkage_rate,retention_A,retention_B
B,1076,633,639,0,1076,0,633,0.5882899628252788,0.5938661710037175,,0.5882899628252788
A,278,157,158,278,0,157,0,0.564748201438849,0.5683453237410072,0.564748201438849,
