comparison_uid,gene_trait_uid,gene,candidate_trait_name,candidate_source,comparison_population,comparison_reference_population,n_variants,sign_concordance,lead_sign_concordant,pearson_r,median_abs_eur_z,median_variant_se_ratio,median_eur_variant_se,median_comparison_variant_se,n_variant_effect_rows,unit_analysis_role,is_primary_threshold,primary_approval_eligible,n_concordant,n_discordant,variant_stratum
cmp_381d86345f6977a1,gt_9974caf98cb25074,TSLP,Asthma,GBMI,CSA,SAS,8,1.0,True,0.7516387421723121,7.055335415802423,5.48416116710014,0.011807999999999999,0.038692000000000004,8,PRIMARY,True,True,8,0,5-9
cmp_3d5d09a2a4352628,gt_4129badd0cfdf3a3,PPARD,Body mass index (BMI),Pan-UKB,MID,MID,3,1.0,True,0.8098699215877208,8.039538714991764,18.99661508704062,0.004136,0.07857,3,PRIMARY,True,True,3,0,1-4
cmp_44f6beefa09c6ba0,gt_37bb10a4689a1bb1,ANGPTL4,Triglycerides,Pan-UKB,AFR,AFR,4,0.25,False,0.2386337849829679,9.328791790235943,7.612483772227582,0.0034545,0.03979,4,PRIMARY,True,True,1,3,1-4
cmp_480d6daf54baee46,gt_d1d00e9dc71a2499,PIK3CA,Platelet count,Pan-UKB,AFR,AFR,3,0.3333333333333333,True,0.4153906365677468,6.799850634802092,7.650103519668737,0.002802,0.02173,3,PRIMARY,True,True,1,2,1-4
cmp_4ab05482f9c4b139,gt_5b728915d445b416,PPARG,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,CSA,8,0.625,True,0.24664082848684266,8.875514584008936,7.3056608260685945,0.003144,0.025509999999999998,8,PRIMARY,True,True,5,3,5-9
cmp_4af752414605f4d3,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,CSA,SAS,5,0.8,True,0.964347301766002,8.032834731849691,5.437535831552614,0.0067692,0.043328,5,PRIMARY,True,True,4,1,5-9
cmp_4cecb255412bf289,gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,MID,MID,24,0.6666666666666666,True,0.5747623384981435,16.01162486938349,14.59535027764179,0.004562,0.06873000000000001,24,PRIMARY,True,True,16,8,20+
cmp_50dfe6ec581edb6f,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,AFR,AFR,6,0.8333333333333334,True,0.9334851817244874,7.77498850121534,7.341658951418406,0.0058484,0.0359735,6,PRIMARY,True,True,5,1,5-9
cmp_5181e0eccfa7681d,gt_c2f3696fd5d03431,PNPLA3,Alanine aminotransferase,Pan-UKB,CSA,CSA,6,0.8333333333333334,True,0.7563052169967764,9.384940573245292,6.664626952312295,0.0041975,0.031175,6,PRIMARY,True,True,5,1,5-9
cmp_5235bc263b35ea04,gt_aff18fde645e6a6f,IL4R,Asthma,GBMI,AMR,AMR,5,0.6,True,0.3520844846081194,7.1986126695909425,7.281009647659053,0.0056092,0.049658,5,PRIMARY,True,True,3,2,5-9
cmp_55e72b65deff56f6,gt_e89d07b40f69aeb9,APOB,Triglycerides,Pan-UKB,MID,MID,9,0.7777777777777778,True,0.7215517331199378,6.628448584736653,14.298323036187115,0.004222,0.05655,9,PRIMARY,True,True,7,2,5-9
cmp_562bf6b74a067fe1,gt_8eacc233dce7b2c8,IL5,Asthma,GBMI,AMR,AMR,7,0.7142857142857143,True,0.4420400983972484,7.359988937397523,8.654450977710926,0.0068207,0.059805,7,PRIMARY,True,True,5,2,5-9
cmp_58426512e8b1ab61,gt_f49766f3ae4b8a2f,SREBF1,Glycated haemoglobin (HbA1c),Pan-UKB,MID,MID,3,0.3333333333333333,True,0.2748209689448825,5.8036543821616595,15.368655057428679,0.003229,0.04837,3,PRIMARY,True,True,1,2,1-4
cmp_58feb2f9cd1731f6,gt_f57de0955fec90d0,APOC3,Triglycerides,Pan-UKB,CSA,CSA,16,0.875,True,0.9177813306948112,14.74149424303135,6.455019667275019,0.0052145,0.036849999999999994,16,PRIMARY,True,True,14,2,10-19
cmp_593ae8985cf9fb81,gt_dab1180e9c6840b2,VEGFA,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,CSA,4,1.0,True,0.9651396532985425,7.663192529408654,6.678302476597738,0.0025395,0.017195000000000002,4,PRIMARY,True,True,4,0,1-4
cmp_596f61a009141a06,gt_8eacc233dce7b2c8,IL5,Asthma,GBMI,CSA,SAS,4,0.5,True,0.22068726076375197,10.480336490954908,6.915633699514221,0.0063355500000000006,0.039813,4,PRIMARY,True,True,2,2,1-4
cmp_5b2b67e88398e55b,gt_2fdb14cf300437e0,JAK2,Platelet count,Pan-UKB,EAS,EAS,7,0.5714285714285714,True,-0.16354346423354,11.551499348109518,19.264589905362776,0.003835,0.08379,7,PRIMARY,True,True,4,3,5-9
cmp_6a904cea8c198f4a,gt_8af78a546ba0cf73,DGAT1,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,CSA,3,1.0,True,0.9860716852637603,7.182036888532478,6.856357927786499,0.002706,0.0185,3,PRIMARY,True,True,3,0,1-4
cmp_6d7ba361d906c9f1,gt_3de9daa3443abcc6,FGF21,Triglycerides,Pan-UKB,CSA,CSA,3,0.6666666666666666,False,-0.9854413253844365,6.613730759833862,6.718788174932811,0.004093,0.0209,3,PRIMARY,True,True,2,1,1-4
cmp_753051b5ab931966,gt_5a525d6a0e697a02,THPO,Platelet count,Pan-UKB,EAS,EAS,9,0.6666666666666666,True,0.5918092743127867,9.709352517985613,11.821041593848307,0.003475,0.04335,9,PRIMARY,True,True,6,3,5-9
cmp_795667e1dbbc5ad6,gt_e31188cc7b292717,MC4R,Body mass index (BMI),Pan-UKB,MID,MID,5,0.6,True,0.1712086294378819,7.543166215935095,15.273972602739725,0.004807,0.09009,5,PRIMARY,True,True,3,2,5-9
cmp_7aa41dc81cd9b3ff,gt_aff18fde645e6a6f,IL4R,Asthma,GBMI,CSA,SAS,5,1.0,True,0.9269989472163475,7.1986126695909425,5.733739954351037,0.0056092,0.034659,5,PRIMARY,True,True,5,0,5-9
cmp_7e3415964666180a,gt_d690685489730e56,PCSK9,LDL direct,Pan-UKB,CSA,CSA,14,0.7857142857142857,False,0.3341593201093126,9.352808745856894,6.901423995839801,0.004945,0.036225,14,PRIMARY,True,True,11,3,10-19
cmp_812c7bbd23890504,gt_aff18fde645e6a6f,IL4R,Asthma,GBMI,AFR,AFR,5,0.8,True,0.2677788674999373,7.1986126695909425,6.993573395899214,0.0056092,0.036871,5,PRIMARY,True,True,4,1,5-9
cmp_836c47786aded226,gt_709069d1feb6b869,ESR1,Heel bone mineral density (BMD),Pan-UKB,CSA,CSA,23,0.6086956521739131,False,-0.028082990774641364,8.556531284302963,9.871526740364505,0.005699,0.07718,23,PRIMARY,True,True,14,9,20+
cmp_85dc45cb0e4ef696,gt_bc3d66c41e611627,ADRB1,"Systolic blood pressure, automated reading",Pan-UKB,EAS,EAS,3,1.0,True,0.44197734897933644,6.855546687948923,14.133180252583237,0.002613,0.03693,3,PRIMARY,True,True,3,0,1-4
cmp_88c6906de1ea612c,gt_5a525d6a0e697a02,THPO,Platelet count,Pan-UKB,AFR,AFR,9,0.7777777777777778,True,0.9136832659946373,9.709352517985613,6.5670816044260025,0.003475,0.0335,9,PRIMARY,True,True,7,2,5-9
cmp_899b25b2a6459d69,gt_38057e29398d09a6,CSF3,Neutrophill count,Pan-UKB,CSA,CSA,17,0.7647058823529411,True,0.6597316631381744,11.96132266921332,7.42918062747487,0.005578,0.04878,17,PRIMARY,True,True,13,4,10-19
cmp_89cac3a7cbb61501,gt_e4eae46191577e93,APOC3,LDL direct,Pan-UKB,CSA,CSA,6,0.8333333333333334,True,0.7822545277542745,7.542571275417009,6.090092256730476,0.0042525,0.022335,6,PRIMARY,True,True,5,1,5-9
cmp_8a50a9834b33764d,gt_e879daaa8470efb6,CSF3R,White blood cell (leukocyte) count,Pan-UKB,CSA,CSA,3,1.0,True,0.9997350702758202,10.764150943396226,7.344322344322343,0.003714,0.03556,3,PRIMARY,True,True,3,0,1-4
cmp_91602ff38973e5c1,gt_e31188cc7b292717,MC4R,Body mass index (BMI),Pan-UKB,CSA,CSA,4,1.0,True,0.9621998308496804,9.139205741120023,5.654026234572299,0.0042615,0.030795,4,PRIMARY,True,True,4,0,1-4
cmp_96ce964d4704c481,gt_37bb10a4689a1bb1,ANGPTL4,Triglycerides,Pan-UKB,CSA,CSA,4,0.75,True,-0.4084735847752618,9.328791790235943,6.925480538778641,0.0037314999999999996,0.02402,4,PRIMARY,True,True,3,1,1-4
cmp_9d8c13f3b6460d45,gt_c2f3696fd5d03431,PNPLA3,Alanine aminotransferase,Pan-UKB,AFR,AFR,7,0.42857142857142855,True,0.024640174822031468,7.985153764581124,9.717783066984019,0.002941,0.04055,7,PRIMARY,True,True,3,4,5-9
cmp_9de93e69fed596e7,gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,CSA,CSA,22,0.7727272727272727,True,0.8170550248705017,16.55512093065631,6.435281331712094,0.0043055,0.029855,22,PRIMARY,True,True,17,5,20+
cmp_a0dab9d33f7b3552,gt_62933438673c2307,IL33,Asthma,GBMI,CSA,SAS,4,1.0,True,0.887966125176096,11.619782995743611,5.681691425883479,0.0099442,0.0619575,4,PRIMARY,True,True,4,0,1-4
cmp_a3680a01bb140f75,gt_f9d79082a44b2223,TP53,Glycated haemoglobin (HbA1c),Pan-UKB,MID,MID,7,0.14285714285714285,False,-0.282483682058072,6.250873515024458,16.29924393155591,0.00257,0.04824,7,PRIMARY,True,True,1,6,5-9
cmp_a496afa2fb1d58f1,gt_72ede56b8ff4d0df,KCNJ1,"Estimated glomerular filtration rate, serum creatinine",Pan-UKB,MID,MID,3,1.0,True,0.7291319207254167,6.233842538190364,17.87718719049191,0.003029,0.05415,3,PRIMARY,True,True,3,0,1-4
cmp_a54e8bec4ce3739c,gt_9974caf98cb25074,TSLP,Asthma,GBMI,EAS,EAS,5,0.8,True,0.8545435671282952,7.643122362869199,2.4002290173459433,0.0053891,0.01356,5,PRIMARY,True,True,4,1,5-9
cmp_a6275c7613e223b1,gt_fd539737d1f5d9cb,F11,Venous thromboembolism,GBMI,AFR,AFR,9,0.7777777777777778,True,0.15323345945112482,7.570854078896974,5.372462657985446,0.010446,0.061817,9,PRIMARY,True,True,7,2,5-9
cmp_a65923a60135b609,gt_d79e322e54d14839,GDF15,Body mass index (BMI),Pan-UKB,AFR,AFR,3,0.0,False,-0.682253149634475,7.203389830508476,7.431506849315069,0.00292,0.02079,3,PRIMARY,True,True,0,3,1-4
cmp_a76b488e4d6fc321,gt_b5915a3fe7e0c8ef,IL13,Asthma,GBMI,EAS,EAS,3,0.6666666666666666,True,0.8970625996731812,9.963045991103016,2.0587411117727417,0.0057759,0.012027,3,PRIMARY,True,True,2,1,1-4
cmp_a8cdbbc6ae7dad91,gt_38057e29398d09a6,CSF3,Neutrophill count,Pan-UKB,MID,MID,20,0.8,True,0.5951334985688861,10.782601189461733,20.580489354581054,0.0056485,0.14065,20,PRIMARY,True,True,16,4,20+
cmp_ab8ccf0cc0913f47,gt_b5915a3fe7e0c8ef,IL13,Asthma,GBMI,AFR,AFR,3,1.0,True,0.8446422303714256,9.963045991103016,7.392441004865043,0.0057759,0.042698,3,PRIMARY,True,True,3,0,1-4
cmp_ad635d062a0cb6f4,gt_72ede56b8ff4d0df,KCNJ1,"Estimated glomerular filtration rate, serum creatinine",Pan-UKB,CSA,CSA,3,0.3333333333333333,False,-0.9638160308459226,6.233842538190364,5.799059929494712,0.003029,0.01974,3,PRIMARY,True,True,1,2,1-4
cmp_add0fff00fe30c88,gt_fd539737d1f5d9cb,F11,Venous thromboembolism,GBMI,EAS,EAS,6,0.6666666666666666,True,0.26161527682343894,10.754445835084157,11.863445461003483,0.0099601,0.121505,6,PRIMARY,True,True,4,2,5-9
cmp_af469cf6305c50e3,gt_62933438673c2307,IL33,Asthma,GBMI,EAS,EAS,5,0.8,True,0.9564630794442351,9.934847978616773,4.438569449593194,0.0055141,0.027768,5,PRIMARY,True,True,4,1,5-9
cmp_b2879043e48e8130,gt_128ad7c7ffd40309,CSF3R,Neutrophill count,Pan-UKB,MID,MID,8,0.625,True,0.4781702607288028,7.36952813766012,18.592507997413783,0.003858,0.09315999999999999,8,PRIMARY,True,True,5,3,5-9
cmp_b64efda1167deddf,gt_08f7168b97dea82d,GIPR,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,CSA,4,0.75,True,0.8264667884966058,7.457791500616331,6.6001190166251344,0.0033889999999999997,0.022405,4,PRIMARY,True,True,3,1,1-4
cmp_ba35246f787ddd2f,gt_f9d79082a44b2223,TP53,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,CSA,6,0.5,True,0.5968810884784045,6.379747102339815,6.659320592480231,0.002561,0.01927,6,PRIMARY,True,True,3,3,5-9
cmp_c19fd6087066e5ad,gt_f57de0955fec90d0,APOC3,Triglycerides,Pan-UKB,AFR,AFR,9,0.8888888888888888,True,0.5090225673868997,22.199794731440303,7.5844930417495044,0.004171,0.0277,9,PRIMARY,True,True,8,1,5-9
cmp_c466933c6cddc2c2,gt_4129badd0cfdf3a3,PPARD,Body mass index (BMI),Pan-UKB,CSA,CSA,3,1.0,True,0.8676956991711037,8.039538714991764,8.679435483870968,0.004136,0.03596,3,PRIMARY,True,True,3,0,1-4
cmp_c46c48b6b8c8c0da,gt_e89d07b40f69aeb9,APOB,Triglycerides,Pan-UKB,AFR,AFR,6,0.8333333333333334,True,0.8650115003538756,7.521019696914893,8.064825344576363,0.003194,0.037275,6,PRIMARY,True,True,5,1,5-9
cmp_c5f9b26ab4ae44ee,gt_5da1ad3edfdad65e,LPA,LDL direct,Pan-UKB,CSA,CSA,7,1.0,True,0.7556577697834872,6.840439957812265,6.819118252987227,0.003824,0.03435,7,PRIMARY,True,True,7,0,5-9
cmp_c80e5bff31014a68,gt_3de9daa3443abcc6,FGF21,Triglycerides,Pan-UKB,MID,MID,3,0.6666666666666666,False,-0.7604882465331254,6.613730759833862,14.780937740199846,0.004093,0.07025,3,PRIMARY,True,True,2,1,1-4
cmp_cdc7ff976577622c,gt_e581489a9e9ecfc2,EGLN3,Haemoglobin concentration,Pan-UKB,CSA,CSA,3,1.0,True,0.9554981971920753,5.656614785992217,6.88715953307393,0.002123,0.01497,3,PRIMARY,True,True,3,0,1-4
cmp_cf4e49ee6917e9e7,gt_e89d07b40f69aeb9,APOB,Triglycerides,Pan-UKB,CSA,CSA,7,0.7142857142857143,True,0.770033605338057,8.157333850029064,6.622747529548538,0.003277,0.02543,7,PRIMARY,True,True,5,2,5-9
cmp_d046571b4d69c0ca,gt_44be73ebd0d0a1ce,PPARG,Triglycerides,Pan-UKB,CSA,CSA,3,1.0,True,0.9932787260832245,8.826185101580135,5.7992177314211215,0.003101,0.01662,3,PRIMARY,True,True,3,0,1-4
cmp_d17bec475888ffb1,gt_25de020ab85c0f34,APOA1,LDL direct,Pan-UKB,CSA,CSA,6,0.8333333333333334,True,0.7822545277542745,7.542571275417009,6.090092256730476,0.0042525,0.022335,6,PRIMARY,True,True,5,1,5-9
cmp_d642ad82b0d16e5e,gt_1a54193972b2aa21,SOST,Heel bone mineral density (BMD),Pan-UKB,CSA,CSA,7,0.8571428571428571,True,0.34361012487056414,6.776638430673206,12.689438555162937,0.005872,0.09696,7,PRIMARY,True,True,6,1,5-9
cmp_d6a94e5b9cd24b66,gt_b5915a3fe7e0c8ef,IL13,Asthma,GBMI,AMR,AMR,4,1.0,True,0.9570048071298843,7.739875627104517,7.2282106598211024,0.00831705,0.059336,4,PRIMARY,True,True,4,0,1-4
cmp_d763b6b831bf0c0e,gt_1c018fe9f451c0ea,ANGPTL8,LDL direct,Pan-UKB,CSA,CSA,15,0.8,False,0.5118699947303479,8.365323771356254,7.154571159283695,0.005371,0.02424,15,PRIMARY,True,True,12,3,10-19
cmp_d8eb00402944028b,gt_2fdb14cf300437e0,JAK2,Platelet count,Pan-UKB,CSA,CSA,13,0.6923076923076923,False,0.009328909427302556,8.56544502617801,7.654454621149043,0.006594,0.05901,13,PRIMARY,True,True,9,4,10-19
cmp_d98864543ce360b3,gt_5b728915d445b416,PPARG,Glycated haemoglobin (HbA1c),Pan-UKB,MID,MID,9,0.4444444444444444,False,0.11501420054906777,8.256410256410255,16.37336504161712,0.002726,0.04237,9,PRIMARY,True,True,4,5,5-9
cmp_d9f3563910f04212,gt_e31188cc7b292717,MC4R,Body mass index (BMI),Pan-UKB,AFR,AFR,5,0.8,True,0.7798620334918254,7.543166215935095,11.18785105055128,0.004807,0.03772,5,PRIMARY,True,True,4,1,5-9
cmp_dae661d54c93c969,gt_95af7ca2e8a7e102,ABCA1,LDL direct,Pan-UKB,CSA,CSA,3,1.0,True,0.997484624340003,8.796212804328224,5.565476190476191,0.00336,0.0187,3,PRIMARY,True,True,3,0,1-4
cmp_dfe8569d96c5c6ef,gt_f57de0955fec90d0,APOC3,Triglycerides,Pan-UKB,MID,MID,16,0.8125,True,0.6534441844138823,13.82504048098092,16.365626863149572,0.0055695,0.07783999999999999,16,PRIMARY,True,True,13,3,10-19
cmp_e15f0ef829b34627,gt_0f50d04f150328dc,GDF15,Glycated haemoglobin (HbA1c),Pan-UKB,MID,MID,3,0.3333333333333333,False,-0.68686091406353,6.128538638102524,17.172980700500357,0.002798,0.04805,3,PRIMARY,True,True,1,2,1-4
cmp_e3f2f647f7cf5c3c,gt_46885db53b6cf531,LEPR,Body mass index (BMI),Pan-UKB,MID,MID,3,0.6666666666666666,False,-0.640217394218009,5.695628997867804,17.297056199821586,0.004671,0.06872,3,PRIMARY,True,True,2,1,1-4
cmp_e54439ed586b3a5c,gt_3de9daa3443abcc6,FGF21,Triglycerides,Pan-UKB,AFR,AFR,3,0.3333333333333333,True,0.9975213171757961,6.613730759833862,11.970334736420124,0.004093,0.05972,3,PRIMARY,True,True,1,2,1-4
cmp_e854c14fa9f40a21,gt_9974caf98cb25074,TSLP,Asthma,GBMI,AFR,AFR,7,0.8571428571428571,True,0.7542449711494569,7.643122362869199,5.31721437716873,0.0053891,0.047013,7,PRIMARY,True,True,6,1,5-9
cmp_eafab6e5a8a920a4,gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,AFR,AFR,18,0.8888888888888888,True,0.8628880096460942,15.987258713521967,7.165723821280912,0.003734,0.031335,18,PRIMARY,True,True,16,2,10-19
cmp_ebe379c15a6da6e9,gt_9974caf98cb25074,TSLP,Asthma,GBMI,AMR,AMR,9,0.8888888888888888,True,0.8277795289516797,7.157627910079381,7.757031119986688,0.01185,0.093224,9,PRIMARY,True,True,8,1,5-9
cmp_ee4314019136489d,gt_08f7168b97dea82d,GIPR,Glycated haemoglobin (HbA1c),Pan-UKB,MID,MID,5,1.0,True,0.8995234827811822,6.314340765207817,15.800399201596806,0.003633,0.06073,5,PRIMARY,True,True,5,0,5-9
cmp_f0cf4964e6b5f030,gt_b328521a0423f5c5,ANGPTL3,Triglycerides,Pan-UKB,CSA,CSA,14,1.0,True,0.8123026135098116,8.506099914720938,7.746399799496032,0.006365,0.042859999999999995,14,PRIMARY,True,True,14,0,10-19
cmp_f1d366955c52855b,gt_fd539737d1f5d9cb,F11,Venous thromboembolism,GBMI,AMR,AMR,8,0.5,False,-0.019294171950593145,6.492392430187684,6.215113734911782,0.012562,0.074422,8,PRIMARY,True,True,4,4,5-9
cmp_f27a27d52a7eddbe,gt_44be73ebd0d0a1ce,PPARG,Triglycerides,Pan-UKB,MID,MID,3,0.3333333333333333,False,-0.5730171740590061,8.826185101580135,14.06732673267327,0.003101,0.04854,3,PRIMARY,True,True,1,2,1-4
cmp_f6c8d3d544ec5e35,gt_2a7e2fce1378c79e,SLC22A12,Gout,GBMI,AFR,AFR,3,0.3333333333333333,False,-0.8710916706867925,7.663890991672975,4.4574790676623675,0.010568,0.072679,3,PRIMARY,True,True,1,2,1-4
cmp_f91dafdc919ddc0c,gt_fdbaedc51aaa106f,HMGCR,LDL direct,Pan-UKB,CSA,CSA,11,0.8181818181818182,True,0.7449023433699999,7.667188548423171,9.275446775446776,0.005001,0.04775,11,PRIMARY,True,True,9,2,10-19
cmp_face308db9f33a70,gt_3ef75cbdd99b6f07,IL12B,Platelet count,Pan-UKB,AFR,AFR,3,1.0,True,0.02162541068031855,6.91699604743083,11.088476740650655,0.003289,0.03647,3,PRIMARY,True,True,3,0,1-4
cmp_fe5114e73f9be5e8,gt_d1d00e9dc71a2499,PIK3CA,Platelet count,Pan-UKB,EAS,EAS,3,1.0,True,0.9998340600432907,6.92820133234641,17.129054520358867,0.002898,0.04964,3,PRIMARY,True,True,3,0,1-4
