cutoff,model,n_pairs,n_launched,n_not_launched,or_ancestry,ci_low,ci_high,p
2012,M1_ancestry_only,215,46,169,1.0733949341751663,0.7742264748063454,1.488164926162076,0.6709147497726721
2012,M2_plus_study_volume,215,46,169,1.0034009467373504,0.7051630348127289,1.4277740185016812,0.984947768162373
2014,M1_ancestry_only,271,59,212,1.1957448918401143,0.9420241031088297,1.5178017649900246,0.1417866527390688
2014,M2_plus_study_volume,271,59,212,1.1070570711208927,0.8329894754853396,1.4712975311058885,0.4834124350474178
2016,M1_ancestry_only,348,75,273,1.1121494549706774,0.9460608933245985,1.3073961929078448,0.19771906609198775
2016,M2_plus_study_volume,348,75,273,1.0417156011673372,0.8659461228579515,1.2531627142505686,0.6646841588247825
2018,M1_ancestry_only,584,123,461,1.1290364553236714,1.0110994952230679,1.2607298524747186,0.031075723923800206
2018,M2_plus_study_volume,584,123,461,1.074098766875488,0.9264965158576989,1.2452158656370378,0.3432510923457889
