model,variable,irr,ci_low,ci_high,p
study_count_only,log_studies,1.6522833875248275,1.5808869012624835,1.7269043032175997,5.56420995863813e-110
sample_size_only,log_cumulative_n,1.2852530766221089,1.2471991700428622,1.3244680646394489,3.3660124278846863e-60
both,log_studies,1.5530685150469898,1.4498179670729456,1.663672176238732,4.3706194066127055e-36
both,log_cumulative_n,1.0485491975639565,1.0065918061407504,1.0922554833098665,0.02288568277562021
