model,variable,n,or,ci_low,ci_high,p
M1_ancestry_only,n_ancestries_all,735,1.1283582340645373,1.0339255972042611,1.2314157883545567,0.006765439245102878
M2_sample_size_only,log_cumulative_n,735,1.3280678996314015,1.1778264154525884,1.497473925606961,3.6201766438330533e-06
M3_ancestry_plus_sample_size,n_ancestries_all,735,0.9991573357655209,0.9004624594446435,1.108669629858596,0.9873244640976901
M3_ancestry_plus_sample_size,log_cumulative_n,735,1.3288810877656716,1.1531197065310006,1.5314324570289521,8.552853284063824e-05
M4_ancestry_plus_study_count,n_ancestries_all,735,1.0204528850190147,0.900795431510408,1.1560050752006934,0.7503566589161819
M4_ancestry_plus_study_count,log_studies,735,1.3773253534893506,1.0405848748853104,1.823037385175955,0.02521307252841167
