variant_stratum,comparisons,variants,concordant,mean_comparison_concordance,pooled_sign_concordance
1-4,42,137,103,0.748015873015873,0.7518248175182481
5-9,46,302,217,0.7233436853002071,0.7185430463576159
10-19,11,165,132,0.7988453243132387,0.8
20+,5,110,80,0.7315226802183324,0.7272727272727273
