comparison_population,comparisons,variants,concordant,mean_comparison_concordance,median_comparison_concordance,pooled_sign_concordance
AFR,22,126,88,0.6395021645021646,0.7222222222222222,0.6984126984126984
AMR,7,44,31,0.7195011337868481,0.7142857142857143,0.7045454545454546
CSA,44,338,271,0.8292990454609845,0.8257575757575758,0.8017751479289941
EAS,11,55,42,0.7883116883116883,0.8,0.7636363636363637
MID,20,151,100,0.6434623015873016,0.6666666666666666,0.6622516556291391
