estimator,observed_median,null_median_mean,null_median_median,null_ci_low,null_ci_high,empirical_p_observed_or_lower,n_simulations
naive,0.6238495076025421,0.99035532915057,0.9898140978307867,0.9096668130270911,1.070675289843611,0.000999000999000999,1000
fiqt,0.6343049913925966,1.0141045605517562,1.0140240553431652,0.9232100598480177,1.1056921170006808,0.000999000999000999,1000
deming,0.6271835557831823,0.9991215164343145,0.9996328290100877,0.9377388641827201,1.0616061932159098,0.000999000999000999,1000
