ti_uid,ancestry,n_individuals,total_n,p
NFKB1-D003424,East Asian,4853.0,149711.0,0.03241578775106706
NFKB1-D003424,European,141890.0,149711.0,0.9477593496803842
NFKB1-D003424,Middle Eastern,739.0,149711.0,0.0049361770344196485
NFKB1-D003424,South Asian,2229.0,149711.0,0.014888685534129089
NFKB1-D003876,European,459000.0,459000.0,1.0
NFKB1-D005923,East Asian,7617.0,15596.0,0.488394460117979
NFKB1-D005923,European,7979.0,15596.0,0.5116055398820211
NFKB1-D008181,East Asian,7617.0,15596.0,0.488394460117979
NFKB1-D008181,European,7979.0,15596.0,0.5116055398820211
NOS2-D015212,East Asian,6543.0,96486.0,0.06781294695603507
NOS2-D015212,European,86640.0,96486.0,0.8979541073316336
NOS2-D015212,Middle Eastern,890.0,96486.0,0.009224136144103808
NOS2-D015212,South Asian,2413.0,96486.0,0.025008809568227514
NOTCH2-D001943,European,197755.0,197755.0,1.0
NOTCH4-D015179,East Asian,142778.0,268256.0,0.5322453179052845
NOTCH4-D015179,European,125478.0,268256.0,0.4677546820947155
NOX4-D003928,European,4666.0,4666.0,1.0
NPY-D009765,European,2615206.0,2615206.0,1.0
NR1H4-D006937,African,2958.0,765749.0,0.00386288457444933
NR1H4-D006937,East Asian,145732.0,765749.0,0.19031301379433732
NR1H4-D006937,European,608825.0,765749.0,0.7950712309124791
NR1H4-D006937,Hispanic/Latin American,7795.0,765749.0,0.01017957581400694
NR1H4-D006937,South Asian,439.0,765749.0,0.0005732949047272671
NR1H4-D006949,African,2958.0,765749.0,0.00386288457444933
NR1H4-D006949,East Asian,145732.0,765749.0,0.19031301379433732
NR1H4-D006949,European,608825.0,765749.0,0.7950712309124791
NR1H4-D006949,Hispanic/Latin American,7795.0,765749.0,0.01017957581400694
NR1H4-D006949,South Asian,439.0,765749.0,0.0005732949047272671
NR1H4-D007249,European,855581.0,855581.0,1.0
NR1H4-D008107,African,6015.0,1546107.0,0.0038904163812724475
NR1H4-D008107,European,1532756.0,1546107.0,0.9913647632408366
NR1H4-D008107,South Asian,7336.0,1546107.0,0.004744820377891051
NR1H4-D015228,African,2958.0,765749.0,0.00386288457444933
NR1H4-D015228,East Asian,145732.0,765749.0,0.19031301379433732
NR1H4-D015228,European,608825.0,765749.0,0.7950712309124791
NR1H4-D015228,Hispanic/Latin American,7795.0,765749.0,0.01017957581400694
NR1H4-D015228,South Asian,439.0,765749.0,0.0005732949047272671
NR3C1-D001249,European,2285900.0,2285900.0,1.0
NR3C1-D009765,European,186825.0,186825.0,1.0
NR3C1-D029424,European,2285900.0,2285900.0,1.0
NR3C1-D065631,European,2285900.0,2285900.0,1.0
OPRM1-D009293,African,32088.0,476650.0,0.06731983635791461
OPRM1-D009293,European,444562.0,476650.0,0.9326801636420854
OPRM1-D009765,East Asian,165419.0,2705947.0,0.0611316481808402
OPRM1-D009765,European,2540528.0,2705947.0,0.9388683518191598
OPRM1-D019966,African,32088.0,476650.0,0.06731983635791461
OPRM1-D019966,European,444562.0,476650.0,0.9326801636420854
P2RX7-D007249,European,436939.0,436939.0,1.0
P2RY2-D001249,European,370000.0,370000.0,1.0
PARP1-D008545,European,411948.0,411948.0,1.0
PDE10A-D001714,European,2034.0,2034.0,1.0
PDE3A-D001249,European,1141950.0,1141950.0,1.0
PDE3A-D015228,African,2958.0,2642738.0,0.0011192937022133863
PDE3A-D015228,East Asian,111667.0,2642738.0,0.042254283247147466
PDE3A-D015228,European,2519879.0,2642738.0,0.9535107150235854
PDE3A-D015228,Hispanic/Latin American,7795.0,2642738.0,0.002949592430274965
PDE3A-D015228,South Asian,439.0,2642738.0,0.00016611559677879532
PDE3A-D020521,East Asian,174686.0,658807.0,0.2651550454078357
PDE3A-D020521,European,484121.0,658807.0,0.7348449545921644
PDE3A-D029424,European,1141950.0,1141950.0,1.0
PDE4A-D001850,East Asian,3117.0,25764.0,0.12098276665114113
PDE4A-D001850,European,22647.0,25764.0,0.8790172333488588
PDE4A-D013167,East Asian,3117.0,25764.0,0.12098276665114113
PDE4A-D013167,European,22647.0,25764.0,0.8790172333488588
PDE4A-D015228,European,437878.0,437878.0,1.0
PDE4A-D015535,East Asian,3117.0,25764.0,0.12098276665114113
PDE4A-D015535,European,22647.0,25764.0,0.8790172333488588
PDE4B-D001249,European,304152.0,304152.0,1.0
PDE4B-D003093,European,48950.0,48950.0,1.0
PDE4B-D003424,European,48950.0,48950.0,1.0
PDE4B-D015212,European,48950.0,48950.0,1.0
PDE4B-D015228,African,6014.0,1147559.0,0.005240689149751778
PDE4B-D015228,European,1134209.0,1147559.0,0.9883666112156325
PDE4B-D015228,South Asian,7336.0,1147559.0,0.006392699634615737
PDE4B-D029424,European,304152.0,304152.0,1.0
PDE4C-D015228,African,6014.0,2130855.0,0.002822341266768504
PDE4C-D015228,East Asian,208674.0,2130855.0,0.09792970427363663
PDE4C-D015228,European,1908831.0,2130855.0,0.8958052049529415
PDE4C-D015228,South Asian,7336.0,2130855.0,0.0034427495066534325
PDGFRA-D008269,European,68423.0,68423.0,1.0
PGR-D008593,East Asian,43861.0,406299.0,0.1079525177270926
PGR-D008593,European,362438.0,406299.0,0.8920474822729074
PIK3C2B-D009369,European,475312.0,475312.0,1.0
PIK3CA-D013922,European,1398315.0,1398315.0,1.0
PIK3CD-D013922,European,408112.0,408112.0,1.0
PKLR-D000740,European,1826149.0,1826149.0,1.0
PPARA-D006937,European,1067125.0,1067125.0,1.0
PPARA-D006938,European,1067125.0,1067125.0,1.0
PPARA-D006949,European,1067125.0,1067125.0,1.0
PPARA-D009765,East Asian,330838.0,910826.0,0.36322854200472976
PPARA-D009765,European,579988.0,910826.0,0.6367714579952702
PPARA-D015228,European,1067125.0,1067125.0,1.0
PPARA-D050171,European,1067125.0,1067125.0,1.0
PPARD-D009765,European,406697.0,406697.0,1.0
PPARG-D006073,East Asian,129405.0,1683304.0,0.07687559704010684
PPARG-D006073,European,1553899.0,1683304.0,0.9231244029598932
PPARG-D024821,African,12738.0,48118.0,0.2647242196267509
PPARG-D024821,European,35380.0,48118.0,0.7352757803732491
PRKCB-D001172,East Asian,253008.0,311292.0,0.8127674337920666
PRKCB-D001172,European,58284.0,311292.0,0.18723256620793338
PRKCB-D008180,East Asian,208370.0,208370.0,1.0
PSCA-D013274,East Asian,441123.0,917239.0,0.4809248189403198
PSCA-D013274,European,476116.0,917239.0,0.5190751810596802
PSCA-D014523,European,524157.0,524157.0,1.0
