replicate,estimator,n_valid_comparisons,mean_slope,median_slope
0,naive,104,0.9939715759899753,0.9414260202589239
0,fiqt,104,1.0119820721558679,0.9488715496953632
0,deming,104,0.949065427754155,0.9645874132534988
1,naive,104,0.9941764452515469,0.9816169195624374
1,fiqt,104,1.013242743188481,0.9861667369029827
1,deming,104,1.0369518099235124,1.0248441277823055
2,naive,104,1.0832122399208806,1.0746261632939074
2,fiqt,104,1.1008201764313144,1.1051930780023334
2,deming,104,1.1384347441140332,1.0759025602441996
3,naive,104,0.7419385626973478,0.9113686990323397
3,fiqt,104,0.7550711418312098,0.9450141999721278
3,deming,104,0.8894614388764013,0.923985633284183
4,naive,104,0.9902070745011847,0.9624566843500938
4,fiqt,104,1.0063760339194066,0.9868729848047446
4,deming,104,0.9902025909464951,0.9766349652560671
5,naive,104,0.9439031655385607,0.9273937902577312
5,fiqt,104,0.961568699379478,0.9390903977629723
5,deming,104,1.0483986224893127,1.0087013840561225
6,naive,104,0.9464030500815921,0.9667986535324096
6,fiqt,104,0.9639676686835164,0.9881528394676502
6,deming,104,1.067310830964516,0.9999857701761692
7,naive,104,0.7569106681463946,0.9519831751079846
7,fiqt,104,0.770641757096119,0.9628473947890879
7,deming,104,0.8809124177701305,0.9384491300869414
8,naive,104,1.0091578932675374,1.0276229240045425
8,fiqt,104,1.024421767038469,1.0530078493594006
8,deming,104,1.0403213412029078,1.01901358776811
9,naive,104,1.0162785859303585,0.9745475436060587
9,fiqt,104,1.0338005265704022,0.9992207918903462
9,deming,104,0.9878468674930887,1.0008657518490696
10,naive,104,1.0677282525258942,1.0197916881937905
10,fiqt,104,1.0871077538885774,1.0395345146541275
10,deming,104,1.041816801524396,0.9636489003715296
11,naive,104,1.0267553660689777,0.9482176349006797
11,fiqt,104,1.0438779324631597,0.9747154862174022
11,deming,104,0.9239176464252947,0.9329153849161087
12,naive,104,0.994104817343106,1.0236380127132805
12,fiqt,104,1.0117486206498925,1.03535584741513
12,deming,104,1.053156170739189,1.0201264748085799
13,naive,104,0.9979563567515719,0.9928063766045518
13,fiqt,104,1.0152346973721447,1.0221191603282285
13,deming,104,1.0156716384475586,0.9841030615718558
14,naive,104,1.059509223920189,1.0593200705723904
14,fiqt,104,1.0785128596031546,1.0988072061373064
14,deming,104,0.9662751198678297,1.0162679171575586
15,naive,104,1.1374408233893123,1.054088352161705
15,fiqt,104,1.1561080035987201,1.1070272292222945
15,deming,104,1.0632700643115938,1.0587941990226493
16,naive,104,0.8960835218173059,0.9665454706612537
16,fiqt,104,0.9124261805838612,0.9752764651716717
16,deming,104,0.9618391228047939,1.0054846688137802
17,naive,104,0.9911323097650675,0.9900270021966866
17,fiqt,104,1.0076792470937008,1.0117624374756864
17,deming,104,1.0102644480305412,1.0024395499657448
18,naive,104,0.8274391663245967,0.8118693157070282
18,fiqt,104,0.843618387500747,0.8214764086900722
18,deming,104,0.8704133381308705,0.9445984935298025
19,naive,104,1.0808254868975438,1.0247679849844524
19,fiqt,104,1.0985260260844443,1.0382180671023153
19,deming,104,1.0992700480433724,1.0310007985206675
20,naive,104,0.9066848654716756,0.9196487968111534
20,fiqt,104,0.922586665075538,0.9412661691043357
20,deming,104,0.9301363256918432,0.9797349542557117
