ancestry,records,percent
European,1409,56.337465013994404
East Asian,467,18.672530987604958
African,168,6.717313074770092
NR,162,6.4774090363854455
Hispanic/Latin American,123,4.918032786885246
South Asian,85,3.398640543782487
Other Asian,34,1.3594562175129947
Other,18,0.7197121151539384
Oceanian,15,0.5997600959616154
Native American,14,0.5597760895641744
Middle Eastern,6,0.23990403838464613
