exposure,model_id,n,n_A,n_B,exposure_sd,observed_beta,observed_cluster_se,observed_or_per_unit,observed_or_per_sd,target_power,alpha,mde_beta_per_unit,mde_or_per_unit,mde_beta_per_sd,mde_or_per_sd,effect_or_per_sd,approximate_power
n_ancestries_all,M1,790,157,633,1.9274719610480286,0.11836889902766443,0.05630804686067553,1.1256592894005888,1.256277186939493,0.8,0.05,0.1577517917456809,1.1708755376641944,0.3040621553948878,1.355353295990987,,
n_ancestries_all,M1,790,157,633,1.9274719610480286,0.11836889902766443,0.05630804686067553,1.1256592894005888,1.256277186939493,,0.05,,,,,1.1,0.1419418859995324
n_ancestries_all,M1,790,157,633,1.9274719610480286,0.11836889902766443,0.05630804686067553,1.1256592894005888,1.256277186939493,,0.05,,,,,1.2,0.3898447577400157
n_ancestries_all,M1,790,157,633,1.9274719610480286,0.11836889902766443,0.05630804686067553,1.1256592894005888,1.256277186939493,,0.05,,,,,1.25,0.5382886874941251
n_ancestries_all,M1,790,157,633,1.9274719610480286,0.11836889902766443,0.05630804686067553,1.1256592894005888,1.256277186939493,,0.05,,,,,1.5,0.9621280700685614
n_ancestries_all,M2,790,157,633,1.9274719610480286,0.02525263671021865,0.07698629099245426,1.0255741854866975,1.0498777713984062,0.8,0.05,0.2156836548418034,1.2407098243669012,0.41572419716393694,1.5154678408980866,,
n_ancestries_all,M2,790,157,633,1.9274719610480286,0.02525263671021865,0.07698629099245426,1.0255741854866975,1.0498777713984062,,0.05,,,,,1.1,0.09843858217937229
n_ancestries_all,M2,790,157,633,1.9274719610480286,0.02525263671021865,0.07698629099245426,1.0255741854866975,1.0498777713984062,,0.05,,,,,1.2,0.2330156497443865
n_ancestries_all,M2,790,157,633,1.9274719610480286,0.02525263671021865,0.07698629099245426,1.0255741854866975,1.0498777713984062,,0.05,,,,,1.25,0.32439342202370325
n_ancestries_all,M2,790,157,633,1.9274719610480286,0.02525263671021865,0.07698629099245426,1.0255741854866975,1.0498777713984062,,0.05,,,,,1.5,0.7800876599519335
n_ancestries_all,M3,790,157,633,1.9274719610480286,0.026325958224814677,0.07703059593192613,1.0266755472767146,1.0520520037603962,0.8,0.05,0.2158077789053172,1.2408638358700121,0.4159634428160511,1.5158304533649387,,
n_ancestries_all,M3,790,157,633,1.9274719610480286,0.026325958224814677,0.07703059593192613,1.0266755472767146,1.0520520037603962,,0.05,,,,,1.1,0.09838172701034908
n_ancestries_all,M3,790,157,633,1.9274719610480286,0.026325958224814677,0.07703059593192613,1.0266755472767146,1.0520520037603962,,0.05,,,,,1.2,0.23280167597873258
n_ancestries_all,M3,790,157,633,1.9274719610480286,0.026325958224814677,0.07703059593192613,1.0266755472767146,1.0520520037603962,,0.05,,,,,1.25,0.32408339025196575
n_ancestries_all,M3,790,157,633,1.9274719610480286,0.026325958224814677,0.07703059593192613,1.0266755472767146,1.0520520037603962,,0.05,,,,,1.5,0.7796221533115183
n_ancestries_all,M4,790,157,633,1.9274719610480286,0.021387344206489443,0.08408272552303356,1.0216176927024603,1.0420849920579913,0.8,0.05,0.23556492092398082,1.26562354404003,0.45404478008746907,1.574668509689834,,
n_ancestries_all,M4,790,157,633,1.9274719610480286,0.021387344206489443,0.08408272552303356,1.0216176927024603,1.0420849920579913,,0.05,,,,,1.1,0.0904677428058589
n_ancestries_all,M4,790,157,633,1.9274719610480286,0.021387344206489443,0.08408272552303356,1.0216176927024603,1.0420849920579913,,0.05,,,,,1.2,0.202880140441144
n_ancestries_all,M4,790,157,633,1.9274719610480286,0.021387344206489443,0.08408272552303356,1.0216176927024603,1.0420849920579913,,0.05,,,,,1.25,0.28033504808129683
n_ancestries_all,M4,790,157,633,1.9274719610480286,0.021387344206489443,0.08408272552303356,1.0216176927024603,1.0420849920579913,,0.05,,,,,1.5,0.7060503287478626
n_ancestries_initial,M1,790,157,633,1.8763564718891663,0.16158382978039876,0.053831233280624634,1.1753709851201406,1.3541701953226652,0.8,0.05,0.15081278743178886,1.1627789508700388,0.2829785497412821,1.3270766953733977,,
n_ancestries_initial,M1,790,157,633,1.8763564718891663,0.16158382978039876,0.053831233280624634,1.1753709851201406,1.3541701953226652,,0.05,,,,,1.1,0.15657359860562092
n_ancestries_initial,M1,790,157,633,1.8763564718891663,0.16158382978039876,0.053831233280624634,1.1753709851201406,1.3541701953226652,,0.05,,,,,1.2,0.4385263689920096
n_ancestries_initial,M1,790,157,633,1.8763564718891663,0.16158382978039876,0.053831233280624634,1.1753709851201406,1.3541701953226652,,0.05,,,,,1.25,0.59842544091674
