exposure,model_id,contrast,n,n_A,n_B,exposure_sd,low_value,high_value,predicted_approval_low,predicted_approval_high,approval_probability_difference,difference_standard_error,difference_ci_low,difference_ci_high
n_ancestries_all,M1,p10_to_p90,790,157,633,1.9274719610480286,1.0,5.0,0.1700512881960394,0.24753765885752088,0.07748637066148148,0.03735256816965958,0.004276682318871489,0.15069605900409147
n_ancestries_all,M1,observed_min_to_max,790,157,633,1.9274719610480286,0.0,9.0,0.15399140654767013,0.34562807194171763,0.1916366653940475,0.09926044799463538,-0.0029102377647488575,0.38618356855284386
n_ancestries_all,M1,one_sd_from_mean,790,157,633,1.9274719610480286,2.482278481012658,4.409750442060687,0.19626431835165237,0.23475467908352024,0.03849036073186787,0.01908248691366001,0.0010893736456373607,0.07589134781809839
n_ancestries_all,M2,p10_to_p90,790,157,633,1.9274719610480286,1.0,5.0,0.1920198770498135,0.20798986036899234,0.015969983319178843,0.04887704261677984,-0.079827259880539,0.11176722651889669
n_ancestries_all,M2,observed_min_to_max,790,157,633,1.9274719610480286,0.0,9.0,0.18817519287358045,0.22490826714062545,0.036733074267045,0.11487211156178596,-0.18841212722212264,0.26187827575621264
n_ancestries_all,M2,one_sd_from_mean,790,157,633,1.9274719610480286,2.482278481012658,4.409750442060687,0.19782737789356897,0.20557366058891743,0.0077462826953484665,0.023863417786679768,-0.03902515671457641,0.05451772210527334
n_ancestries_all,M3,p10_to_p90,790,157,633,1.9274719610480286,1.0,5.0,0.19174637785572968,0.2083837273620235,0.016637349506293836,0.04888012924556707,-0.07916594337468062,0.1124406423872683
n_ancestries_all,M3,observed_min_to_max,790,157,633,1.9274719610480286,0.0,9.0,0.18774724957156938,0.22604892715449784,0.03830167758292846,0.11507532799463224,-0.18724182079568458,0.2638451759615415
n_ancestries_all,M3,one_sd_from_mean,790,157,633,1.9274719610480286,2.482278481012658,4.409750442060687,0.197791912975967,0.20586404615936488,0.00807213318339789,0.023877490385302798,-0.038726888012997014,0.05487115437979279
n_ancestries_all,M4,p10_to_p90,790,157,633,1.9274719610480286,1.0,5.0,0.19338595843053968,0.20605599174954398,0.012670033319004292,0.049983443191627334,-0.08529571515988905,0.11063578179789764
n_ancestries_all,M4,observed_min_to_max,790,157,633,1.9274719610480286,0.0,9.0,0.19030637778157755,0.21928659655792831,0.028980218776350763,0.11617901826251907,-0.19872647277740782,0.2566869103301094
n_ancestries_all,M4,one_sd_from_mean,790,157,633,1.9274719610480286,2.482278481012658,4.409750442060687,0.19801549680221853,0.20415102358395154,0.006135526781733014,0.024323954493011418,-0.04153854798616059,0.05380960154962662
n_ancestries_initial,M1,p10_to_p90,790,157,633,1.8763564718891663,1.0,5.0,0.1641567360653253,0.2726370617106726,0.10848032564534729,0.037321558317126545,0.035331415496867954,0.18162923579382662
n_ancestries_initial,M1,observed_min_to_max,790,157,633,1.8763564718891663,0.0,9.0,0.1431704335662825,0.4170369946099034,0.2738665610436209,0.10027922266488035,0.07732289622278271,0.4704102258644591
n_ancestries_initial,M1,one_sd_from_mean,790,157,633,1.8763564718891663,2.2759493670886077,4.1523058389777745,0.19443489504452244,0.24633458991018026,0.05189969486565782,0.018181167830471377,0.01626526072105569,0.08753412901025995
n_ancestries_initial,M2,p10_to_p90,790,157,633,1.8763564718891663,1.0,5.0,0.17346223339492128,0.24708271119929115,0.07362047780436987,0.04949436486908542,-0.02338669477672206,0.1706276503854618
n_ancestries_initial,M2,observed_min_to_max,790,157,633,1.8763564718891663,0.0,9.0,0.1580104020266896,0.3390527256710286,0.18104232364433903,0.13041377419076017,-0.07456397685749011,0.4366486241461682
n_ancestries_initial,M2,one_sd_from_mean,790,157,633,1.8763564718891663,2.2759493670886077,4.1523058389777745,0.19487467775480272,0.22988814152993012,0.0350134637751274,0.02384873248501296,-0.011729192972428429,0.08175612052268323
n_ancestries_initial,M3,p10_to_p90,790,157,633,1.8763564718891663,1.0,5.0,0.17439504284341562,0.2447312833877702,0.07033624054435458,0.04990810770713569,-0.02748185309817726,0.1681543341868864
n_ancestries_initial,M3,observed_min_to_max,790,157,633,1.8763564718891663,0.0,9.0,0.15951629625980893,0.33193664830239983,0.1724203520425909,0.13097473136188986,-0.08428540431152196,0.42912610839670373
n_ancestries_initial,M3,one_sd_from_mean,790,157,633,1.8763564718891663,2.2759493670886077,4.1523058389777745,0.19493488722294297,0.22836706500796974,0.03343217778502677,0.024022359770549697,-0.01365078218891451,0.08051513775896806
n_ancestries_initial,M4,p10_to_p90,790,157,633,1.8763564718891663,1.0,5.0,0.18570023685620168,0.22026081531434177,0.03456057845814009,0.05143953040921395,-0.06625904852557217,0.13538020544185236
n_ancestries_initial,M4,observed_min_to_max,790,157,633,1.8763564718891663,0.0,9.0,0.17770409254599626,0.25887767986042376,0.0811735873144275,0.12566528946022787,-0.16512585413441996,0.327473028763275
