comparison_population,n_comparisons,n_with_total_n,median_eur_total_n,median_comparison_total_n,median_total_n_ratio,q25_total_n_ratio,q75_total_n_ratio,n_with_effective_n,median_effective_n_ratio,q25_effective_n_ratio,q75_effective_n_ratio
ALL,104,104,407265.0,8404.0,0.020779641988398927,0.012615809080139647,0.021003946195951965,104,0.020912072236356417,0.010843914352433395,0.027584799359777926
AFR,22,22,407992.0,6281.0,0.015502734381825034,0.015502734381825034,0.021928073224783587,22,0.015502937713488624,0.015502734381825034,0.035108849657823356
AMR,7,7,1359430.0,18173.0,0.013368102807794444,0.013206440656041731,0.01363336163023364,7,0.02910766820761554,0.02841548750107919,0.029435651951171822
CSA,44,44,400825.0,8415.0,0.02099017982869221,0.020875842510404773,0.021003946195951965,44,0.02099017982869221,0.020875842510404773,0.021003946195951965
EAS,11,11,1316443.0,341204.0,0.24795522905431477,0.00650289466134487,0.24795522905431477,11,0.15783253633914138,0.00650289466134487,0.15783253633914138
MID,20,20,400825.0,1502.0,0.0037472712530406036,0.003741522917139869,0.0037503310168120756,20,0.0037472712530406036,0.003741522917139869,0.0037503310168120756
