comparison_uid,gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,comparison_population,unit_analysis_role,mixed_pool,primary_approval_eligible,maf_threshold,gws_p_threshold,min_portability_variants_pre_ld,min_coloc_variants,n_raw_eur_variants,n_raw_comparison_variants,n_raw_shared_rows,n_duplicate_key_rows_excluded,n_harmonized_exact,n_harmonized_swapped,n_harmonized_primary,n_harmonized_sensitivity,n_valid_biallelic_snp,n_valid_beta_se,n_valid_p,n_valid_af,n_maf_pass,n_quality_pass,n_qc_qualified,n_qc_qualified_sensitivity,n_eur_gws_qc,n_comparison_gws_qc,n_eur_gws_qc_sensitivity,n_comparison_gws_qc_sensitivity,sample_metadata_usable,gbmi_swapped_sensitivity_only,n_eur_strand_flip_flagged,n_comparison_strand_flip_flagged,n_eur_diff_af_gnomad_flagged,n_comparison_diff_af_gnomad_flagged,eur_trait_type,eur_coloc_type,eur_n_cases_median,eur_n_controls_median,eur_n_total_median,eur_case_fraction_median,eur_usable,comparison_trait_type,comparison_coloc_type,comparison_n_cases_median,comparison_n_controls_median,comparison_n_total_median,comparison_case_fraction_median,comparison_usable,portability_pre_ld_eligible,portability_failure_reason,coloc_input_eligible,coloc_failure_reason,coloc_powered_both_ancestries,harmonized_parquet,harmonized_sidecar,cache_action,eur_n_cases,eur_n_controls,eur_n_total,eur_case_fraction,comparison_n_cases,comparison_n_controls,comparison_n_total,comparison_case_fraction,is_primary_mapping,is_nonmixed,primary_mechanistic_universe,portability_primary_locked,portability_sensitivity_locked,coloc_primary_locked,coloc_powered_primary_locked,coloc_sensitivity_locked,coloc_powered_sensitivity_locked,approval_analysis_eligible
cmp_19ebba0d130819ad,gt_0f3c648c57772115,IL3,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),AFR,SENSITIVITY,False,False,0.01,5e-08,3,50,2072,2072,2072.0,0,2072,0,2072,2072,1957,1166,1166,1166,348,1024,318,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_19ebba0d130819ad.parquet,intermediate/15b4/comparisons/cmp_19ebba0d130819ad.json,PROCESSED_NOW,383471.0,,383471.0,,5978.0,,5978.0,,False,True,False,False,False,False,False,True,False,False
cmp_be2532a3a1319712,gt_0f3c648c57772115,IL3,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),CSA,SENSITIVITY,False,False,0.01,5e-08,3,50,2072,2072,2072.0,0,2072,0,2072,2072,1957,799,799,799,385,684,353,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_be2532a3a1319712.parquet,intermediate/15b4/comparisons/cmp_be2532a3a1319712.json,PROCESSED_NOW,383471.0,,383471.0,,8080.0,,8080.0,,False,True,False,False,False,False,False,True,False,False
cmp_188e23743abf4404,gt_0f3c648c57772115,IL3,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),MID,SENSITIVITY,False,False,0.01,5e-08,3,50,2072,2072,2072.0,0,2072,0,2072,2072,1957,692,692,692,386,637,356,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_188e23743abf4404.parquet,intermediate/15b4/comparisons/cmp_188e23743abf4404.json,PROCESSED_NOW,383471.0,,383471.0,,1432.0,,1432.0,,False,True,False,False,False,False,False,True,False,False
cmp_243110a936e195dc,gt_18d41ae065e330d7,IL33,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),AFR,SENSITIVITY,False,False,0.01,5e-08,3,50,3067,3067,3067.0,0,3067,0,3067,3067,2925,1641,1641,1641,660,1406,599,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_243110a936e195dc.parquet,intermediate/15b4/comparisons/cmp_243110a936e195dc.json,PROCESSED_NOW,383471.0,,383471.0,,5978.0,,5978.0,,False,True,False,False,False,False,False,True,False,False
cmp_b2302c72c314e35e,gt_18d41ae065e330d7,IL33,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),CSA,SENSITIVITY,False,False,0.01,5e-08,3,50,3067,3067,3067.0,0,3067,0,3067,3067,2925,1280,1280,1280,750,1099,682,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_b2302c72c314e35e.parquet,intermediate/15b4/comparisons/cmp_b2302c72c314e35e.json,PROCESSED_NOW,383471.0,,383471.0,,8080.0,,8080.0,,False,True,False,False,False,False,False,True,False,False
cmp_7e793280b06a50d4,gt_18d41ae065e330d7,IL33,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),MID,SENSITIVITY,False,False,0.01,5e-08,3,50,3067,3067,3067.0,0,3067,0,3067,3067,2925,1192,1192,1192,770,1128,703,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_7e793280b06a50d4.parquet,intermediate/15b4/comparisons/cmp_7e793280b06a50d4.json,PROCESSED_NOW,383471.0,,383471.0,,1432.0,,1432.0,,False,True,False,False,False,False,False,True,False,False
cmp_6e8eaa5bcba8f01f,gt_08e785ae6efb3f9a,IL4R,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),AFR,SENSITIVITY,True,False,0.01,5e-08,3,50,2534,2534,2534.0,0,2534,0,2534,2534,2338,1456,1456,1456,676,1290,579,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_6e8eaa5bcba8f01f.parquet,intermediate/15b4/comparisons/cmp_6e8eaa5bcba8f01f.json,PROCESSED_NOW,383471.0,,383471.0,,5978.0,,5978.0,,False,False,False,False,False,False,False,True,False,False
cmp_cd746859d3f29a12,gt_08e785ae6efb3f9a,IL4R,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),CSA,SENSITIVITY,True,False,0.01,5e-08,3,50,2534,2534,2534.0,0,2534,0,2534,2534,2338,1307,1307,1307,695,1095,596,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_cd746859d3f29a12.parquet,intermediate/15b4/comparisons/cmp_cd746859d3f29a12.json,PROCESSED_NOW,383471.0,,383471.0,,8080.0,,8080.0,,False,False,False,False,False,False,False,True,False,False
cmp_0a262ab0250b06a7,gt_08e785ae6efb3f9a,IL4R,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),MID,SENSITIVITY,True,False,0.01,5e-08,3,50,2534,2534,2534.0,0,2534,0,2534,2534,2338,1187,1187,1187,765,1132,657,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_0a262ab0250b06a7.parquet,intermediate/15b4/comparisons/cmp_0a262ab0250b06a7.json,PROCESSED_NOW,383471.0,,383471.0,,1432.0,,1432.0,,False,False,False,False,False,False,False,True,False,False
cmp_8b497ea68f5db561,gt_02cc00fae6333219,IL5,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),AFR,SENSITIVITY,False,False,0.01,5e-08,3,50,2029,2029,2029.0,0,2029,0,2029,2029,1864,1205,1205,1193,430,1096,362,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_8b497ea68f5db561.parquet,intermediate/15b4/comparisons/cmp_8b497ea68f5db561.json,PROCESSED_NOW,383471.0,,383471.0,,5978.0,,5978.0,,False,True,False,False,False,False,False,True,False,False
