bootstrap_requested_replicates,bootstrap_valid_replicates,candidate_source,candidate_trait_key,candidate_trait_name,ci_lower,ci_method,ci_upper,comparison_population,comparison_reference_population,comparison_uid,deming_bound,deming_near_boundary,deming_objective,deming_success,estimator,gene,gene_trait_uid,genome_build,is_primary_threshold,lead_sign_concordant,median_abs_eur_z,mixed_pool,n_variants,pearson_r,primary_approval_eligible,r2_threshold,sign_concordance,slope,unit_analysis_role,slope_se_approx,eur_analysis_n,comparison_analysis_n,comparison_population_feasibility,gene_feasibility,candidate_trait_name_feasibility,candidate_source_feasibility,sample_size_ratio,median_variant_se_ratio,median_eur_variant_se,median_comparison_variant_se,n_variant_effect_rows,gene_unit,candidate_trait_name_unit,candidate_source_unit,sensitivity_pool_assignment
1000,1000,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),-0.5581538856624708,percentile bootstrap over ancestry-paired LD-pruned variants,1.0495638483297103,CSA,CSA,cmp_4ab05482f9c4b139,4.00128750415983,False,8.707104515305085,True,naive,PPARG,gt_5b728915d445b416,GRCh37,True,True,8.875514584008936,False,8,0.24664082848684266,True,0.1,0.625,0.4045451462690714,PRIMARY,0.41013961140961097,,,CSA,PPARG,Glycated haemoglobin (HbA1c),Pan-UKB,,7.3056608260685945,0.003144,0.025509999999999998,8,PPARG,Glycated haemoglobin (HbA1c),Pan-UKB,A
1000,1000,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),-0.574182450723541,percentile bootstrap over ancestry-paired LD-pruned variants,1.057950320692017,CSA,CSA,cmp_4ab05482f9c4b139,4.00128750415983,False,8.707104515305085,True,fiqt,PPARG,gt_5b728915d445b416,GRCh37,True,True,8.875514584008936,False,8,0.24664082848684266,True,0.1,0.625,0.40374059251171845,PRIMARY,0.41636805173197394,,,CSA,PPARG,Glycated haemoglobin (HbA1c),Pan-UKB,,7.3056608260685945,0.003144,0.025509999999999998,8,PPARG,Glycated haemoglobin (HbA1c),Pan-UKB,A
1000,1000,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),0.09882936441681303,percentile bootstrap over ancestry-paired LD-pruned variants,1.2212239044215272,CSA,CSA,cmp_4ab05482f9c4b139,4.00128750415983,False,8.707104515305085,True,deming,PPARG,gt_5b728915d445b416,GRCh37,True,True,8.875514584008936,False,8,0.24664082848684266,True,0.1,0.625,0.8008208217231098,PRIMARY,0.286330399144581,,,CSA,PPARG,Glycated haemoglobin (HbA1c),Pan-UKB,,7.3056608260685945,0.003144,0.025509999999999998,8,PPARG,Glycated haemoglobin (HbA1c),Pan-UKB,A
1000,1000,GBMI,GBMI::Asthma,Asthma,0.4841743540585929,percentile bootstrap over ancestry-paired LD-pruned variants,1.6169714042453087,CSA,SAS,cmp_4af752414605f4d3,6.800259879731193,False,7.1938927830807495,True,naive,IL1RL1,gt_e0253f9da76890c4,GRCh38,True,True,8.032834731849691,False,5,0.964347301766002,True,0.1,0.8,1.3600519759462386,PRIMARY,0.28898414948490747,,,CSA,IL1RL1,Asthma,GBMI,,5.437535831552614,0.0067692,0.043328,5,IL1RL1,Asthma,GBMI,B
1000,1000,GBMI,GBMI::Asthma,Asthma,0.4866266461343023,percentile bootstrap over ancestry-paired LD-pruned variants,1.6207483560740197,CSA,SAS,cmp_4af752414605f4d3,6.800259879731193,False,7.1938927830807495,True,fiqt,IL1RL1,gt_e0253f9da76890c4,GRCh38,True,True,8.032834731849691,False,5,0.964347301766002,True,0.1,0.8,1.3664067310596704,PRIMARY,0.28932207910082147,,,CSA,IL1RL1,Asthma,GBMI,,5.437535831552614,0.0067692,0.043328,5,IL1RL1,Asthma,GBMI,B
1000,1000,GBMI,GBMI::Asthma,Asthma,0.2548260010507395,percentile bootstrap over ancestry-paired LD-pruned variants,1.688753438625344,CSA,SAS,cmp_4af752414605f4d3,6.800259879731193,False,7.1938927830807495,True,deming,IL1RL1,gt_e0253f9da76890c4,GRCh38,True,True,8.032834731849691,False,5,0.964347301766002,True,0.1,0.8,1.419719562437151,PRIMARY,0.36580453745202496,,,CSA,IL1RL1,Asthma,GBMI,,5.437535831552614,0.0067692,0.043328,5,IL1RL1,Asthma,GBMI,B
1000,1000,Pan-UKB,Pan-UKB::biomarkers|30870|both_sexes||irnt,Triglycerides,0.11404234452660668,percentile bootstrap over ancestry-paired LD-pruned variants,0.7396018188515102,MID,MID,cmp_4cecb255412bf289,4.623648287937584,False,18.530848331019122,True,naive,LPL,gt_93b3040bef26dfa3,GRCh37,True,True,16.01162486938349,False,24,0.5747623384981435,True,0.1,0.6666666666666666,0.45006077521981586,PRIMARY,0.15958443095363917,,,MID,LPL,Triglycerides,Pan-UKB,,14.59535027764179,0.004562,0.06873000000000001,24,LPL,Triglycerides,Pan-UKB,B
1000,1000,Pan-UKB,Pan-UKB::biomarkers|30870|both_sexes||irnt,Triglycerides,0.11091816828181307,percentile bootstrap over ancestry-paired LD-pruned variants,0.7571049055154875,MID,MID,cmp_4cecb255412bf289,4.623648287937584,False,18.530848331019122,True,fiqt,LPL,gt_93b3040bef26dfa3,GRCh37,True,True,16.01162486938349,False,24,0.5747623384981435,True,0.1,0.6666666666666666,0.45084712375107017,PRIMARY,0.164846584511428,,,MID,LPL,Triglycerides,Pan-UKB,,14.59535027764179,0.004562,0.06873000000000001,24,LPL,Triglycerides,Pan-UKB,B
1000,1000,Pan-UKB,Pan-UKB::biomarkers|30870|both_sexes||irnt,Triglycerides,0.3512619632343125,percentile bootstrap over ancestry-paired LD-pruned variants,0.8673201062103689,MID,MID,cmp_4cecb255412bf289,4.623648287937584,False,18.530848331019122,True,deming,LPL,gt_93b3040bef26dfa3,GRCh37,True,True,16.01162486938349,False,24,0.5747623384981435,True,0.1,0.6666666666666666,0.6260404182001653,PRIMARY,0.13164990455096554,,,MID,LPL,Triglycerides,Pan-UKB,,14.59535027764179,0.004562,0.06873000000000001,24,LPL,Triglycerides,Pan-UKB,B
1000,1000,GBMI,GBMI::Asthma,Asthma,0.9346335202765743,percentile bootstrap over ancestry-paired LD-pruned variants,1.7614430285622438,AFR,AFR,cmp_50dfe6ec581edb6f,7.111156011743552,False,8.045898313393591,True,naive,IL1RL1,gt_e0253f9da76890c4,GRCh38,True,True,7.77498850121534,False,6,0.9334851817244874,True,0.1,0.8333333333333334,1.4222312023487105,PRIMARY,0.21092466872030236,,,AFR,IL1RL1,Asthma,GBMI,,7.341658951418406,0.0058484,0.0359735,6,IL1RL1,Asthma,GBMI,B
