comparison_uid,gene_trait_uid,comparison_population,eur_analysis_n,comparison_analysis_n,sample_size_ratio,median_variant_se_ratio,median_eur_variant_se,median_comparison_variant_se,n_variant_effect_rows
cmp_8a50a9834b33764d,gt_e879daaa8470efb6,CSA,,,,7.344322344322343,0.003714,0.03556,3
cmp_91602ff38973e5c1,gt_e31188cc7b292717,CSA,,,,5.654026234572299,0.0042615,0.030795,4
cmp_96ce964d4704c481,gt_37bb10a4689a1bb1,CSA,,,,6.925480538778641,0.0037314999999999996,0.02402,4
cmp_9d8c13f3b6460d45,gt_c2f3696fd5d03431,AFR,,,,9.717783066984019,0.002941,0.04055,7
cmp_9de93e69fed596e7,gt_93b3040bef26dfa3,CSA,,,,6.435281331712094,0.0043055,0.029855,22
cmp_a0dab9d33f7b3552,gt_62933438673c2307,CSA,,,,5.681691425883479,0.0099442,0.0619575,4
cmp_a3680a01bb140f75,gt_f9d79082a44b2223,MID,,,,16.29924393155591,0.00257,0.04824,7
cmp_a496afa2fb1d58f1,gt_72ede56b8ff4d0df,MID,,,,17.87718719049191,0.003029,0.05415,3
cmp_a54e8bec4ce3739c,gt_9974caf98cb25074,EAS,,,,2.4002290173459433,0.0053891,0.01356,5
cmp_a6275c7613e223b1,gt_fd539737d1f5d9cb,AFR,,,,5.372462657985446,0.010446,0.061817,9
cmp_a65923a60135b609,gt_d79e322e54d14839,AFR,,,,7.431506849315069,0.00292,0.02079,3
cmp_a76b488e4d6fc321,gt_b5915a3fe7e0c8ef,EAS,,,,2.0587411117727417,0.0057759,0.012027,3
cmp_a8cdbbc6ae7dad91,gt_38057e29398d09a6,MID,,,,20.580489354581054,0.0056485,0.14065,20
cmp_ab8ccf0cc0913f47,gt_b5915a3fe7e0c8ef,AFR,,,,7.392441004865043,0.0057759,0.042698,3
cmp_ad635d062a0cb6f4,gt_72ede56b8ff4d0df,CSA,,,,5.799059929494712,0.003029,0.01974,3
cmp_add0fff00fe30c88,gt_fd539737d1f5d9cb,EAS,,,,11.863445461003483,0.0099601,0.121505,6
cmp_af469cf6305c50e3,gt_62933438673c2307,EAS,,,,4.438569449593194,0.0055141,0.027768,5
cmp_b2879043e48e8130,gt_128ad7c7ffd40309,MID,,,,18.592507997413783,0.003858,0.09315999999999999,8
cmp_b64efda1167deddf,gt_08f7168b97dea82d,CSA,,,,6.6001190166251344,0.0033889999999999997,0.022405,4
cmp_ba35246f787ddd2f,gt_f9d79082a44b2223,CSA,,,,6.659320592480231,0.002561,0.01927,6
cmp_c19fd6087066e5ad,gt_f57de0955fec90d0,AFR,,,,7.5844930417495044,0.004171,0.0277,9
cmp_c466933c6cddc2c2,gt_4129badd0cfdf3a3,CSA,,,,8.679435483870968,0.004136,0.03596,3
cmp_c46c48b6b8c8c0da,gt_e89d07b40f69aeb9,AFR,,,,8.064825344576363,0.003194,0.037275,6
cmp_c5f9b26ab4ae44ee,gt_5da1ad3edfdad65e,CSA,,,,6.819118252987227,0.003824,0.03435,7
cmp_c80e5bff31014a68,gt_3de9daa3443abcc6,MID,,,,14.780937740199846,0.004093,0.07025,3
cmp_cdc7ff976577622c,gt_e581489a9e9ecfc2,CSA,,,,6.88715953307393,0.002123,0.01497,3
cmp_cf4e49ee6917e9e7,gt_e89d07b40f69aeb9,CSA,,,,6.622747529548538,0.003277,0.02543,7
cmp_d046571b4d69c0ca,gt_44be73ebd0d0a1ce,CSA,,,,5.7992177314211215,0.003101,0.01662,3
cmp_d17bec475888ffb1,gt_25de020ab85c0f34,CSA,,,,6.090092256730476,0.0042525,0.022335,6
cmp_d642ad82b0d16e5e,gt_1a54193972b2aa21,CSA,,,,12.689438555162937,0.005872,0.09696,7
cmp_d6a94e5b9cd24b66,gt_b5915a3fe7e0c8ef,AMR,,,,7.2282106598211024,0.00831705,0.059336,4
cmp_d763b6b831bf0c0e,gt_1c018fe9f451c0ea,CSA,,,,7.154571159283695,0.005371,0.02424,15
cmp_d8eb00402944028b,gt_2fdb14cf300437e0,CSA,,,,7.654454621149043,0.006594,0.05901,13
cmp_d98864543ce360b3,gt_5b728915d445b416,MID,,,,16.37336504161712,0.002726,0.04237,9
cmp_d9f3563910f04212,gt_e31188cc7b292717,AFR,,,,11.18785105055128,0.004807,0.03772,5
cmp_dae661d54c93c969,gt_95af7ca2e8a7e102,CSA,,,,5.565476190476191,0.00336,0.0187,3
cmp_dfe8569d96c5c6ef,gt_f57de0955fec90d0,MID,,,,16.365626863149572,0.0055695,0.07783999999999999,16
cmp_e15f0ef829b34627,gt_0f50d04f150328dc,MID,,,,17.172980700500357,0.002798,0.04805,3
cmp_e3f2f647f7cf5c3c,gt_46885db53b6cf531,MID,,,,17.297056199821586,0.004671,0.06872,3
cmp_e54439ed586b3a5c,gt_3de9daa3443abcc6,AFR,,,,11.970334736420124,0.004093,0.05972,3
cmp_e854c14fa9f40a21,gt_9974caf98cb25074,AFR,,,,5.31721437716873,0.0053891,0.047013,7
cmp_eafab6e5a8a920a4,gt_93b3040bef26dfa3,AFR,,,,7.165723821280912,0.003734,0.031335,18
cmp_ebe379c15a6da6e9,gt_9974caf98cb25074,AMR,,,,7.757031119986688,0.01185,0.093224,9
cmp_ee4314019136489d,gt_08f7168b97dea82d,MID,,,,15.800399201596806,0.003633,0.06073,5
cmp_f0cf4964e6b5f030,gt_b328521a0423f5c5,CSA,,,,7.746399799496032,0.006365,0.042859999999999995,14
cmp_f1d366955c52855b,gt_fd539737d1f5d9cb,AMR,,,,6.215113734911782,0.012562,0.074422,8
cmp_f27a27d52a7eddbe,gt_44be73ebd0d0a1ce,MID,,,,14.06732673267327,0.003101,0.04854,3
cmp_f6c8d3d544ec5e35,gt_2a7e2fce1378c79e,AFR,,,,4.4574790676623675,0.010568,0.072679,3
cmp_f91dafdc919ddc0c,gt_fdbaedc51aaa106f,CSA,,,,9.275446775446776,0.005001,0.04775,11
cmp_face308db9f33a70,gt_3ef75cbdd99b6f07,AFR,,,,11.088476740650655,0.003289,0.03647,3
cmp_fe5114e73f9be5e8,gt_d1d00e9dc71a2499,EAS,,,,17.129054520358867,0.002898,0.04964,3
