indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,direct_candidate_1_trait_key,direct_candidate_1_name,direct_candidate_1_source,direct_candidate_1_build,direct_candidate_1_pops,direct_candidate_1_score,direct_candidate_2_trait_key,direct_candidate_2_name,direct_candidate_2_source,direct_candidate_2_build,direct_candidate_2_pops,direct_candidate_2_score,direct_candidate_3_trait_key,direct_candidate_3_name,direct_candidate_3_source,direct_candidate_3_build,direct_candidate_3_pops,direct_candidate_3_score,direct_candidate_4_trait_key,direct_candidate_4_name,direct_candidate_4_source,direct_candidate_4_build,direct_candidate_4_pops,direct_candidate_4_score,direct_candidate_5_trait_key,direct_candidate_5_name,direct_candidate_5_source,direct_candidate_5_build,direct_candidate_5_pops,direct_candidate_5_score,selected_trait_key_1,mapping_tier_1,mapping_rationale_1,reviewer_notes_1,selected_trait_key_2,mapping_tier_2,mapping_rationale_2,reviewer_notes_2,selected_trait_key_3,mapping_tier_3,mapping_rationale_3,reviewer_notes_3,selected_trait_key_4,mapping_tier_4,mapping_rationale_4,reviewer_notes_4,selected_trait_key_5,mapping_tier_5,mapping_rationale_5,reviewer_notes_5,indication_review_status,exclude_reason
D011471,Prostatic Neoplasms,Prostatic Neoplasms,16,16,1,15,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,51.666666666666664,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,50.97701149425287,Pan-UKB::icd10|K44|both_sexes||,K44 Diaphragmatic hernia,Pan-UKB,GRCh37,"EUR,MID",7.5,Pan-UKB::phecode|550.2|both_sexes||,Diaphragmatic hernia,Pan-UKB,GRCh37,"CSA,EUR,MID",7.5,Pan-UKB::phecode|716.9|both_sexes||,Arthropathy NOS,Pan-UKB,GRCh37,"EAS,EUR",7.5,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D001172,"Arthritis, Rheumatoid","Arthritis, Rheumatoid",15,15,3,12,Pan-UKB::phecode|714|both_sexes||,Rheumatoid arthritis and other inflammatory polyarthropathies,Pan-UKB,GRCh37,"CSA,EUR",129.90740740740742,Pan-UKB::phecode|716.2|both_sexes||,Unspecified monoarthritis,Pan-UKB,GRCh37,"CSA,EAS,EUR,MID",8.666666666666666,Pan-UKB::phecode|740|both_sexes||,Osteoarthrosis,Pan-UKB,GRCh37,"EUR,MID",7.9411764705882355,Pan-UKB::phecode|716|both_sexes||,Other arthropathies,Pan-UKB,GRCh37,"EAS,EUR",7.692307692307692,Pan-UKB::icd10|M16|both_sexes||,M16 Coxarthrosis [arthrosis of hip],Pan-UKB,GRCh37,"CSA,EUR",7.346938775510204,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D015179,Colorectal Neoplasms,Colorectal Neoplasms,14,14,0,14,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,50.376344086021504,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,49.40860215053763,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",7.297297297297297,Pan-UKB::phecode|454.1|both_sexes||,Varicose veins of lower extremity,Pan-UKB,GRCh37,"AFR,EUR",7.222222222222221,Pan-UKB::icd10|K80|both_sexes||,K80 Cholelithiasis,Pan-UKB,GRCh37,"EAS,EUR",7.0588235294117645,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D006937,Hypercholesterolemia,Hypercholesterolemia,14,14,3,11,Pan-UKB::icd10|K80|both_sexes||,K80 Cholelithiasis,Pan-UKB,GRCh37,"EAS,EUR",8.181818181818182,Pan-UKB::phecode|574.1|both_sexes||,Cholelithiasis,Pan-UKB,GRCh37,"EAS,EUR",8.181818181818182,Pan-UKB::phecode|401|both_sexes||,Hypertension,Pan-UKB,GRCh37,"CSA,EUR",8.0,Pan-UKB::icd10|Z72|both_sexes||,Z72 Problems related to lifestyle,Pan-UKB,GRCh37,"AFR,EUR",7.959183673469388,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",7.333333333333333,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D015228,Hypertriglyceridemia,Hypertriglyceridemia,14,14,3,11,Pan-UKB::icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,Pan-UKB,GRCh37,"EUR,MID",6.666666666666666,Pan-UKB::phecode|401|both_sexes||,Hypertension,Pan-UKB,GRCh37,"CSA,EUR",6.5625,GBMI::HCM,Hypertrophic cardiomyopathy,GBMI,GRCh38,,6.382978723404255,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,6.1764705882352935,Pan-UKB::phecode|716|both_sexes||,Other arthropathies,Pan-UKB,GRCh37,"EAS,EUR",6.0,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D003920,Diabetes Mellitus,Diabetes Mellitus,13,13,2,11,Pan-UKB::phecode|250|both_sexes||,Diabetes mellitus,Pan-UKB,GRCh37,"CSA,EUR",275.0,Pan-UKB::icd10|E11|both_sexes||,E11 Non-insulin-dependent diabetes mellitus,Pan-UKB,GRCh37,"CSA,EUR",128.10714285714286,Pan-UKB::phecode|250.2|both_sexes||,Type 2 diabetes,Pan-UKB,GRCh37,"CSA,EUR",49.166666666666664,Pan-UKB::phecode|530|both_sexes||,Diseases of esophagus,Pan-UKB,GRCh37,"EUR,MID",7.105263157894736,Pan-UKB::icd10|F32|both_sexes||,F32 Depressive episode,Pan-UKB,GRCh37,"CSA,EUR",6.857142857142857,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D003876,"Dermatitis, Atopic","Dermatitis, Atopic",12,12,2,10,GBMI::HF,Heart failure,GBMI,GRCh38,,8.275862068965518,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",7.7142857142857135,GBMI::AcApp,Acute appendicitis,GBMI,GRCh38,,7.7142857142857135,GBMI::POAG,Primary open-angle glaucoma,GBMI,GRCh38,,6.976744186046512,Pan-UKB::icd10|I83|both_sexes||,I83 Varicose veins of lower extremities,Pan-UKB,GRCh37,"AFR,EUR",6.842105263157895,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D011565,Psoriasis,Psoriasis,12,12,3,9,Pan-UKB::icd10|K80|both_sexes||,K80 Cholelithiasis,Pan-UKB,GRCh37,"EAS,EUR",7.826086956521739,Pan-UKB::phecode|574.1|both_sexes||,Cholelithiasis,Pan-UKB,GRCh37,"EAS,EUR",7.826086956521739,Pan-UKB::phecode|740|both_sexes||,Osteoarthrosis,Pan-UKB,GRCh37,"EUR,MID",7.826086956521739,GBMI::IPF,Idiopathic pulmonary fibrosis,GBMI,GRCh38,,7.222222222222221,Pan-UKB::icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,Pan-UKB,GRCh37,"CSA,EUR",6.724137931034483,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D000544,Alzheimer Disease,Alzheimer Disease,11,11,1,10,Pan-UKB::phecode|250.2|both_sexes||,Type 2 diabetes,Pan-UKB,GRCh37,"CSA,EUR",45.06578947368421,GBMI::AcApp,Acute appendicitis,GBMI,GRCh38,,44.05882352941177,GBMI::POAG,Primary open-angle glaucoma,GBMI,GRCh38,,28.095238095238095,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",10.0,Pan-UKB::phecode|411.4|both_sexes||,Coronary atherosclerosis,Pan-UKB,GRCh37,"CSA,EUR",9.069767441860465,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D000740,Anemia,Anemia,11,11,4,7,Pan-UKB::icd10|J45|both_sexes||,J45 Asthma,Pan-UKB,GRCh37,"CSA,EUR,MID",7.5,GBMI::Asthma,Asthma,GBMI,GRCh38,,7.5,Pan-UKB::phecode|327.3|both_sexes||,Sleep apnea,Pan-UKB,GRCh37,"CSA,EUR",7.0588235294117645,GBMI::Appendectomy,Appendectomy,GBMI,GRCh38,,6.666666666666666,Pan-UKB::phecode|785|both_sexes||,Abdominal pain,Pan-UKB,GRCh37,"CSA,EUR",6.0,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D009369,Neoplasms,Neoplasms,11,11,1,10,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,131.5,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,131.5,Pan-UKB::icd10|K80|both_sexes||,K80 Cholelithiasis,Pan-UKB,GRCh37,"EAS,EUR",7.5,Pan-UKB::phecode|574.1|both_sexes||,Cholelithiasis,Pan-UKB,GRCh37,"EAS,EUR",7.5,Pan-UKB::phecode|740|both_sexes||,Osteoarthrosis,Pan-UKB,GRCh37,"EUR,MID",7.5,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
