comparison_population,n_comparisons,n_units,median_effective_n_ratio,min_effective_n_ratio,max_effective_n_ratio,sd_log10_effective_n_ratio
AFR,22,22,0.0155029377134886,0.0153949097041118,0.057242053957145,0.20635717085980004
AMR,7,7,0.0291076682076155,0.0284154875010791,0.0391500348425264,0.050509248421534716
CSA,44,44,0.02099017982869215,0.0108439143524333,0.0326336590330275,0.09112278001053645
EAS,11,11,0.1578325363391413,0.0064511068844487,0.1636982890391935,0.7185839347758239
MID,20,20,0.0037472712530406,0.0037375549622138,0.0037960541662062,0.0018587137500310916
