endpoint_code,trait_name,endpoint_type,sex_stratum,source_population,harmonized_population,genome_build,release,data_url,index_url,data_exists,index_exists,verification_method,http_status,size_bytes,etag,last_modified,schema_status,schema_columns,sample_size_status,verification_error
HF,Heart failure,disease,Bothsex,EAS,EAS,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/HF_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/HF_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,279524126,67a290400da6b168257b0458599ad29d-9,2021-11-09T19:57:55.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
HF,Heart failure,disease,Bothsex,EUR,EUR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/HF_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/HF_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,845179880,3bb65d34367f80a3b4625612251e855a-26,2021-11-09T19:57:56.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
IPF,Idiopathic pulmonary fibrosis,disease,Bothsex,AFR,AFR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/IPF_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/IPF_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,166073358,ec47548a7ff1aa1a4951879db450fde6-5,2021-11-09T19:57:57.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
IPF,Idiopathic pulmonary fibrosis,disease,Bothsex,AMR,AMR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/IPF_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/IPF_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,181129737,2aa2d85e4b56bec74ad44826e1106dc6-6,2021-11-09T19:57:57.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
IPF,Idiopathic pulmonary fibrosis,disease,Bothsex,EAS,EAS,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/IPF_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/IPF_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,280007165,e35655aaa22c40a3f25f81039e2230f1-9,2021-11-09T19:57:57.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
IPF,Idiopathic pulmonary fibrosis,disease,Bothsex,EUR,EUR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/IPF_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/IPF_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,836375929,d400ec37dbdca8a2da804c52b82c55cd-25,2021-11-09T19:57:57.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
POAG,Primary open-angle glaucoma,disease,Bothsex,EAS,EAS,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/POAG_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/POAG_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,188494160,cf751f4458778e66acab3470d7b718a0-6,2021-11-09T19:57:58.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
POAG,Primary open-angle glaucoma,disease,Bothsex,EUR,EUR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/POAG_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/POAG_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,943132247,b52eadb5930ac860055967ee47692492-29,2021-11-09T19:57:58.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
Stroke,Stroke,disease,Bothsex,AFR,AFR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/Stroke_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Stroke_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,514954434,729a3769231256ef37f74944cda6f58c-16,2021-11-09T19:57:59.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
Stroke,Stroke,disease,Bothsex,AMR,AMR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/Stroke_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Stroke_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,185022292,4855256f2f9cbaa20bb59b3a5dc6216e-6,2021-11-09T20:00:26.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
Stroke,Stroke,disease,Bothsex,EAS,EAS,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/Stroke_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Stroke_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,200535912,a9ff339444d7a2350934043023c5f95c-6,2021-11-09T19:57:59.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
Stroke,Stroke,disease,Bothsex,EUR,EUR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/Stroke_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Stroke_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,947060864,c1f5549f29c73c047c5cf8282c778d72-29,2021-11-09T19:57:59.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
ThC,Thyroid cancer,disease,Bothsex,EUR,EUR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/ThC_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/ThC_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,937924686,84646aa3204c84303ec122aca8f0dc5d-112,2021-11-09T19:49:14.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
VTE,Venous thromboembolism,disease,Bothsex,AFR,AFR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/VTE_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/VTE_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,581189584,2a00ba2a60a776e590fa8418de976798-18,2021-11-09T19:58:01.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
VTE,Venous thromboembolism,disease,Bothsex,AMR,AMR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/VTE_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/VTE_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,184330650,7dd763cd08bbbf2380f03dcd80d3744c-6,2021-11-09T19:58:01.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
VTE,Venous thromboembolism,disease,Bothsex,EAS,EAS,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/VTE_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/VTE_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,132945781,5ddffa30075d0ea3098aa07454bdc8df-4,2021-11-09T19:58:01.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
VTE,Venous thromboembolism,disease,Bothsex,EUR,EUR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/VTE_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/VTE_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,728230916,62a23ca5e55791f28c47e04a81bf2fba-22,2021-11-09T19:58:01.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
