gene,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,canonical_group,gene_trait_uid,unit_analysis_role,locked_mapping_tier,mapping_tiers_contributing,roles_contributing,n_pair_trait_rows,n_target_indication_pairs,n_indications,indication_mesh_ids,indications,pools,n_A_pairs,n_B_pairs,mixed_pool,primary_approval_eligible,sensitivity_pool_assignment,pops_available,non_eur_pops_available,mapping_uids
NFKB1,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_e5f710ae8311d02e,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
NR3C1,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_ae042213ac6b4336,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,A,1,0,False,True,A,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
P2RY2,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_b2f382990ec4dea4,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
PDE3A,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_365c91e7f793fde3,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
PDE4B,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_9d4cf5ee28185b3f,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
PDE4D,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_70efb959c61a6093,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
TNFSF15,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_7f50a9fa80553ca7,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
TNFSF4,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_a1149966f4c395a3,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
TSLP,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_9974caf98cb25074,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,A,1,0,False,True,A,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
TYK2,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_03d37cdcec9e6d39,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
ADORA1,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_9881a68950024bfa,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
ADRB2,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_4fb43f1edb670fad,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",A,1,0,False,True,A,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
CHRM3,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_8517bb33d43dbd6b,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",A,1,0,False,True,A,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
CSF2,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_516ff4c0d959d8ab,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
EPHX2,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_d84fcd64ca861af7,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
GATA3,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_9c552df762f04c46,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
HCRTR1,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_51f32a4cc0304948,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
HRH4,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_c155d3285e50020d,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
IL13,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_7f0a185215562536,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
IL1R1,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_75373d2e995e29c7,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
IL1RL1,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_04df48c5ba39ad54,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
IL33,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_06e6ca91a1d5c2c3,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
IL4R,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_6f6609fa8e0d87fe,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
NR3C1,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_f34cd2ca051e960b,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",A,1,0,False,True,A,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
PDE3A,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_f3dc92ab28823f74,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
PDE4B,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_d6af00b513deb475,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
PDE4D,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_67779b85c25ee171,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
RARG,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_1c362988229c8005,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
SERPINA1,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_3ff7791c43db60b1,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
TSLP,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,COPD,gt_44622dded6eb753b,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D029424,"Pulmonary Disease, Chronic Obstructive",B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_c342a950924fe3b4
PPARG,GBMI,GBMI::Gout,Gout,Gout,GRCh38,Gout,gt_e905fdaa484f8536,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D006073,Gout,B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_71ba0e23fe68c32e
SLC22A12,GBMI,GBMI::Gout,Gout,Gout,GRCh38,Gout,gt_2a7e2fce1378c79e,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D006073,Gout,A,1,0,False,True,A,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_71ba0e23fe68c32e
ENPEP,GBMI,GBMI::HF,Heart failure,HF,GRCh38,HF,gt_a079fbca689ff34a,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D006333,Heart Failure,B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_f40814641878ba92
GRM7,GBMI,GBMI::Stroke,Stroke,Stroke,GRCh38,Stroke,gt_03254368f30b6f1a,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D020521,Stroke,B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_7b641e2a7a1f97d7
NOS3,GBMI,GBMI::Stroke,Stroke,Stroke,GRCh38,Stroke,gt_df4ae7bd29d46c68,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D020521,Stroke,B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_7b641e2a7a1f97d7
PDE3A,GBMI,GBMI::Stroke,Stroke,Stroke,GRCh38,Stroke,gt_7833a3b8c0f390b0,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D020521,Stroke,B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_7b641e2a7a1f97d7
F10,GBMI,GBMI::VTE,Venous thromboembolism,VTE,GRCh38,VTE,gt_9ef583411089c1bf,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D020246,Venous Thrombosis,A,1,0,False,True,A,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_ec3d332f75944823
F11,GBMI,GBMI::VTE,Venous thromboembolism,VTE,GRCh38,VTE,gt_fd539737d1f5d9cb,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D020246,Venous Thrombosis,B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_ec3d332f75944823
F2,GBMI,GBMI::VTE,Venous thromboembolism,VTE,GRCh38,VTE,gt_698ec9454245813e,PRIMARY,Direct disease,Direct disease,PRIMARY,2,2,2,D011655 || D020246,Pulmonary Embolism || Venous Thrombosis,A,2,0,False,True,A,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_31a87e71c50f515c || map_ec3d332f75944823
VWF,GBMI,GBMI::VTE,Venous thromboembolism,VTE,GRCh38,VTE,gt_eb75fbbeba239dab,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D020246,Venous Thrombosis,B,0,1,False,True,B,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",map_ec3d332f75944823
PNPLA3,Pan-UKB,Pan-UKB::biomarkers|30620|both_sexes||irnt,Alanine aminotransferase,biomarkers|30620|both_sexes||irnt,GRCh37,alanine_aminotransferase,gt_c2f3696fd5d03431,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,1,1,1,D065626,Non-alcoholic Fatty Liver Disease,B,0,1,False,True,B,"AFR,CSA,EUR","AFR,CSA",map_3f38f5939ec50566
TNFRSF1A,Pan-UKB,Pan-UKB::biomarkers|30600|both_sexes||irnt,Albumin,biomarkers|30600|both_sexes||irnt,GRCh37,albumin,gt_e2a7ed2a815c1261,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,1,1,1,D008103,Liver Cirrhosis,B,0,1,False,True,B,"AFR,CSA,EUR","AFR,CSA",map_d804ea212772b9fa
IL12B,Pan-UKB,Pan-UKB::biomarkers|30610|both_sexes||irnt,Alkaline phosphatase,biomarkers|30610|both_sexes||irnt,GRCh37,alkaline_phosphatase,gt_0c5a522d1cea1ece,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,1,1,1,D008105,"Liver Cirrhosis, Biliary",B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_3a1f8d4da4a835e2
