gene,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,canonical_group,gene_trait_uid,unit_analysis_role,locked_mapping_tier,mapping_tiers_contributing,roles_contributing,n_pair_trait_rows,n_target_indication_pairs,n_indications,indication_mesh_ids,indications,pools,n_A_pairs,n_B_pairs,mixed_pool,primary_approval_eligible,sensitivity_pool_assignment,pops_available,non_eur_pops_available,mapping_uids
GLP1R,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_25ecabe6d3e507e8,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,A,1,0,False,True,A,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
HSD11B1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_c3e1332e6c837d81,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
HTR1A,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_c1f964477a2c60d2,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
IAPP,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_c613c2c57d405093,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
INSR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_3118096966414b21,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
LEPR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_46885db53b6cf531,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
MAPK1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_61df4e5e9ce876ed,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
MAPK3,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_6925bb9b57369884,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
MC1R,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_6514a4bcc5411b53,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
MC4R,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_e31188cc7b292717,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,A,1,0,False,True,A,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
MTTP,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_d14085384e769d40,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
NPY,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_9e59531911456d7e,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
NPY5R,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_a0df6f80874b8d26,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
NR3C1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_1fa305cc7cba8ae9,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
OPRM1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_9b4c668b144beda2,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
PPARA,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_7f572da2369e3b76,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,A,1,0,False,True,A,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
PPARD,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_4129badd0cfdf3a3,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
PPARG,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_00419bc476176825,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,A,1,0,False,True,A,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
SLC6A4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_5d3db36ffbf5ebc1,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
SREBF1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_3bedb9eda24a2e46,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
SREBF2,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_86b456c209fcf4df,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
CASR,Pan-UKB,Pan-UKB::biomarkers|30680|both_sexes||irnt,Calcium,biomarkers|30680|both_sexes||irnt,GRCh37,calcium,gt_94eb695ffab3980d,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,2,2,2,D006934 || D006996,Hypercalcemia || Hypocalcemia,"A,B",1,1,True,False,A,"CSA,EUR",CSA,map_1486c473da98bf83 || map_db7b3c370acd17a2
ALDH2,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,egfr_creatinine,gt_fa7c0f92ccea41a7,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,1,1,1,D051437,Renal Insufficiency,B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_75832887e4c759b7
APOL1,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,egfr_creatinine,gt_2f8ebd8b90936da0,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,2,2,2,D005923 || D051437,"Glomerulosclerosis, Focal Segmental || Renal Insufficiency",B,0,2,False,True,B,"CSA,EUR,MID","CSA,MID",map_38adf62f96fee1d4 || map_75832887e4c759b7
AXL,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,egfr_creatinine,gt_37da45aa8547319c,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,1,1,1,D005922,"Glomerulonephritis, IGA",B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_8b0167f355767b4c
GLP1R,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,egfr_creatinine,gt_815416408d11e054,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,1,1,1,D051437,Renal Insufficiency,B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_75832887e4c759b7
KCNJ1,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,egfr_creatinine,gt_72ede56b8ff4d0df,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,1,1,1,D051437,Renal Insufficiency,B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_75832887e4c759b7
NFE2L2,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,egfr_creatinine,gt_68fc6cde9a15be10,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,1,1,1,D051437,Renal Insufficiency,B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_75832887e4c759b7
NFKB1,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,egfr_creatinine,gt_5e2273bff10e0a9d,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,1,1,1,D005923,"Glomerulosclerosis, Focal Segmental",B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_38adf62f96fee1d4
NOX4,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,egfr_creatinine,gt_f8e7f75de5131a7d,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,1,1,1,D003928,Diabetic Nephropathies,B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_b559a03b2194c750
TGFB1,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,egfr_creatinine,gt_a74f9281d228a219,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,1,1,1,D005923,"Glomerulosclerosis, Focal Segmental",B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_38adf62f96fee1d4
TNFSF13,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,egfr_creatinine,gt_9539f4bd41078be3,PRIMARY,Proxy biomarker,Proxy biomarker,PRIMARY,1,1,1,D005922,"Glomerulonephritis, IGA",B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_8b0167f355767b4c
ABCC8,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_f8d54415d6cc1cc4,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,2,2,2,D003920 || D003924,"Diabetes Mellitus || Diabetes Mellitus, Type 2",A,2,0,False,True,A,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb || map_ae8d9a8f89a7795e
CALCR,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_269d8238b469e256,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,2,2,2,D003920 || D003924,"Diabetes Mellitus || Diabetes Mellitus, Type 2",B,0,2,False,True,B,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb || map_ae8d9a8f89a7795e
DGAT1,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_8af78a546ba0cf73,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,2,2,2,D003920 || D003924,"Diabetes Mellitus || Diabetes Mellitus, Type 2",B,0,2,False,True,B,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb || map_ae8d9a8f89a7795e
FBP1,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_58d110934e76bc52,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003924,"Diabetes Mellitus, Type 2",B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_ae8d9a8f89a7795e
FGFR1,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_ba7da04bd46d78cc,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003924,"Diabetes Mellitus, Type 2",B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_ae8d9a8f89a7795e
FGFR4,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_7fda23242315d7cb,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003924,"Diabetes Mellitus, Type 2",B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_ae8d9a8f89a7795e
GCK,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_e4ce2895dd27f904,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,2,2,2,D003920 || D003924,"Diabetes Mellitus || Diabetes Mellitus, Type 2","A,B",1,1,True,False,A,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb || map_ae8d9a8f89a7795e
GDF15,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_0f50d04f150328dc,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003920,Diabetes Mellitus,B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb
GIPR,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_08f7168b97dea82d,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003924,"Diabetes Mellitus, Type 2",A,1,0,False,True,A,"CSA,EUR,MID","CSA,MID",map_ae8d9a8f89a7795e
GLP1R,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_2b5ece6077c646df,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,2,2,2,D003920 || D003924,"Diabetes Mellitus || Diabetes Mellitus, Type 2","A,B",1,1,True,False,A,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb || map_ae8d9a8f89a7795e
GLP2R,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_9c96bb01f3b324b3,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003924,"Diabetes Mellitus, Type 2",B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_ae8d9a8f89a7795e
INS,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_e0b77e59a1b3311a,PRIMARY,Direct quantitative readout,Direct quantitative readout || Proxy biomarker,"PRIMARY,SENSITIVITY",3,3,3,D003920 || D003922 || D003924,"Diabetes Mellitus || Diabetes Mellitus, Type 1 || Diabetes Mellitus, Type 2","A,B",1,2,True,False,A,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb || map_ae8d9a8f89a7795e || map_b5a360540448779a
INSR,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_1985dd04cf146f6a,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003924,"Diabetes Mellitus, Type 2",A,1,0,False,True,A,"CSA,EUR,MID","CSA,MID",map_ae8d9a8f89a7795e
KCNJ11,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_9a354430dddcf5b3,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,2,2,2,D003920 || D003924,"Diabetes Mellitus || Diabetes Mellitus, Type 2",A,2,0,False,True,A,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb || map_ae8d9a8f89a7795e
MC4R,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_a9cf0a1ee71d1417,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,2,2,2,D003920 || D003924,"Diabetes Mellitus || Diabetes Mellitus, Type 2",B,0,2,False,True,B,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb || map_ae8d9a8f89a7795e
METAP2,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_049926198a583d6a,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003924,"Diabetes Mellitus, Type 2",B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_ae8d9a8f89a7795e
PPARG,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_5b728915d445b416,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003924,"Diabetes Mellitus, Type 2",A,1,0,False,True,A,"CSA,EUR,MID","CSA,MID",map_ae8d9a8f89a7795e
SELE,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_3d30f4f9e51c0032,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003920,Diabetes Mellitus,B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb
SLC5A1,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_2b081cc8074fcb3d,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,2,2,2,D003920 || D003924,"Diabetes Mellitus || Diabetes Mellitus, Type 2","A,B",1,1,True,False,A,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb || map_ae8d9a8f89a7795e
SREBF1,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_f49766f3ae4b8a2f,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003920,Diabetes Mellitus,B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb
TP53,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_f9d79082a44b2223,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003920,Diabetes Mellitus,B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb
VEGFA,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,gt_dab1180e9c6840b2,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D003924,"Diabetes Mellitus, Type 2",B,0,1,False,True,B,"CSA,EUR,MID","CSA,MID",map_ae8d9a8f89a7795e
JAK2,Pan-UKB,Pan-UKB::continuous|30030|both_sexes||irnt,Haematocrit percentage,continuous|30030|both_sexes||irnt,GRCh37,haematocrit,gt_26e68f63f1f17429,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D011087,Polycythemia Vera,A,1,0,False,True,A,"CSA,EUR",CSA,map_19b3731bad31a1f7
ACVRL1,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,haemoglobin,gt_df32c27b840a5558,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D000740,Anemia,B,0,1,False,True,B,"CSA,EUR",CSA,map_e6f7fc7e1a195345
BCL2,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,haemoglobin,gt_27028081fffa2432,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D000740,Anemia,B,0,1,False,True,B,"CSA,EUR",CSA,map_e6f7fc7e1a195345
DYRK3,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,haemoglobin,gt_6d527f983ded21ce,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D000740,Anemia,B,0,1,False,True,B,"CSA,EUR",CSA,map_e6f7fc7e1a195345
EGLN1,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,haemoglobin,gt_6543c2a00ddc02f5,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D000740,Anemia,A,1,0,False,True,A,"CSA,EUR",CSA,map_e6f7fc7e1a195345
EGLN2,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,haemoglobin,gt_6100c7305905baed,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D000740,Anemia,A,1,0,False,True,A,"CSA,EUR",CSA,map_e6f7fc7e1a195345
EGLN3,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,haemoglobin,gt_e581489a9e9ecfc2,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D000740,Anemia,A,1,0,False,True,A,"CSA,EUR",CSA,map_e6f7fc7e1a195345
EPOR,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,haemoglobin,gt_357a52ecdb682313,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D000740,Anemia,A,1,0,False,True,A,"CSA,EUR",CSA,map_e6f7fc7e1a195345
HAMP,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,haemoglobin,gt_71c56e5a21360fea,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D000740,Anemia,B,0,1,False,True,B,"CSA,EUR",CSA,map_e6f7fc7e1a195345
IL6,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,haemoglobin,gt_4d13eda51c3b314b,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D000740,Anemia,B,0,1,False,True,B,"CSA,EUR",CSA,map_e6f7fc7e1a195345
PKLR,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,haemoglobin,gt_75fe57ef3df525f5,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D000740,Anemia,B,0,1,False,True,B,"CSA,EUR",CSA,map_e6f7fc7e1a195345
SLC40A1,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,haemoglobin,gt_aa37c9461d658ae6,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D000740,Anemia,B,0,1,False,True,B,"CSA,EUR",CSA,map_e6f7fc7e1a195345
