estimator,level,n,fixed_mean,fixed_se,fixed_ci_lower,fixed_ci_upper,random_mean,random_se,random_ci_lower,random_ci_upper,tau2,q,q_df,i2_percent
deming,gene_trait_source_unit,50,0.5353527743779025,0.018799245147692954,0.498506930951885,0.5721986178039201,0.6732002183554332,0.06481113354656834,0.5461727308069435,0.8002277059039229,0.1554481270382936,460.82584506421114,49,89.3669158262657
fiqt,gene_trait_source_unit,50,0.5569008750755343,0.02136844508719789,0.5150194922990046,0.5987822578520641,0.6844674222449274,0.07424460341683656,0.5389506735014683,0.8299841709883865,0.2015685962249851,453.26024043103996,49,89.18943343598765
naive,gene_trait_source_unit,50,0.543621230399143,0.02070836821364848,0.503033574521798,0.584208886276488,0.6753101145356828,0.07156565390970902,0.535044010342595,0.8155762187287706,0.1846791499099973,445.1211973984779,49,88.9917621792937
