gene_trait_uid,estimator,n_comparison_ancestries,comparison_ancestries,unit_iv_fixed_slope,unit_iv_fixed_se,unit_iv_fixed_ci_lower,unit_iv_fixed_ci_upper,within_unit_tau2,within_unit_i2_percent,gene,candidate_trait_name,candidate_source,sensitivity_pool_assignment
gt_f49766f3ae4b8a2f,fiqt,2,CSA || MID,1.239168860593831,0.6180918089227859,0.027731175965957755,2.450606545221704,0.0,0.0,SREBF1,Glycated haemoglobin (HbA1c),Pan-UKB,B
gt_f49766f3ae4b8a2f,naive,2,CSA || MID,1.2328462971318719,0.6180918089227859,0.021408612503998725,2.444283981759745,0.0,0.0,SREBF1,Glycated haemoglobin (HbA1c),Pan-UKB,B
gt_f57de0955fec90d0,deming,3,AFR || CSA || MID,0.47121294207242104,0.06344790402339802,0.3468573352920069,0.5955685488528352,0.1338647386736402,91.57566133116097,APOC3,Triglycerides,Pan-UKB,A
gt_f57de0955fec90d0,fiqt,3,AFR || CSA || MID,0.8132027944711236,0.09295236537892863,0.6310195060506157,0.9953860828916316,0.13306078531176024,83.14401269274383,APOC3,Triglycerides,Pan-UKB,A
gt_f57de0955fec90d0,naive,3,AFR || CSA || MID,0.6770898172938931,0.07665725786323353,0.5268443527283555,0.8273352818594306,0.10364620895227421,83.33090849140522,APOC3,Triglycerides,Pan-UKB,A
gt_f9d79082a44b2223,deming,2,CSA || MID,0.46705415045149024,0.33302476922676477,-0.18566240319273164,1.119770704095712,2.840963662098577,73.90622574476615,TP53,Glycated haemoglobin (HbA1c),Pan-UKB,B
gt_f9d79082a44b2223,fiqt,2,CSA || MID,0.46867823931055835,0.31882705115538157,-0.15621129825109897,1.0935677768722156,0.0,0.0,TP53,Glycated haemoglobin (HbA1c),Pan-UKB,B
gt_f9d79082a44b2223,naive,2,CSA || MID,0.46269059346529895,0.31751777693025707,-0.15963281376922778,1.0850140006998257,0.0,0.0,TP53,Glycated haemoglobin (HbA1c),Pan-UKB,B
gt_fd539737d1f5d9cb,deming,3,AFR || AMR || EAS,0.2607772608096795,0.11462181219566696,0.036122637063458335,0.4854318845559007,0.0,0.0,F11,Venous thromboembolism,GBMI,B
gt_fd539737d1f5d9cb,fiqt,3,AFR || AMR || EAS,0.05702993352582304,0.20874930446359102,-0.35211118502060174,0.4661710520722478,0.0,0.0,F11,Venous thromboembolism,GBMI,B
gt_fd539737d1f5d9cb,naive,3,AFR || AMR || EAS,0.05614134787060271,0.20789404551516083,-0.3513234939394433,0.4636061896806487,0.0,0.0,F11,Venous thromboembolism,GBMI,B
gt_fdbaedc51aaa106f,deming,1,CSA,0.9139415202276651,0.17654430906406784,0.5679210327865838,1.2599620076687463,0.0,0.0,HMGCR,LDL direct,Pan-UKB,A
gt_fdbaedc51aaa106f,fiqt,1,CSA,0.9453185778464973,0.28973853442791203,0.37744148543437117,1.5131956702586233,0.0,0.0,HMGCR,LDL direct,Pan-UKB,A
gt_fdbaedc51aaa106f,naive,1,CSA,0.9404886946177494,0.2847049235901804,0.38247729815976783,1.498500091075731,0.0,0.0,HMGCR,LDL direct,Pan-UKB,A
