indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,direct_candidate_1_trait_key,direct_candidate_1_name,direct_candidate_1_source,direct_candidate_1_build,direct_candidate_1_pops,direct_candidate_1_score,direct_candidate_2_trait_key,direct_candidate_2_name,direct_candidate_2_source,direct_candidate_2_build,direct_candidate_2_pops,direct_candidate_2_score,direct_candidate_3_trait_key,direct_candidate_3_name,direct_candidate_3_source,direct_candidate_3_build,direct_candidate_3_pops,direct_candidate_3_score,direct_candidate_4_trait_key,direct_candidate_4_name,direct_candidate_4_source,direct_candidate_4_build,direct_candidate_4_pops,direct_candidate_4_score,direct_candidate_5_trait_key,direct_candidate_5_name,direct_candidate_5_source,direct_candidate_5_build,direct_candidate_5_pops,direct_candidate_5_score,selected_trait_key_1,mapping_tier_1,mapping_rationale_1,reviewer_notes_1,selected_trait_key_2,mapping_tier_2,mapping_rationale_2,reviewer_notes_2,selected_trait_key_3,mapping_tier_3,mapping_rationale_3,reviewer_notes_3,selected_trait_key_4,mapping_tier_4,mapping_rationale_4,reviewer_notes_4,selected_trait_key_5,mapping_tier_5,mapping_rationale_5,reviewer_notes_5,indication_review_status,exclude_reason,unmapped_reason
D014029,Tobacco Use Disorder,Tobacco Use Disorder,4,4,1,3,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",275.0,Pan-UKB::icd10|F17|both_sexes||,F17 Mental and behavioural disorders due to use of tobacco,Pan-UKB,GRCh37,"EAS,EUR",78.15315315315316,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",10.0,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",10.0,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",9.782608695652174,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D058186,Acute Kidney Injury,Acute Kidney Injury,3,3,0,3,GBMI::HF,Heart failure,GBMI,GRCh38,,48.125,GBMI::AcApp,Acute appendicitis,GBMI,GRCh38,,47.43421052631579,Pan-UKB::phecode|594.1|both_sexes||,Calculus of kidney,Pan-UKB,GRCh37,"CSA,EUR",46.85810810810811,Pan-UKB::icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,Pan-UKB,GRCh37,"CSA,EUR",36.18367346938776,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",8.25,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D001778,Blood Coagulation Disorders,Blood Coagulation Disorders,3,3,0,3,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",9.230769230769232,Pan-UKB::phecode|272|both_sexes||,Disorders of lipoid metabolism,Pan-UKB,GRCh37,"CSA,EUR",8.947368421052632,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",8.478260869565217,Pan-UKB::phecode|459|both_sexes||,Other disorders of circulatory system,Pan-UKB,GRCh37,"CSA,EUR",8.4375,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",7.857142857142858,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D005901,Glaucoma,Glaucoma,3,3,0,3,GBMI::POAG,Primary open-angle glaucoma,GBMI,GRCh38,,120.60714285714286,Pan-UKB::icd10|J45|both_sexes||,J45 Asthma,Pan-UKB,GRCh37,"CSA,EUR,MID",6.428571428571428,GBMI::Asthma,Asthma,GBMI,GRCh38,,6.428571428571428,GBMI::Appendectomy,Appendectomy,GBMI,GRCh38,,6.0,Pan-UKB::phecode|785|both_sexes||,Abdominal pain,Pan-UKB,GRCh37,"CSA,EUR",5.454545454545455,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D006467,Hemophilia A,Hemophilia A,3,3,3,0,Pan-UKB::phecode|550|both_sexes||,Abdominal hernia,Pan-UKB,GRCh37,"EAS,EUR",7.894736842105263,Pan-UKB::icd10|K42|both_sexes||,K42 Umbilical hernia,Pan-UKB,GRCh37,"CSA,EUR",7.692307692307692,Pan-UKB::phecode|550.4|both_sexes||,Umbilical hernia,Pan-UKB,GRCh37,"CSA,EUR",7.692307692307692,Pan-UKB::phecode|530|both_sexes||,Diseases of esophagus,Pan-UKB,GRCh37,"EUR,MID",7.5,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",7.297297297297297,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D024821,Metabolic Syndrome,Metabolic Syndrome,3,3,0,3,Pan-UKB::icd10|E11|both_sexes||,E11 Non-insulin-dependent diabetes mellitus,Pan-UKB,GRCh37,"CSA,EUR",42.45098039215687,Pan-UKB::phecode|272|both_sexes||,Disorders of lipoid metabolism,Pan-UKB,GRCh37,"CSA,EUR",8.4,GBMI::VTE,Venous thromboembolism,GBMI,GRCh38,,7.5,Pan-UKB::icd10|Z95|both_sexes||,Z95 Presence of cardiac and vascular implants and grafts,Pan-UKB,GRCh37,"CSA,EUR",7.411764705882353,GBMI::HCM,Hypertrophic cardiomyopathy,GBMI,GRCh38,,7.0588235294117645,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D008881,Migraine Disorders,Migraine Disorders,3,3,2,1,Pan-UKB::phecode|785|both_sexes||,Abdominal pain,Pan-UKB,GRCh37,"CSA,EUR",53.85416666666666,Pan-UKB::phecode|550|both_sexes||,Abdominal hernia,Pan-UKB,GRCh37,"EAS,EUR",52.25490196078431,GBMI::AAA,Abdominal aortic aneurysm,GBMI,GRCh38,,48.97727272727273,GBMI::AcApp,Acute appendicitis,GBMI,GRCh38,,44.20454545454545,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",10.0,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D009298,Nasal Polyps,Nasal Polyps,3,3,0,3,Pan-UKB::phecode|327.3|both_sexes||,Sleep apnea,Pan-UKB,GRCh37,"CSA,EUR",6.818181818181818,Pan-UKB::phecode|594|both_sexes||,Urinary calculus,Pan-UKB,GRCh37,"CSA,EUR",6.428571428571428,Pan-UKB::phecode|401.1|both_sexes||,Essential hypertension,Pan-UKB,GRCh37,"CSA,EUR",6.1764705882352935,Pan-UKB::phecode|785|both_sexes||,Abdominal pain,Pan-UKB,GRCh37,"CSA,EUR",6.0,Pan-UKB::icd10|Z72|both_sexes||,Z72 Problems related to lifestyle,Pan-UKB,GRCh37,"AFR,EUR",5.853658536585366,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D011618,Psychotic Disorders,Psychotic Disorders,3,3,1,2,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",9.75,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",9.75,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",9.545454545454543,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",8.478260869565217,Pan-UKB::phecode|496.21|both_sexes||,Obstructive chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",8.333333333333334,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D018805,Sepsis,Sepsis,3,3,0,3,Pan-UKB::phecode|960|both_sexes||,Poisoning by antibiotics,Pan-UKB,GRCh37,"CSA,EUR",47.98076923076923,Pan-UKB::phecode|558|both_sexes||,Noninfectious gastroenteritis,Pan-UKB,GRCh37,"CSA,EUR",7.800000000000001,Pan-UKB::icd10|F32|both_sexes||,F32 Depressive episode,Pan-UKB,GRCh37,"CSA,EUR",7.741935483870968,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",7.5,Pan-UKB::icd10|J45|both_sexes||,J45 Asthma,Pan-UKB,GRCh37,"CSA,EUR,MID",7.5,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D012852,Sinusitis,Sinusitis,3,3,0,3,Pan-UKB::phecode|558|both_sexes||,Noninfectious gastroenteritis,Pan-UKB,GRCh37,"CSA,EUR",8.666666666666666,Pan-UKB::phecode|250|both_sexes||,Diabetes mellitus,Pan-UKB,GRCh37,"CSA,EUR",7.272727272727273,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",6.923076923076923,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",6.923076923076923,Pan-UKB::phecode|960|both_sexes||,Poisoning by antibiotics,Pan-UKB,GRCh37,"CSA,EUR",6.75,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D013274,Stomach Neoplasms,Stomach Neoplasms,3,3,0,3,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,52.38095238095238,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,52.38095238095238,Pan-UKB::phecode|716.9|both_sexes||,Arthropathy NOS,Pan-UKB,GRCh37,"EAS,EUR",7.741935483870968,Pan-UKB::icd10|J45|both_sexes||,J45 Asthma,Pan-UKB,GRCh37,"CSA,EUR,MID",7.5,GBMI::AAA,Abdominal aortic aneurysm,GBMI,GRCh38,,7.5,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D013494,"Supranuclear Palsy, Progressive","Supranuclear Palsy, Progressive",3,3,0,3,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",7.894736842105263,Pan-UKB::icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,Pan-UKB,GRCh37,"EUR,MID",7.0588235294117645,Pan-UKB::icd10|F32|both_sexes||,F32 Depressive episode,Pan-UKB,GRCh37,"CSA,EUR",6.875,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,6.818181818181818,Pan-UKB::icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,Pan-UKB,GRCh37,"EUR,MID",6.623376623376623,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D013789,Thalassemia,Thalassemia,3,3,0,3,Pan-UKB::icd10|K80|both_sexes||,K80 Cholelithiasis,Pan-UKB,GRCh37,"EAS,EUR",6.0,Pan-UKB::phecode|574.1|both_sexes||,Cholelithiasis,Pan-UKB,GRCh37,"EAS,EUR",6.0,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",5.625,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",5.625,Pan-UKB::icd10|K42|both_sexes||,K42 Umbilical hernia,Pan-UKB,GRCh37,"CSA,EUR",5.555555555555555,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D000437,Alcoholism,Alcoholism,2,2,0,2,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",54.05797101449275,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",53.66666666666666,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",46.875,Pan-UKB::icd10|F17|both_sexes||,F17 Mental and behavioural disorders due to use of tobacco,Pan-UKB,GRCh37,"EAS,EUR",41.0,Pan-UKB::phecode|496.21|both_sexes||,Obstructive chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",35.0,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D002289,"Carcinoma, Non-Small-Cell Lung","Carcinoma, Non-Small-Cell Lung",2,2,1,1,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,43.92307692307692,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,43.15384615384615,Pan-UKB::icd10|E11|both_sexes||,E11 Non-insulin-dependent diabetes mellitus,Pan-UKB,GRCh37,"CSA,EUR",20.671497584541065,Pan-UKB::phecode|418|both_sexes||,Nonspecific chest pain,Pan-UKB,GRCh37,"CSA,EUR",6.470588235294118,Pan-UKB::phecode|835|both_sexes||,Internal derangement of knee,Pan-UKB,GRCh37,"EUR,MID",6.226415094339623,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D003863,Depression,Depression,2,2,1,1,Pan-UKB::icd10|F32|both_sexes||,F32 Depressive episode,Pan-UKB,GRCh37,"CSA,EUR",52.5,Pan-UKB::icd10|R19|both_sexes||,R19 Other symptoms and signs involving the digestive system and abdomen,Pan-UKB,GRCh37,"EUR,MID",39.94117647058823,Pan-UKB::phecode|401|both_sexes||,Hypertension,Pan-UKB,GRCh37,"CSA,EUR",9.545454545454543,Pan-UKB::phecode|401.1|both_sexes||,Essential hypertension,Pan-UKB,GRCh37,"CSA,EUR",9.285714285714286,Pan-UKB::phecode|785|both_sexes||,Abdominal pain,Pan-UKB,GRCh37,"CSA,EUR",7.9411764705882355,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D003865,"Depressive Disorder, Major",Major Depressive Disorder,2,2,1,1,Pan-UKB::icd10|F32|both_sexes||,F32 Depressive episode,Pan-UKB,GRCh37,"CSA,EUR",52.82945736434108,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",9.411764705882351,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",9.333333333333334,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",9.130434782608695,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",8.780487804878048,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D017719,Diabetic Foot,Diabetic Foot,2,2,0,2,Pan-UKB::phecode|250.2|both_sexes||,Type 2 diabetes,Pan-UKB,GRCh37,"CSA,EUR",8.571428571428571,Pan-UKB::phecode|250|both_sexes||,Diabetes mellitus,Pan-UKB,GRCh37,"CSA,EUR",8.0,Pan-UKB::icd10|K44|both_sexes||,K44 Diaphragmatic hernia,Pan-UKB,GRCh37,"EUR,MID",7.272727272727273,Pan-UKB::phecode|550.2|both_sexes||,Diaphragmatic hernia,Pan-UKB,GRCh37,"CSA,EUR,MID",7.272727272727273,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",6.923076923076923,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D004700,Endocrine System Diseases,Endocrine System Diseases,2,2,0,2,Pan-UKB::phecode|459|both_sexes||,Other disorders of circulatory system,Pan-UKB,GRCh37,"CSA,EUR",49.97435897435897,Pan-UKB::icd10|R19|both_sexes||,R19 Other symptoms and signs involving the digestive system and abdomen,Pan-UKB,GRCh37,"EUR,MID",40.27472527472528,Pan-UKB::phecode|530|both_sexes||,Diseases of esophagus,Pan-UKB,GRCh37,"EUR,MID",9.183673469387756,Pan-UKB::icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,Pan-UKB,GRCh37,"EUR,MID",8.5,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",8.461538461538462,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D004827,Epilepsy,Epilepsy,2,2,2,0,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",12.1875,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",12.1875,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",9.72972972972973,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",9.166666666666668,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",8.571428571428571,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D004829,"Epilepsy, Generalized","Epilepsy, Generalized",2,2,2,0,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",8.863636363636363,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",8.863636363636363,Pan-UKB::icd10|M51|both_sexes||,M51 Other intervertebral disk disorders,Pan-UKB,GRCh37,"CSA,EUR",8.4375,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",8.125,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",8.0,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D057180,Frontotemporal Dementia,Frontotemporal Dementia,2,2,0,2,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",43.885245901639344,Pan-UKB::phecode|459|both_sexes||,Other disorders of circulatory system,Pan-UKB,GRCh37,"CSA,EUR",39.321705426356594,Pan-UKB::phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases",Pan-UKB,GRCh37,"EUR,MID",33.641552511415526,Pan-UKB::icd10|Z72|both_sexes||,Z72 Problems related to lifestyle,Pan-UKB,GRCh37,"AFR,EUR",27.384615384615387,Pan-UKB::icd10|R19|both_sexes||,R19 Other symptoms and signs involving the digestive system and abdomen,Pan-UKB,GRCh37,"EUR,MID",20.155172413793103,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D005764,Gastroesophageal Reflux,Gastroesophageal Reflux,2,2,1,1,Pan-UKB::phecode|530.11|both_sexes||,GERD,Pan-UKB,GRCh37,"EUR,MID",275.0,Pan-UKB::icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,Pan-UKB,GRCh37,"EUR,MID",152.9310344827586,Pan-UKB::phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases",Pan-UKB,GRCh37,"EUR,MID",119.59349593495936,Pan-UKB::phecode|530|both_sexes||,Diseases of esophagus,Pan-UKB,GRCh37,"EUR,MID",9.62264150943396,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",8.571428571428571,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D005770,Gastrointestinal Neoplasms,Gastrointestinal Neoplasms,2,2,0,2,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,51.3963963963964,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,50.585585585585584,Pan-UKB::phecode|558|both_sexes||,Noninfectious gastroenteritis,Pan-UKB,GRCh37,"CSA,EUR",8.88888888888889,GBMI::AAA,Abdominal aortic aneurysm,GBMI,GRCh38,,8.181818181818182,Pan-UKB::icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,Pan-UKB,GRCh37,"EUR,MID",7.758620689655173,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D006258,Head and Neck Neoplasms,Head and Neck Neoplasms,2,2,0,2,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,52.46666666666666,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,52.46666666666666,Pan-UKB::phecode|594.1|both_sexes||,Calculus of kidney,Pan-UKB,GRCh37,"CSA,EUR",8.4375,Pan-UKB::icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,Pan-UKB,GRCh37,"CSA,EUR",8.076923076923077,Pan-UKB::icd10|R07|both_sexes||,R07 Pain in throat and chest,Pan-UKB,GRCh37,"CSA,EUR",7.647058823529411,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D006689,Hodgkin Disease,Hodgkin Disease,2,2,0,2,Pan-UKB::phecode|530|both_sexes||,Diseases of esophagus,Pan-UKB,GRCh37,"EUR,MID",8.91891891891892,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",8.461538461538462,Pan-UKB::icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,Pan-UKB,GRCh37,"CSA,EUR",8.125,GBMI::POAG,Primary open-angle glaucoma,GBMI,GRCh38,,7.826086956521739,GBMI::COPD,Chronic obstructive pulmonary disease,GBMI,GRCh38,,6.923076923076923,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D017681,Hypereosinophilic Syndrome,Hypereosinophilic Syndrome,2,2,0,2,GBMI::IPF,Idiopathic pulmonary fibrosis,GBMI,GRCh38,,46.47727272727273,GBMI::HCM,Hypertrophic cardiomyopathy,GBMI,GRCh38,,8.90625,GBMI::AcApp,Acute appendicitis,GBMI,GRCh38,,7.692307692307692,Pan-UKB::phecode|401.1|both_sexes||,Essential hypertension,Pan-UKB,GRCh37,"CSA,EUR",7.5,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",7.142857142857142,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D007680,Kidney Neoplasms,Kidney Neoplasms,2,2,2,0,Pan-UKB::phecode|594.1|both_sexes||,Calculus of kidney,Pan-UKB,GRCh37,"CSA,EUR",53.13725490196078,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,52.77777777777777,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,51.66666666666666,Pan-UKB::icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,Pan-UKB,GRCh37,"CSA,EUR",47.41666666666666,Pan-UKB::phecode|594|both_sexes||,Urinary calculus,Pan-UKB,GRCh37,"CSA,EUR",8.275862068965518,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D008593,Menopause,Menopause,2,2,1,1,Pan-UKB::icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,Pan-UKB,GRCh37,"CSA,EUR",6.6,Pan-UKB::icd10|Z72|both_sexes||,Z72 Problems related to lifestyle,Pan-UKB,GRCh37,"AFR,EUR",6.6,Pan-UKB::icd10|I83|both_sexes||,I83 Varicose veins of lower extremities,Pan-UKB,GRCh37,"AFR,EUR",6.428571428571428,Pan-UKB::phecode|594.1|both_sexes||,Calculus of kidney,Pan-UKB,GRCh37,"CSA,EUR",6.153846153846153,Pan-UKB::phecode|835|both_sexes||,Internal derangement of knee,Pan-UKB,GRCh37,"EUR,MID",6.122448979591837,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D009101,Multiple Myeloma,Multiple Myeloma,2,2,0,2,Pan-UKB::phecode|740|both_sexes||,Osteoarthrosis,Pan-UKB,GRCh37,"EUR,MID",9.230769230769232,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",8.333333333333334,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",8.275862068965518,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",8.275862068965518,Pan-UKB::icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,Pan-UKB,GRCh37,"CSA,EUR",8.0,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D019578,Multiple System Atrophy,Multiple System Atrophy,2,2,0,2,Pan-UKB::phecode|459|both_sexes||,Other disorders of circulatory system,Pan-UKB,GRCh37,"CSA,EUR",44.25,Pan-UKB::icd10|R19|both_sexes||,R19 Other symptoms and signs involving the digestive system and abdomen,Pan-UKB,GRCh37,"EUR,MID",30.13257575757576,Pan-UKB::phecode|716|both_sexes||,Other arthropathies,Pan-UKB,GRCh37,"EAS,EUR",9.0,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",8.0,Pan-UKB::phecode|716.9|both_sexes||,Arthropathy NOS,Pan-UKB,GRCh37,"EAS,EUR",7.9411764705882355,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D009203,Myocardial Infarction,Myocardial Infarction,2,2,1,1,GBMI::Stroke,Stroke,GBMI,GRCh38,,129.16666666666666,GBMI::HF,Heart failure,GBMI,GRCh38,,50.06666666666666,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",48.52380952380952,Pan-UKB::icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,Pan-UKB,GRCh37,"CSA,EUR",44.20454545454545,Pan-UKB::phecode|411.8|both_sexes||,"Other chronic ischemic heart disease, unspecified",Pan-UKB,GRCh37,"CSA,EAS,EUR",42.75,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
