indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,direct_candidate_1_trait_key,direct_candidate_1_name,direct_candidate_1_source,direct_candidate_1_build,direct_candidate_1_pops,direct_candidate_1_score,direct_candidate_2_trait_key,direct_candidate_2_name,direct_candidate_2_source,direct_candidate_2_build,direct_candidate_2_pops,direct_candidate_2_score,direct_candidate_3_trait_key,direct_candidate_3_name,direct_candidate_3_source,direct_candidate_3_build,direct_candidate_3_pops,direct_candidate_3_score,direct_candidate_4_trait_key,direct_candidate_4_name,direct_candidate_4_source,direct_candidate_4_build,direct_candidate_4_pops,direct_candidate_4_score,direct_candidate_5_trait_key,direct_candidate_5_name,direct_candidate_5_source,direct_candidate_5_build,direct_candidate_5_pops,direct_candidate_5_score,selected_trait_key_1,mapping_tier_1,mapping_rationale_1,reviewer_notes_1,selected_trait_key_2,mapping_tier_2,mapping_rationale_2,reviewer_notes_2,selected_trait_key_3,mapping_tier_3,mapping_rationale_3,reviewer_notes_3,selected_trait_key_4,mapping_tier_4,mapping_rationale_4,reviewer_notes_4,selected_trait_key_5,mapping_tier_5,mapping_rationale_5,reviewer_notes_5,indication_review_status,exclude_reason,unmapped_reason
D010051,Ovarian Neoplasms,Ovarian Neoplasms,7,7,0,7,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,52.38095238095238,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,51.30952380952381,Pan-UKB::phecode|594|both_sexes||,Urinary calculus,Pan-UKB,GRCh37,"CSA,EUR",8.275862068965518,Pan-UKB::phecode|411.4|both_sexes||,Coronary atherosclerosis,Pan-UKB,GRCh37,"CSA,EUR",7.692307692307692,Pan-UKB::phecode|594.1|both_sexes||,Calculus of kidney,Pan-UKB,GRCh37,"CSA,EUR",7.297297297297297,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D001281,Atrial Fibrillation,Atrial Fibrillation,6,6,2,4,Pan-UKB::phecode|401.1|both_sexes||,Essential hypertension,Pan-UKB,GRCh37,"CSA,EUR",8.653846153846153,GBMI::IPF,Idiopathic pulmonary fibrosis,GBMI,GRCh38,,8.076923076923077,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",7.317073170731707,Pan-UKB::phecode|459|both_sexes||,Other disorders of circulatory system,Pan-UKB,GRCh37,"CSA,EUR",7.164179104477612,GBMI::AAA,Abdominal aortic aneurysm,GBMI,GRCh38,,7.090909090909091,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D057765,Eosinophilic Esophagitis,Eosinophilic Esophagitis,6,6,2,4,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",47.15,Pan-UKB::phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases",Pan-UKB,GRCh37,"EUR,MID",45.635245901639344,Pan-UKB::icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,Pan-UKB,GRCh37,"CSA,EUR",35.095238095238095,Pan-UKB::phecode|496.21|both_sexes||,Obstructive chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",34.74193548387097,GBMI::COPD,Chronic obstructive pulmonary disease,GBMI,GRCh38,,33.33802816901408,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D007676,"Kidney Failure, Chronic","Kidney Failure, Chronic",6,6,1,5,GBMI::HF,Heart failure,GBMI,GRCh38,,47.57352941176471,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",47.21153846153846,Pan-UKB::phecode|594.1|both_sexes||,Calculus of kidney,Pan-UKB,GRCh37,"CSA,EUR",45.5,Pan-UKB::icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,Pan-UKB,GRCh37,"CSA,EUR",35.23529411764706,GBMI::COPD,Chronic obstructive pulmonary disease,GBMI,GRCh38,,34.758620689655174,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D010300,Parkinson Disease,Parkinson Disease,6,6,0,6,GBMI::IPF,Idiopathic pulmonary fibrosis,GBMI,GRCh38,,48.22368421052632,GBMI::POAG,Primary open-angle glaucoma,GBMI,GRCh38,,45.297872340425535,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",9.0,Pan-UKB::icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,Pan-UKB,GRCh37,"EUR,MID",7.5,Pan-UKB::phecode|411.4|both_sexes||,Coronary atherosclerosis,Pan-UKB,GRCh37,"CSA,EUR",7.5,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D012859,Sjogren's Syndrome,Sjogren's Syndrome,6,6,1,5,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",6.486486486486487,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,6.428571428571428,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",6.1764705882352935,GBMI::VTE,Venous thromboembolism,GBMI,GRCh38,,6.153846153846153,Pan-UKB::icd10|F32|both_sexes||,F32 Depressive episode,Pan-UKB,GRCh37,"CSA,EUR",6.0,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D007319,Sleep Initiation and Maintenance Disorders,Sleep Initiation and Maintenance Disorders,6,6,3,3,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",79.56140350877193,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",79.56140350877193,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",50.49019607843137,Pan-UKB::icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,Pan-UKB,GRCh37,"CSA,EUR",47.047872340425535,GBMI::COPD,Chronic obstructive pulmonary disease,GBMI,GRCh38,,45.54245283018868,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D001714,Bipolar Disorder,Bipolar Disorder,5,5,3,2,Pan-UKB::phecode|250.2|both_sexes||,Type 2 diabetes,Pan-UKB,GRCh37,"CSA,EUR",49.56140350877192,Pan-UKB::icd10|F32|both_sexes||,F32 Depressive episode,Pan-UKB,GRCh37,"CSA,EUR",48.29545454545455,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",10.3125,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",10.3125,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",9.705882352941178,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D016553,"Purpura, Thrombocytopenic, Idiopathic","Purpura, Thrombocytopenic, Idiopathic",5,5,1,4,GBMI::IPF,Idiopathic pulmonary fibrosis,GBMI,GRCh38,,33.92307692307692,Pan-UKB::phecode|530|both_sexes||,Diseases of esophagus,Pan-UKB,GRCh37,"EUR,MID",9.473684210526317,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",8.108108108108109,GBMI::VTE,Venous thromboembolism,GBMI,GRCh38,,7.826086956521739,GBMI::HCM,Hypertrophic cardiomyopathy,GBMI,GRCh38,,7.741935483870968,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D012893,Sleep Wake Disorders,Sleep Wake Disorders,5,5,1,4,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",275.0,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",275.0,Pan-UKB::phecode|327.3|both_sexes||,Sleep apnea,Pan-UKB,GRCh37,"CSA,EUR",85.9,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",44.62711864406779,Pan-UKB::phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases",Pan-UKB,GRCh37,"EUR,MID",32.08333333333333,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D013927,Thrombosis,Thrombosis,5,5,2,3,Pan-UKB::phecode|740|both_sexes||,Osteoarthrosis,Pan-UKB,GRCh37,"EUR,MID",9.0,GBMI::VTE,Venous thromboembolism,GBMI,GRCh38,,8.68421052631579,Pan-UKB::phecode|411.4|both_sexes||,Coronary atherosclerosis,Pan-UKB,GRCh37,"CSA,EUR",8.25,Pan-UKB::phecode|716.9|both_sexes||,Arthropathy NOS,Pan-UKB,GRCh37,"EAS,EUR",7.741935483870968,Pan-UKB::phecode|716|both_sexes||,Other arthropathies,Pan-UKB,GRCh37,"EAS,EUR",7.7142857142857135,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D002318,Cardiovascular Diseases,Cardiovascular Diseases,4,4,0,4,Pan-UKB::icd10|Z95|both_sexes||,Z95 Presence of cardiac and vascular implants and grafts,Pan-UKB,GRCh37,"CSA,EUR",41.28787878787879,Pan-UKB::phecode|960.2|both_sexes||,Allergy/adverse effect of penicillin,Pan-UKB,GRCh37,"CSA,EUR",32.14912280701754,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",7.5,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",7.5,Pan-UKB::phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases",Pan-UKB,GRCh37,"EUR,MID",7.5,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D006967,Hypersensitivity,Hypersensitivity,4,4,0,4,Pan-UKB::phecode|960.2|both_sexes||,Allergy/adverse effect of penicillin,Pan-UKB,GRCh37,"CSA,EUR",118.63372093023256,Pan-UKB::icd10|Z88|both_sexes||,"Z88 Personal history of allergy to drugs, medicaments and biologocal substances",Pan-UKB,GRCh37,"CSA,EUR",111.9675925925926,Pan-UKB::phecode|401|both_sexes||,Hypertension,Pan-UKB,GRCh37,"CSA,EUR",9.642857142857144,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",7.674418604651163,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",7.5,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D008181,Lupus Nephritis,Lupus Nephritis,4,4,0,4,Pan-UKB::phecode|716.2|both_sexes||,Unspecified monoarthritis,Pan-UKB,GRCh37,"CSA,EAS,EUR,MID",7.5,Pan-UKB::phecode|558|both_sexes||,Noninfectious gastroenteritis,Pan-UKB,GRCh37,"CSA,EUR",7.358490566037735,Pan-UKB::phecode|250|both_sexes||,Diabetes mellitus,Pan-UKB,GRCh37,"CSA,EUR",7.0588235294117645,Pan-UKB::icd10|R07|both_sexes||,R07 Pain in throat and chest,Pan-UKB,GRCh37,"CSA,EUR",6.585365853658536,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",6.5625,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D008269,Macular Edema,Macular Edema,4,4,1,3,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,7.0588235294117645,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,6.857142857142857,Pan-UKB::phecode|716.9|both_sexes||,Arthropathy NOS,Pan-UKB,GRCh37,"EAS,EUR",6.73469387755102,GBMI::HCM,Hypertrophic cardiomyopathy,GBMI,GRCh38,,6.393442622950819,GBMI::Appendectomy,Appendectomy,GBMI,GRCh38,,6.363636363636364,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D008545,Melanoma,Melanoma,4,4,0,4,GBMI::POAG,Primary open-angle glaucoma,GBMI,GRCh38,,7.333333333333333,Pan-UKB::phecode|785|both_sexes||,Abdominal pain,Pan-UKB,GRCh37,"CSA,EUR",6.5625,Pan-UKB::icd10|J45|both_sexes||,J45 Asthma,Pan-UKB,GRCh37,"CSA,EUR,MID",6.428571428571428,GBMI::Asthma,Asthma,GBMI,GRCh38,,6.428571428571428,Pan-UKB::phecode|327.3|both_sexes||,Sleep apnea,Pan-UKB,GRCh37,"CSA,EUR",6.315789473684211,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D012559,Schizophrenia,Schizophrenia,4,4,1,3,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",9.473684210526317,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",9.473684210526317,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",9.375,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",9.069767441860463,Pan-UKB::phecode|401.1|both_sexes||,Essential hypertension,Pan-UKB,GRCh37,"CSA,EUR",8.68421052631579,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D013167,"Spondylitis, Ankylosing","Spondylitis, Ankylosing",4,4,0,4,Pan-UKB::phecode|714|both_sexes||,Rheumatoid arthritis and other inflammatory polyarthropathies,Pan-UKB,GRCh37,"CSA,EUR",42.42168674698795,Pan-UKB::phecode|716.2|both_sexes||,Unspecified monoarthritis,Pan-UKB,GRCh37,"CSA,EAS,EUR,MID",8.49056603773585,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",8.461538461538462,GBMI::COPD,Chronic obstructive pulmonary disease,GBMI,GRCh38,,8.360655737704917,Pan-UKB::icd10|M17|both_sexes||,M17 Gonarthrosis [arthrosis of knee],Pan-UKB,GRCh37,"EUR,MID",7.894736842105263,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
