estimator,approval_pool,approval_group,n_units,n_unique_genes,median_slope,median_ci_lower,median_ci_upper,q1,q3,iqr,mean_slope,standard_deviation,minimum,maximum,bootstrap_replicates
naive,A,Launched/approved,18,16,0.602034410194882,0.19494067497658046,0.9462236616774026,0.16329487233409148,0.9490911452072293,0.7857962728731378,0.5853317196419229,0.6771209545793865,-0.9268437369114539,2.0251674776186306,20000
naive,B,Phase I-III/not launched,32,31,0.6184368436653904,0.5023758933105766,0.8076247554857552,0.4235023818570388,0.9805662010638809,0.5570638192068421,0.5106657495883489,0.9608230876558939,-3.7678793552031546,1.667292026377597,20000
fiqt,A,Launched/approved,18,16,0.6053809748492391,0.1956748117926485,0.9453185778464973,0.16419469783550505,0.9540864146868102,0.7898917168513051,0.6006488071238443,0.6843540741181583,-0.9351119779702272,2.044108875200208,20000
fiqt,B,Phase I-III/not launched,32,31,0.6212128995751967,0.5049272261680045,0.8223379501189477,0.4536507868229332,0.9890174138932364,0.5353666270703032,0.5148615963313279,0.9705188315456158,-3.8143900596295133,1.6808499399078327,20000
deming,A,Launched/approved,18,16,0.6287996296385714,0.340034536862849,0.9139415202276651,0.33575770820482553,0.948125447850915,0.6123677396460895,0.6480222046248493,0.5418484136955358,-0.7143098886348315,1.6334981950811025,20000
deming,B,Phase I-III/not launched,32,31,0.600766554756641,0.513010046168282,0.8122530706517113,0.41178458873450896,0.9425387415553887,0.5307541528208798,0.6674915216017525,0.5233677623601752,-0.756456775666501,1.979606173758344,20000
