comparison_population,n_comparisons,n_with_sample_size_ratio,sample_size_ratio_median,sample_size_ratio_q25,sample_size_ratio_q75,n_with_variant_se_ratio,variant_se_ratio_median,variant_se_ratio_q25,variant_se_ratio_q75
ALL,104,0,,,,104,7.293335236863824,6.4500850833842875,11.8316425606371
AFR,22,0,,,,22,7.507999945532287,6.865402481394895,8.737209052836223
AMR,7,0,,,,7,7.757031119986688,7.254610153740078,8.014839811473067
CSA,44,0,,,,44,6.68006032920796,6.082689249139806,6.977511236139004
EAS,11,0,,,,11,4.438569449593194,2.4136845099906763,12.99831285679336
MID,20,0,,,,20,16.24299006872139,14.734540874560333,17.203999575330663
