bootstrap_requested_replicates,bootstrap_valid_replicates,candidate_source,candidate_trait_key,candidate_trait_name,ci_lower,ci_method,ci_upper,comparison_population,comparison_reference_population,comparison_uid,deming_bound,deming_near_boundary,deming_objective,deming_success,estimator,gene,gene_trait_uid,genome_build,is_primary_threshold,lead_sign_concordant,median_abs_eur_z,mixed_pool,n_variants,pearson_r,primary_approval_eligible,r2_threshold,sign_concordance,slope,unit_analysis_role,slope_se_approx,eur_analysis_n,comparison_analysis_n,comparison_population_feasibility,gene_feasibility,candidate_trait_name_feasibility,candidate_source_feasibility,sample_size_ratio,median_variant_se_ratio,median_eur_variant_se,median_comparison_variant_se,n_variant_effect_rows,gene_unit,candidate_trait_name_unit,candidate_source_unit,sensitivity_pool_assignment,comparison_prior_stability,primary_pp_h3,primary_pp_h4,primary_conditional_h4,primary_category,shared_vs_other
1000,1000,GBMI,GBMI::Asthma,Asthma,0.6114637514357679,percentile bootstrap over ancestry-paired LD-pruned variants,1.4967043228514667,EAS,EAS,cmp_297fbf716b9104dc,5.403356390932938,False,4.090924142451976,True,fiqt,IL5,gt_8eacc233dce7b2c8,GRCh38,True,True,9.414282991481814,False,5,0.912353435881961,True,0.1,1.0,1.088202623884012,PRIMARY,0.22583082607597985,,,EAS,IL5,Asthma,GBMI,,3.2443563740917747,0.0058504,0.02505,5,IL5,Asthma,GBMI,B,ROBUST_DISTINCT,0.9995792653931935,0.000378215954974997,0.0003782320368912851,DISTINCT_H3_GE_0P8,NOT_ROBUST_SHARED
1000,1000,GBMI,GBMI::Asthma,Asthma,0.9948127912401028,percentile bootstrap over ancestry-paired LD-pruned variants,1.6932761819258344,EAS,EAS,cmp_297fbf716b9104dc,5.403356390932938,False,4.090924142451976,True,deming,IL5,gt_8eacc233dce7b2c8,GRCh38,True,True,9.414282991481814,False,5,0.912353435881961,True,0.1,1.0,1.3432267646133782,PRIMARY,0.17818271054854112,,,EAS,IL5,Asthma,GBMI,,3.2443563740917747,0.0058504,0.02505,5,IL5,Asthma,GBMI,B,ROBUST_DISTINCT,0.9995792653931935,0.000378215954974997,0.0003782320368912851,DISTINCT_H3_GE_0P8,NOT_ROBUST_SHARED
1000,1000,GBMI,GBMI::Asthma,Asthma,0.4841743540585929,percentile bootstrap over ancestry-paired LD-pruned variants,1.6169714042453087,CSA,SAS,cmp_4af752414605f4d3,6.800259879731193,False,7.1938927830807495,True,naive,IL1RL1,gt_e0253f9da76890c4,GRCh38,True,True,8.032834731849691,False,5,0.964347301766002,True,0.1,0.8,1.3600519759462386,PRIMARY,0.28898414948490747,,,CSA,IL1RL1,Asthma,GBMI,,5.437535831552614,0.0067692,0.043328,5,IL1RL1,Asthma,GBMI,B,ROBUST_DISTINCT,0.9960130424083146,0.003831617042382633,0.0038322123403526282,DISTINCT_H3_GE_0P8,NOT_ROBUST_SHARED
1000,1000,GBMI,GBMI::Asthma,Asthma,0.4866266461343023,percentile bootstrap over ancestry-paired LD-pruned variants,1.6207483560740197,CSA,SAS,cmp_4af752414605f4d3,6.800259879731193,False,7.1938927830807495,True,fiqt,IL1RL1,gt_e0253f9da76890c4,GRCh38,True,True,8.032834731849691,False,5,0.964347301766002,True,0.1,0.8,1.3664067310596704,PRIMARY,0.28932207910082147,,,CSA,IL1RL1,Asthma,GBMI,,5.437535831552614,0.0067692,0.043328,5,IL1RL1,Asthma,GBMI,B,ROBUST_DISTINCT,0.9960130424083146,0.003831617042382633,0.0038322123403526282,DISTINCT_H3_GE_0P8,NOT_ROBUST_SHARED
1000,1000,GBMI,GBMI::Asthma,Asthma,0.2548260010507395,percentile bootstrap over ancestry-paired LD-pruned variants,1.688753438625344,CSA,SAS,cmp_4af752414605f4d3,6.800259879731193,False,7.1938927830807495,True,deming,IL1RL1,gt_e0253f9da76890c4,GRCh38,True,True,8.032834731849691,False,5,0.964347301766002,True,0.1,0.8,1.419719562437151,PRIMARY,0.36580453745202496,,,CSA,IL1RL1,Asthma,GBMI,,5.437535831552614,0.0067692,0.043328,5,IL1RL1,Asthma,GBMI,B,ROBUST_DISTINCT,0.9960130424083146,0.003831617042382633,0.0038322123403526282,DISTINCT_H3_GE_0P8,NOT_ROBUST_SHARED
1000,1000,Pan-UKB,Pan-UKB::biomarkers|30870|both_sexes||irnt,Triglycerides,0.7362687637511889,percentile bootstrap over ancestry-paired LD-pruned variants,1.127405700278382,CSA,CSA,cmp_58feb2f9cd1731f6,4.353097612621854,False,43.9120810027326,True,naive,APOC3,gt_f57de0955fec90d0,GRCh37,True,True,14.74149424303135,False,16,0.9177813306948112,True,0.1,0.875,0.8706195225243708,PRIMARY,0.09978166425822906,,,CSA,APOC3,Triglycerides,Pan-UKB,,6.455019667275019,0.0052145,0.036849999999999994,16,APOC3,Triglycerides,Pan-UKB,A,ROBUST_SHARED,2.8962263987923925e-09,0.9999999971041689,0.9999999971037736,SHARED_H4_GE_0P8,ROBUST_SHARED
1000,1000,Pan-UKB,Pan-UKB::biomarkers|30870|both_sexes||irnt,Triglycerides,0.834490362276667,percentile bootstrap over ancestry-paired LD-pruned variants,1.3705376617714822,CSA,CSA,cmp_58feb2f9cd1731f6,4.353097612621854,False,43.9120810027326,True,fiqt,APOC3,gt_f57de0955fec90d0,GRCh37,True,True,14.74149424303135,False,16,0.9177813306948112,True,0.1,0.875,1.0977945841057706,PRIMARY,0.13674927287518748,,,CSA,APOC3,Triglycerides,Pan-UKB,,6.455019667275019,0.0052145,0.036849999999999994,16,APOC3,Triglycerides,Pan-UKB,A,ROBUST_SHARED,2.8962263987923925e-09,0.9999999971041689,0.9999999971037736,SHARED_H4_GE_0P8,ROBUST_SHARED
1000,1000,Pan-UKB,Pan-UKB::biomarkers|30870|both_sexes||irnt,Triglycerides,0.7977038449053954,percentile bootstrap over ancestry-paired LD-pruned variants,1.301745051112824,CSA,CSA,cmp_58feb2f9cd1731f6,4.353097612621854,False,43.9120810027326,True,deming,APOC3,gt_f57de0955fec90d0,GRCh37,True,True,14.74149424303135,False,16,0.9177813306948112,True,0.1,0.875,0.9269489683046768,PRIMARY,0.12858430312578223,,,CSA,APOC3,Triglycerides,Pan-UKB,,6.455019667275019,0.0052145,0.036849999999999994,16,APOC3,Triglycerides,Pan-UKB,A,ROBUST_SHARED,2.8962263987923925e-09,0.9999999971041689,0.9999999971037736,SHARED_H4_GE_0P8,ROBUST_SHARED
1000,1000,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,0.6107919495817207,percentile bootstrap over ancestry-paired LD-pruned variants,0.9862363286260656,AFR,AFR,cmp_88c6906de1ea612c,4.300497293394297,False,9.199438786417698,True,naive,THPO,gt_5a525d6a0e697a02,GRCh37,True,True,9.709352517985613,False,9,0.9136832659946373,True,0.1,0.7777777777777778,0.8190850129427886,PRIMARY,0.09577838725757266,,,AFR,THPO,Platelet count,Pan-UKB,,6.5670816044260025,0.003475,0.0335,9,THPO,Platelet count,Pan-UKB,B,PRIOR_SENSITIVE,0.6987066655962487,0.3012692364105512,0.3012764965695169,INCONCLUSIVE,NOT_ROBUST_SHARED
1000,1000,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,0.6174173296393266,percentile bootstrap over ancestry-paired LD-pruned variants,0.9918217456762246,AFR,AFR,cmp_88c6906de1ea612c,4.300497293394297,False,9.199438786417698,True,fiqt,THPO,gt_5a525d6a0e697a02,GRCh37,True,True,9.709352517985613,False,9,0.9136832659946373,True,0.1,0.7777777777777778,0.8223379501189477,PRIMARY,0.09551308569702104,,,AFR,THPO,Platelet count,Pan-UKB,,6.5670816044260025,0.003475,0.0335,9,THPO,Platelet count,Pan-UKB,B,PRIOR_SENSITIVE,0.6987066655962487,0.3012692364105512,0.3012764965695169,INCONCLUSIVE,NOT_ROBUST_SHARED
