comparison_uid,gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,comparison_population,unit_analysis_role,mixed_pool,primary_approval_eligible,maf_threshold,gws_p_threshold,min_portability_variants_pre_ld,min_coloc_variants,n_raw_eur_variants,n_raw_comparison_variants,n_raw_shared_rows,n_duplicate_key_rows_excluded,n_harmonized_exact,n_harmonized_swapped,n_harmonized_primary,n_harmonized_sensitivity,n_valid_biallelic_snp,n_valid_beta_se,n_valid_p,n_valid_af,n_maf_pass,n_quality_pass,n_qc_qualified,n_qc_qualified_sensitivity,n_eur_gws_qc,n_comparison_gws_qc,n_eur_gws_qc_sensitivity,n_comparison_gws_qc_sensitivity,sample_metadata_usable,gbmi_swapped_sensitivity_only,n_eur_strand_flip_flagged,n_comparison_strand_flip_flagged,n_eur_diff_af_gnomad_flagged,n_comparison_diff_af_gnomad_flagged,eur_trait_type,eur_coloc_type,eur_n_cases_median,eur_n_controls_median,eur_n_total_median,eur_case_fraction_median,eur_usable,comparison_trait_type,comparison_coloc_type,comparison_n_cases_median,comparison_n_controls_median,comparison_n_total_median,comparison_case_fraction_median,comparison_usable,portability_pre_ld_eligible,portability_failure_reason,coloc_input_eligible,coloc_failure_reason,coloc_powered_both_ancestries,harmonized_parquet,harmonized_sidecar,cache_action,eur_n_cases,eur_n_controls,eur_n_total,eur_case_fraction,comparison_n_cases,comparison_n_controls,comparison_n_total,comparison_case_fraction,is_primary_mapping,is_nonmixed,primary_mechanistic_universe,portability_primary_locked,portability_sensitivity_locked,coloc_primary_locked,coloc_powered_primary_locked,coloc_sensitivity_locked,coloc_powered_sensitivity_locked,approval_analysis_eligible
cmp_ab8ccf0cc0913f47,gt_b5915a3fe7e0c8ef,IL13,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,1807,1300,,0,860,1,860,861,797,861,861,861,289,860,264,264.0,223,0,223.0,0.0,True,True,0.0,0.0,1.0,1.0,binary,cc,117670.0,1198773.0,1316443.0,0.08938480435537277,True,binary,cc,3603.0,15575.0,19178.0,0.18787151944936906,True,True,,True,,False,intermediate/15b4/comparisons/cmp_ab8ccf0cc0913f47.parquet,intermediate/15b4/comparisons/cmp_ab8ccf0cc0913f47.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_d6a94e5b9cd24b66,gt_b5915a3fe7e0c8ef,IL13,GBMI,GBMI::Asthma,Asthma,AMR,PRIMARY,False,True,0.01,5e-08,3,50,1807,667,,0,666,1,666,667,615,667,667,667,317,666,292,292.0,229,0,229.0,0.0,True,True,0.0,0.0,1.0,1.0,binary,cc,117670.0,1198773.0,1316443.0,0.08938480435537277,True,binary,cc,4069.0,14104.0,18173.0,0.22390359324272271,True,True,,True,,False,intermediate/15b4/comparisons/cmp_d6a94e5b9cd24b66.parquet,intermediate/15b4/comparisons/cmp_d6a94e5b9cd24b66.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_36a279eb7569f6dc,gt_b5915a3fe7e0c8ef,IL13,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,1807,436,,0,425,0,425,425,425,425,425,425,286,424,285,285.0,226,0,226.0,0.0,True,True,0.0,0.0,1.0,1.0,binary,cc,117670.0,1198773.0,1316443.0,0.08938480435537277,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,True,,True,,False,intermediate/15b4/comparisons/cmp_36a279eb7569f6dc.parquet,intermediate/15b4/comparisons/cmp_36a279eb7569f6dc.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_a76b488e4d6fc321,gt_b5915a3fe7e0c8ef,IL13,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,1807,576,,0,346,0,346,346,316,346,346,346,286,345,260,260.0,225,81,225.0,81.0,True,True,0.0,0.0,1.0,1.0,binary,cc,117670.0,1198773.0,1316443.0,0.08938480435537277,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,True,intermediate/15b4/comparisons/cmp_a76b488e4d6fc321.parquet,intermediate/15b4/comparisons/cmp_a76b488e4d6fc321.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,True,True,True,True
cmp_970c00a72772998e,gt_643969c79b356830,IL17RB,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,2174,1576,,0,1045,0,1045,1045,977,1045,1045,1045,572,1042,528,528.0,0,0,0.0,0.0,True,True,0.0,0.0,1.0,3.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,5051.0,27607.0,32658.0,0.15466348214832507,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_970c00a72772998e.parquet,intermediate/15b4/comparisons/cmp_970c00a72772998e.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True
cmp_efb9c759a376363a,gt_643969c79b356830,IL17RB,GBMI,GBMI::Asthma,Asthma,AMR,PRIMARY,False,True,0.01,5e-08,3,50,2174,933,,0,924,0,924,924,868,924,924,924,624,922,579,579.0,0,0,0.0,0.0,True,True,0.0,0.0,1.0,2.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4069.0,14104.0,18173.0,0.22390359324272271,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_efb9c759a376363a.parquet,intermediate/15b4/comparisons/cmp_efb9c759a376363a.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True
cmp_be7991c3429d43fa,gt_643969c79b356830,IL17RB,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,2174,764,,0,732,0,732,732,732,732,732,732,532,731,531,531.0,0,0,0.0,0.0,True,True,0.0,0.0,1.0,1.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_be7991c3429d43fa.parquet,intermediate/15b4/comparisons/cmp_be7991c3429d43fa.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True
cmp_391e0792ae5e5eb8,gt_643969c79b356830,IL17RB,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,2174,1073,,0,711,0,711,711,661,711,711,711,469,708,428,428.0,0,0,0.0,0.0,True,True,0.0,0.0,2.0,1.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_391e0792ae5e5eb8.parquet,intermediate/15b4/comparisons/cmp_391e0792ae5e5eb8.json,PROCESSED_NOW,,,,,,,,,True,True,True,False,False,True,False,True,False,True
cmp_50dfe6ec581edb6f,gt_e0253f9da76890c4,IL1RL1,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,2435,1825,,0,1163,1,1163,1164,1093,1164,1164,1164,826,1157,775,775.0,398,0,398.0,0.0,True,True,1.0,0.0,7.0,2.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,5051.0,27607.0,32658.0,0.15466348214832507,True,True,,True,,False,intermediate/15b4/comparisons/cmp_50dfe6ec581edb6f.parquet,intermediate/15b4/comparisons/cmp_50dfe6ec581edb6f.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_1113c8b20072258e,gt_e0253f9da76890c4,IL1RL1,GBMI,GBMI::Asthma,Asthma,AMR,PRIMARY,False,True,0.01,5e-08,3,50,2435,1023,,0,1020,1,1020,1021,954,1021,1021,1021,874,1015,820,820.0,398,0,398.0,0.0,True,True,1.0,0.0,6.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4069.0,14104.0,18173.0,0.22390359324272271,True,True,,True,,False,intermediate/15b4/comparisons/cmp_1113c8b20072258e.parquet,intermediate/15b4/comparisons/cmp_1113c8b20072258e.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_4af752414605f4d3,gt_e0253f9da76890c4,IL1RL1,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,2435,959,,0,931,0,931,931,931,931,931,931,783,927,779,779.0,397,21,397.0,21.0,True,True,0.0,0.0,4.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,True,,True,,True,intermediate/15b4/comparisons/cmp_4af752414605f4d3.parquet,intermediate/15b4/comparisons/cmp_4af752414605f4d3.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,True,True,True,True
cmp_17d744d1985fa469,gt_e0253f9da76890c4,IL1RL1,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,2435,1206,,0,849,0,849,849,782,849,849,849,720,839,656,656.0,392,92,392.0,92.0,True,True,1.0,0.0,9.0,2.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,True,intermediate/15b4/comparisons/cmp_17d744d1985fa469.parquet,intermediate/15b4/comparisons/cmp_17d744d1985fa469.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,True,True,True,True
cmp_2fa1f1babb57f737,gt_ceb57718dd9864a2,IL3,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,1837,1485,,0,869,1,869,870,825,870,870,870,334,870,319,319.0,50,0,50.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,5051.0,27607.0,32658.0,0.15466348214832507,True,True,,True,,False,intermediate/15b4/comparisons/cmp_2fa1f1babb57f737.parquet,intermediate/15b4/comparisons/cmp_2fa1f1babb57f737.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_c7a26102b9b160c3,gt_ceb57718dd9864a2,IL3,GBMI,GBMI::Asthma,Asthma,AMR,PRIMARY,False,True,0.01,5e-08,3,50,1837,540,,0,537,0,537,537,517,537,537,537,369,537,352,352.0,50,0,50.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4069.0,14104.0,18173.0,0.22390359324272271,True,True,,True,,False,intermediate/15b4/comparisons/cmp_c7a26102b9b160c3.parquet,intermediate/15b4/comparisons/cmp_c7a26102b9b160c3.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_4aca20d855ce9b3c,gt_ceb57718dd9864a2,IL3,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,1837,536,,0,478,0,478,478,478,478,478,478,332,478,332,332.0,49,0,49.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,True,,True,,False,intermediate/15b4/comparisons/cmp_4aca20d855ce9b3c.parquet,intermediate/15b4/comparisons/cmp_4aca20d855ce9b3c.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_82190d5c3cce51fe,gt_ceb57718dd9864a2,IL3,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,1837,724,,0,402,0,402,402,384,402,402,402,299,402,283,283.0,23,0,23.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,False,intermediate/15b4/comparisons/cmp_82190d5c3cce51fe.parquet,intermediate/15b4/comparisons/cmp_82190d5c3cce51fe.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_2bc6da7bd58f8b90,gt_62933438673c2307,IL33,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,2619,1796,,0,1133,0,1133,1133,1080,1133,1133,1133,627,1131,602,602.0,215,0,215.0,0.0,True,True,1.0,1.0,2.0,1.0,binary,cc,118889.0,1240541.0,1359430.0,0.08861461363548828,True,binary,cc,4762.0,26670.0,31432.0,0.15466348214832507,True,True,,True,,False,intermediate/15b4/comparisons/cmp_2bc6da7bd58f8b90.parquet,intermediate/15b4/comparisons/cmp_2bc6da7bd58f8b90.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_11df635d08e72758,gt_62933438673c2307,IL33,GBMI,GBMI::Asthma,Asthma,AMR,PRIMARY,False,True,0.01,5e-08,3,50,2619,928,,0,916,0,916,916,877,916,916,916,706,913,675,675.0,222,0,222.0,0.0,True,True,1.0,1.0,2.0,2.0,binary,cc,118889.0,1240541.0,1359430.0,0.08861461363548828,True,binary,cc,4069.0,14104.0,18173.0,0.22390359324272271,True,True,,True,,False,intermediate/15b4/comparisons/cmp_11df635d08e72758.parquet,intermediate/15b4/comparisons/cmp_11df635d08e72758.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_a0dab9d33f7b3552,gt_62933438673c2307,IL33,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,2619,739,,0,713,0,713,713,713,713,713,713,559,713,559,559.0,210,0,210.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,True,,True,,False,intermediate/15b4/comparisons/cmp_a0dab9d33f7b3552.parquet,intermediate/15b4/comparisons/cmp_a0dab9d33f7b3552.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
