gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,unit_analysis_role,mixed_pool,primary_approval_eligible,n_comparison_ancestries,comparison_ancestries,n_portability_pre_ld_eligible_ancestries,n_coloc_input_eligible_ancestries,n_coloc_powered_both_ancestries,minimum_qc_qualified_variants,median_qc_qualified_variants,maximum_qc_qualified_variants,maximum_eur_gws_qc_variants,maximum_comparison_gws_qc_variants,primary_mechanistic_universe,portability_primary_locked,portability_sensitivity_locked,coloc_primary_locked,coloc_powered_primary_locked,coloc_sensitivity_locked,coloc_powered_sensitivity_locked,all_ancestries_coloc_input_eligible,all_ancestries_portability_pre_ld_eligible,genome_build,canonical_group,locked_mapping_tier,mapping_tiers_contributing,sensitivity_pool_assignment,pools,n_A_pairs,n_B_pairs,n_target_indication_pairs,n_indications,indications,non_eur_pops_available,approval_pool,approval_group,portability_deming_slope,portability_fiqt_slope,portability_naive_slope,portability_n_comparison_ancestries,portability_comparison_ancestries,portability_n_variants_total,portability_n_variants_minimum,portability_n_variants_median,portability_sign_concordance,portability_pearson_r,portability_any_deming_near_boundary,portability_primary_r2_threshold,unit_stability_final,primary_unit_category,coloc_n_powered_comparisons,coloc_powered_comparison_ancestries,coloc_comparison_stability_classes,coloc_primary_pp_h4_minimum,coloc_primary_pp_h4_median,coloc_primary_pp_h4_maximum,portability_final_available,coloc_powered_final_available,both_final_mechanisms_available,mechanistic_availability
gt_e0253f9da76890c4,IL1RL1,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,4,4,2,656,777.0,820,398,92,True,True,True,True,True,True,True,True,True,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,0.9628213395995939,1.238508941027468,1.2335305702292336,4.0,AFR || AMR || CSA || EAS,20.0,4.0,5.0,0.8166666666666667,0.9489162417452447,False,0.1,ROBUST_DISTINCT,CONSISTENT_DISTINCT,2.0,CSA || EAS,ROBUST_DISTINCT,1.6106085425091915e-07,0.0019158890516184418,0.003831617042382633,True,True,True,BOTH
gt_ceb57718dd9864a2,IL3,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,4,4,0,283,325.5,352,50,0,True,True,True,True,False,True,False,True,True,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_62933438673c2307,IL33,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,4,4,0,315,580.5,675,222,0,True,True,True,True,False,True,False,True,True,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,0.5462462484999614,0.6175522795077464,0.6155177906436442,4.0,AFR || AMR || CSA || EAS,20.0,4.0,5.0,0.7,0.7547306457913385,False,0.1,,,,,,,,,True,False,False,PORTABILITY_ONLY
gt_aff18fde645e6a6f,IL4R,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,4,4,1,437,559.0,660,163,105,True,True,True,True,True,True,True,True,True,GRCh38,Asthma,Direct disease,Direct disease,A,A,1,0,1,1,Asthma,"AFR,AMR,CSA,EAS",A,Launched/approved,0.715304588741191,0.6543626620928815,0.6474566291343574,4.0,AFR || AMR || CSA || EAS,20.0,5.0,5.0,0.9,0.6395417159122334,False,0.1,PRIOR_SENSITIVE,CONSISTENT_SHARED,1.0,EAS,PRIOR_SENSITIVE,0.8327395101372147,0.8327395101372147,0.8327395101372147,True,True,True,BOTH
gt_8eacc233dce7b2c8,IL5,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,4,4,1,345,373.5,399,234,84,True,True,True,True,True,True,True,True,True,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,0.25800140285321466,0.46840390579971425,0.4640775169146082,4.0,AFR || AMR || CSA || EAS,22.0,4.0,5.5,0.6071428571428572,0.33136367958050017,False,0.1,ROBUST_DISTINCT,CONSISTENT_DISTINCT,1.0,EAS,ROBUST_DISTINCT,0.000378215954974997,0.000378215954974997,0.000378215954974997,True,True,True,BOTH
gt_d2fd12497bba2d5c,IL6,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,4,4,0,615,717.5,763,79,0,True,True,True,True,False,True,False,True,True,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_c0bc9d12d330abef,ITGB7,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,0,4,0,352,388.0,447,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_de7ac7df0be895e9,KIT,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,0,4,0,670,705.5,776,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_db502e5251084f6d,MMP12,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,0,4,0,482,551.0,610,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_e5f710ae8311d02e,NFKB1,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,0,4,0,528,584.0,645,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_ae042213ac6b4336,NR3C1,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,0,4,0,514,613.5,680,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Asthma,Direct disease,Direct disease,A,A,1,0,1,1,Asthma,"AFR,AMR,CSA,EAS",A,Launched/approved,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_b2f382990ec4dea4,P2RY2,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,0,4,0,281,360.0,421,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_365c91e7f793fde3,PDE3A,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,0,4,0,1325,1655.0,1820,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_9d4cf5ee28185b3f,PDE4B,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,0,4,0,1738,1842.0,2030,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_70efb959c61a6093,PDE4D,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,0,4,0,3294,3932.0,4363,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_7f50a9fa80553ca7,TNFSF15,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,3,4,0,386,461.0,514,3,0,True,True,True,True,False,True,False,True,False,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
