comparison_uid,gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,comparison_population,unit_analysis_role,mixed_pool,primary_approval_eligible,eur_extraction_key,comparison_extraction_key,eur_extraction_status,eur_extraction_parquet,comparison_extraction_status,comparison_extraction_parquet,both_extractions_available
cmp_5f5a33771aea4344,gt_a0bbc31bfcb23525,CALCR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_a0bbc31bfcb23525,gt_a0bbc31bfcb23525,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a0bbc31bfcb23525.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a0bbc31bfcb23525.parquet,True
cmp_312d2eeff22fbd6d,gt_a0bbc31bfcb23525,CALCR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_a0bbc31bfcb23525,gt_a0bbc31bfcb23525,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a0bbc31bfcb23525.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a0bbc31bfcb23525.parquet,True
cmp_397789a3dc4c5cce,gt_a0bbc31bfcb23525,CALCR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_a0bbc31bfcb23525,gt_a0bbc31bfcb23525,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a0bbc31bfcb23525.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a0bbc31bfcb23525.parquet,True
cmp_cf2eb416b2655e2b,gt_7ef45295ac72754b,DPP4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_7ef45295ac72754b,gt_7ef45295ac72754b,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7ef45295ac72754b.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7ef45295ac72754b.parquet,True
cmp_0daa02799b71141c,gt_7ef45295ac72754b,DPP4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_7ef45295ac72754b,gt_7ef45295ac72754b,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7ef45295ac72754b.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7ef45295ac72754b.parquet,True
cmp_3ebb25f4fe833c35,gt_7ef45295ac72754b,DPP4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_7ef45295ac72754b,gt_7ef45295ac72754b,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7ef45295ac72754b.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7ef45295ac72754b.parquet,True
cmp_079478dee00a071e,gt_07bc6b913823d770,FGFR1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_07bc6b913823d770,gt_07bc6b913823d770,EXTRACTED,intermediate/15b3/Pan-UKB/gt_07bc6b913823d770.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_07bc6b913823d770.parquet,True
cmp_5b22527d173ee7fa,gt_07bc6b913823d770,FGFR1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_07bc6b913823d770,gt_07bc6b913823d770,EXTRACTED,intermediate/15b3/Pan-UKB/gt_07bc6b913823d770.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_07bc6b913823d770.parquet,True
cmp_bad094ab84784157,gt_07bc6b913823d770,FGFR1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_07bc6b913823d770,gt_07bc6b913823d770,EXTRACTED,intermediate/15b3/Pan-UKB/gt_07bc6b913823d770.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_07bc6b913823d770.parquet,True
cmp_2578fe8a5e432812,gt_5aa064f396f10864,FGFR4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_5aa064f396f10864,gt_5aa064f396f10864,EXTRACTED,intermediate/15b3/Pan-UKB/gt_5aa064f396f10864.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_5aa064f396f10864.parquet,True
cmp_cf79a21217ebfd45,gt_5aa064f396f10864,FGFR4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_5aa064f396f10864,gt_5aa064f396f10864,EXTRACTED,intermediate/15b3/Pan-UKB/gt_5aa064f396f10864.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_5aa064f396f10864.parquet,True
cmp_2278a2ee61e3c94f,gt_5aa064f396f10864,FGFR4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_5aa064f396f10864,gt_5aa064f396f10864,EXTRACTED,intermediate/15b3/Pan-UKB/gt_5aa064f396f10864.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_5aa064f396f10864.parquet,True
cmp_a65923a60135b609,gt_d79e322e54d14839,GDF15,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_d79e322e54d14839,gt_d79e322e54d14839,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d79e322e54d14839.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d79e322e54d14839.parquet,True
cmp_c93179e9cff3fff4,gt_d79e322e54d14839,GDF15,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_d79e322e54d14839,gt_d79e322e54d14839,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d79e322e54d14839.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d79e322e54d14839.parquet,True
cmp_06c4746c5e993d05,gt_d79e322e54d14839,GDF15,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_d79e322e54d14839,gt_d79e322e54d14839,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d79e322e54d14839.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d79e322e54d14839.parquet,True
cmp_8dfd1b9a2d559b23,gt_a4b99530ba80c8ab,GFRAL,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_a4b99530ba80c8ab,gt_a4b99530ba80c8ab,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a4b99530ba80c8ab.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a4b99530ba80c8ab.parquet,True
cmp_f6c8664394696f28,gt_a4b99530ba80c8ab,GFRAL,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_a4b99530ba80c8ab,gt_a4b99530ba80c8ab,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a4b99530ba80c8ab.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a4b99530ba80c8ab.parquet,True
cmp_46a786b0f7f692c1,gt_a4b99530ba80c8ab,GFRAL,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_a4b99530ba80c8ab,gt_a4b99530ba80c8ab,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a4b99530ba80c8ab.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a4b99530ba80c8ab.parquet,True
cmp_340539a9aafdd2ed,gt_d815e2aa4bbcd69a,GHR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_d815e2aa4bbcd69a,gt_d815e2aa4bbcd69a,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d815e2aa4bbcd69a.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d815e2aa4bbcd69a.parquet,True
cmp_fc7c44bdf8d1c088,gt_d815e2aa4bbcd69a,GHR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_d815e2aa4bbcd69a,gt_d815e2aa4bbcd69a,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d815e2aa4bbcd69a.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d815e2aa4bbcd69a.parquet,True
cmp_f85cd571258c4937,gt_d815e2aa4bbcd69a,GHR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_d815e2aa4bbcd69a,gt_d815e2aa4bbcd69a,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d815e2aa4bbcd69a.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d815e2aa4bbcd69a.parquet,True
cmp_ce5e345eb69043ef,gt_e8a2392ea6c7a9e1,GIPR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_e8a2392ea6c7a9e1,gt_e8a2392ea6c7a9e1,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e8a2392ea6c7a9e1.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e8a2392ea6c7a9e1.parquet,True
cmp_0f677d3a2cec3d16,gt_e8a2392ea6c7a9e1,GIPR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_e8a2392ea6c7a9e1,gt_e8a2392ea6c7a9e1,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e8a2392ea6c7a9e1.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e8a2392ea6c7a9e1.parquet,True
cmp_a38cb42e3379daab,gt_e8a2392ea6c7a9e1,GIPR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_e8a2392ea6c7a9e1,gt_e8a2392ea6c7a9e1,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e8a2392ea6c7a9e1.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e8a2392ea6c7a9e1.parquet,True
cmp_8ebe601ca5aa83b8,gt_25ecabe6d3e507e8,GLP1R,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_25ecabe6d3e507e8,gt_25ecabe6d3e507e8,EXTRACTED,intermediate/15b3/Pan-UKB/gt_25ecabe6d3e507e8.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_25ecabe6d3e507e8.parquet,True
cmp_7d1964e37a09fd0a,gt_25ecabe6d3e507e8,GLP1R,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_25ecabe6d3e507e8,gt_25ecabe6d3e507e8,EXTRACTED,intermediate/15b3/Pan-UKB/gt_25ecabe6d3e507e8.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_25ecabe6d3e507e8.parquet,True
cmp_15fa0358129dafbb,gt_25ecabe6d3e507e8,GLP1R,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_25ecabe6d3e507e8,gt_25ecabe6d3e507e8,EXTRACTED,intermediate/15b3/Pan-UKB/gt_25ecabe6d3e507e8.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_25ecabe6d3e507e8.parquet,True
