comparison_uid,gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,comparison_population,unit_analysis_role,mixed_pool,primary_approval_eligible,eur_extraction_key,comparison_extraction_key,eur_extraction_status,eur_extraction_parquet,comparison_extraction_status,comparison_extraction_parquet,both_extractions_available
cmp_5893667a5f1fbc6e,gt_27028081fffa2432,BCL2,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,CSA,PRIMARY,False,True,gt_27028081fffa2432,gt_27028081fffa2432,EXTRACTED,intermediate/15b3/Pan-UKB/gt_27028081fffa2432.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_27028081fffa2432.parquet,True
cmp_d70cfe319e602e5c,gt_6d527f983ded21ce,DYRK3,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,CSA,PRIMARY,False,True,gt_6d527f983ded21ce,gt_6d527f983ded21ce,EXTRACTED,intermediate/15b3/Pan-UKB/gt_6d527f983ded21ce.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_6d527f983ded21ce.parquet,True
cmp_5636a0aa0df77617,gt_6543c2a00ddc02f5,EGLN1,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,CSA,PRIMARY,False,True,gt_6543c2a00ddc02f5,gt_6543c2a00ddc02f5,EXTRACTED,intermediate/15b3/Pan-UKB/gt_6543c2a00ddc02f5.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_6543c2a00ddc02f5.parquet,True
cmp_2c670ce121f4e2ed,gt_6100c7305905baed,EGLN2,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,CSA,PRIMARY,False,True,gt_6100c7305905baed,gt_6100c7305905baed,EXTRACTED,intermediate/15b3/Pan-UKB/gt_6100c7305905baed.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_6100c7305905baed.parquet,True
cmp_cdc7ff976577622c,gt_e581489a9e9ecfc2,EGLN3,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,CSA,PRIMARY,False,True,gt_e581489a9e9ecfc2,gt_e581489a9e9ecfc2,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e581489a9e9ecfc2.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e581489a9e9ecfc2.parquet,True
cmp_cf9640399f1b67f3,gt_357a52ecdb682313,EPOR,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,CSA,PRIMARY,False,True,gt_357a52ecdb682313,gt_357a52ecdb682313,EXTRACTED,intermediate/15b3/Pan-UKB/gt_357a52ecdb682313.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_357a52ecdb682313.parquet,True
cmp_216fcd5d6898b635,gt_71c56e5a21360fea,HAMP,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,CSA,PRIMARY,False,True,gt_71c56e5a21360fea,gt_71c56e5a21360fea,EXTRACTED,intermediate/15b3/Pan-UKB/gt_71c56e5a21360fea.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_71c56e5a21360fea.parquet,True
cmp_26e7bee77129079a,gt_4d13eda51c3b314b,IL6,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,CSA,PRIMARY,False,True,gt_4d13eda51c3b314b,gt_4d13eda51c3b314b,EXTRACTED,intermediate/15b3/Pan-UKB/gt_4d13eda51c3b314b.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_4d13eda51c3b314b.parquet,True
cmp_33e4f0a27f768357,gt_75fe57ef3df525f5,PKLR,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,CSA,PRIMARY,False,True,gt_75fe57ef3df525f5,gt_75fe57ef3df525f5,EXTRACTED,intermediate/15b3/Pan-UKB/gt_75fe57ef3df525f5.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_75fe57ef3df525f5.parquet,True
cmp_e5dfc0ddc27b5597,gt_aa37c9461d658ae6,SLC40A1,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,CSA,PRIMARY,False,True,gt_aa37c9461d658ae6,gt_aa37c9461d658ae6,EXTRACTED,intermediate/15b3/Pan-UKB/gt_aa37c9461d658ae6.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_aa37c9461d658ae6.parquet,True
cmp_836c47786aded226,gt_709069d1feb6b869,ESR1,Pan-UKB,Pan-UKB::continuous|3148|both_sexes||irnt,Heel bone mineral density (BMD),CSA,PRIMARY,False,True,gt_709069d1feb6b869,gt_709069d1feb6b869,EXTRACTED,intermediate/15b3/Pan-UKB/gt_709069d1feb6b869.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_709069d1feb6b869.parquet,True
cmp_1c639976f96dce20,gt_49fc2519dd5d448f,GHRHR,Pan-UKB,Pan-UKB::continuous|3148|both_sexes||irnt,Heel bone mineral density (BMD),CSA,PRIMARY,False,True,gt_49fc2519dd5d448f,gt_49fc2519dd5d448f,EXTRACTED,intermediate/15b3/Pan-UKB/gt_49fc2519dd5d448f.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_49fc2519dd5d448f.parquet,True
cmp_d642ad82b0d16e5e,gt_1a54193972b2aa21,SOST,Pan-UKB,Pan-UKB::continuous|3148|both_sexes||irnt,Heel bone mineral density (BMD),CSA,PRIMARY,False,True,gt_1a54193972b2aa21,gt_1a54193972b2aa21,EXTRACTED,intermediate/15b3/Pan-UKB/gt_1a54193972b2aa21.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_1a54193972b2aa21.parquet,True
cmp_dae661d54c93c969,gt_95af7ca2e8a7e102,ABCA1,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_95af7ca2e8a7e102,gt_95af7ca2e8a7e102,EXTRACTED,intermediate/15b3/Pan-UKB/gt_95af7ca2e8a7e102.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_95af7ca2e8a7e102.parquet,True
cmp_ba79e47f387626ac,gt_bbdbb86b1024cfac,ADRB1,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_bbdbb86b1024cfac,gt_bbdbb86b1024cfac,EXTRACTED,intermediate/15b3/Pan-UKB/gt_bbdbb86b1024cfac.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_bbdbb86b1024cfac.parquet,True
cmp_9f69821411a167c6,gt_d6604f91c9b9bd68,ADRB2,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_d6604f91c9b9bd68,gt_d6604f91c9b9bd68,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d6604f91c9b9bd68.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d6604f91c9b9bd68.parquet,True
cmp_d6e8f8c5619c62bc,gt_1d807595f65d990d,ANGPTL3,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,True,False,gt_1d807595f65d990d,gt_1d807595f65d990d,EXTRACTED,intermediate/15b3/Pan-UKB/gt_1d807595f65d990d.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_1d807595f65d990d.parquet,True
cmp_d763b6b831bf0c0e,gt_1c018fe9f451c0ea,ANGPTL8,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_1c018fe9f451c0ea,gt_1c018fe9f451c0ea,EXTRACTED,intermediate/15b3/Pan-UKB/gt_1c018fe9f451c0ea.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_1c018fe9f451c0ea.parquet,True
cmp_d17bec475888ffb1,gt_25de020ab85c0f34,APOA1,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_25de020ab85c0f34,gt_25de020ab85c0f34,EXTRACTED,intermediate/15b3/Pan-UKB/gt_25de020ab85c0f34.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_25de020ab85c0f34.parquet,True
cmp_0eb599a4590e0b6e,gt_65aa7546aeba1725,APOB,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,True,False,gt_65aa7546aeba1725,gt_65aa7546aeba1725,EXTRACTED,intermediate/15b3/Pan-UKB/gt_65aa7546aeba1725.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_65aa7546aeba1725.parquet,True
cmp_89cac3a7cbb61501,gt_e4eae46191577e93,APOC3,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_e4eae46191577e93,gt_e4eae46191577e93,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e4eae46191577e93.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e4eae46191577e93.parquet,True
cmp_23670cc5cddedef4,gt_0b0678ba83486ccf,APOE,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_0b0678ba83486ccf,gt_0b0678ba83486ccf,EXTRACTED,intermediate/15b3/Pan-UKB/gt_0b0678ba83486ccf.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_0b0678ba83486ccf.parquet,True
cmp_9d3113c9f8e31c30,gt_cbb5ddcaa2f8a827,CETP,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_cbb5ddcaa2f8a827,gt_cbb5ddcaa2f8a827,EXTRACTED,intermediate/15b3/Pan-UKB/gt_cbb5ddcaa2f8a827.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_cbb5ddcaa2f8a827.parquet,True
cmp_ecfb4236612a906f,gt_af31839ea5782bf6,DGAT2,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_af31839ea5782bf6,gt_af31839ea5782bf6,EXTRACTED,intermediate/15b3/Pan-UKB/gt_af31839ea5782bf6.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_af31839ea5782bf6.parquet,True
cmp_649ff2cca8b15f4c,gt_c737d88261852ece,FDFT1,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_c737d88261852ece,gt_c737d88261852ece,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c737d88261852ece.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c737d88261852ece.parquet,True
cmp_dfc2133ab2f65f25,gt_478ff02cdcfc6a99,HCAR2,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_478ff02cdcfc6a99,gt_478ff02cdcfc6a99,EXTRACTED,intermediate/15b3/Pan-UKB/gt_478ff02cdcfc6a99.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_478ff02cdcfc6a99.parquet,True
cmp_4f0b16a4a72c0368,gt_d02d21f4deeb3658,HCAR3,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_d02d21f4deeb3658,gt_d02d21f4deeb3658,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d02d21f4deeb3658.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d02d21f4deeb3658.parquet,True
cmp_f91dafdc919ddc0c,gt_fdbaedc51aaa106f,HMGCR,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_fdbaedc51aaa106f,gt_fdbaedc51aaa106f,EXTRACTED,intermediate/15b3/Pan-UKB/gt_fdbaedc51aaa106f.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_fdbaedc51aaa106f.parquet,True
cmp_c5f9b26ab4ae44ee,gt_5da1ad3edfdad65e,LPA,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_5da1ad3edfdad65e,gt_5da1ad3edfdad65e,EXTRACTED,intermediate/15b3/Pan-UKB/gt_5da1ad3edfdad65e.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_5da1ad3edfdad65e.parquet,True
cmp_50d16dc72ee800c1,gt_ad816587eda5b569,MTTP,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_ad816587eda5b569,gt_ad816587eda5b569,EXTRACTED,intermediate/15b3/Pan-UKB/gt_ad816587eda5b569.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_ad816587eda5b569.parquet,True
cmp_c9ca16446ae51c2f,gt_e0d231bc78a0b903,NPC1L1,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,True,False,gt_e0d231bc78a0b903,gt_e0d231bc78a0b903,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e0d231bc78a0b903.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e0d231bc78a0b903.parquet,True
cmp_86c7093bdb7c0808,gt_c0dccd327bd42d57,NR1H3,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_c0dccd327bd42d57,gt_c0dccd327bd42d57,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c0dccd327bd42d57.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c0dccd327bd42d57.parquet,True
cmp_66552b49512bb3db,gt_b8759ac053b783c0,NR1H4,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_b8759ac053b783c0,gt_b8759ac053b783c0,EXTRACTED,intermediate/15b3/Pan-UKB/gt_b8759ac053b783c0.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_b8759ac053b783c0.parquet,True
cmp_7e3415964666180a,gt_d690685489730e56,PCSK9,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_d690685489730e56,gt_d690685489730e56,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d690685489730e56.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d690685489730e56.parquet,True
cmp_d3e826c238938f7a,gt_73254ff7b0091f43,PPARA,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,True,False,gt_73254ff7b0091f43,gt_73254ff7b0091f43,EXTRACTED,intermediate/15b3/Pan-UKB/gt_73254ff7b0091f43.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_73254ff7b0091f43.parquet,True
cmp_697c494077f63f4a,gt_3b78c5d3b48b82a8,PPARG,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_3b78c5d3b48b82a8,gt_3b78c5d3b48b82a8,EXTRACTED,intermediate/15b3/Pan-UKB/gt_3b78c5d3b48b82a8.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_3b78c5d3b48b82a8.parquet,True
cmp_846fa1abdb2d79e6,gt_bb8ad900243245bb,SLC10A2,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_bb8ad900243245bb,gt_bb8ad900243245bb,EXTRACTED,intermediate/15b3/Pan-UKB/gt_bb8ad900243245bb.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_bb8ad900243245bb.parquet,True
cmp_0e8c3789584fc9b2,gt_a9a80c5c767d754d,THRB,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,gt_a9a80c5c767d754d,gt_a9a80c5c767d754d,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a9a80c5c767d754d.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a9a80c5c767d754d.parquet,True
cmp_899b25b2a6459d69,gt_38057e29398d09a6,CSF3,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,CSA,PRIMARY,False,True,gt_38057e29398d09a6,gt_38057e29398d09a6,EXTRACTED,intermediate/15b3/Pan-UKB/gt_38057e29398d09a6.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_38057e29398d09a6.parquet,True
cmp_a8cdbbc6ae7dad91,gt_38057e29398d09a6,CSF3,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,MID,PRIMARY,False,True,gt_38057e29398d09a6,gt_38057e29398d09a6,EXTRACTED,intermediate/15b3/Pan-UKB/gt_38057e29398d09a6.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_38057e29398d09a6.parquet,True
cmp_08b22a91172968d8,gt_128ad7c7ffd40309,CSF3R,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,CSA,PRIMARY,False,True,gt_128ad7c7ffd40309,gt_128ad7c7ffd40309,EXTRACTED,intermediate/15b3/Pan-UKB/gt_128ad7c7ffd40309.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_128ad7c7ffd40309.parquet,True
cmp_b2879043e48e8130,gt_128ad7c7ffd40309,CSF3R,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,MID,PRIMARY,False,True,gt_128ad7c7ffd40309,gt_128ad7c7ffd40309,EXTRACTED,intermediate/15b3/Pan-UKB/gt_128ad7c7ffd40309.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_128ad7c7ffd40309.parquet,True
cmp_559b26c0a60995d9,gt_575fb984fe133eec,CXCR4,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,CSA,PRIMARY,False,True,gt_575fb984fe133eec,gt_575fb984fe133eec,EXTRACTED,intermediate/15b3/Pan-UKB/gt_575fb984fe133eec.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_575fb984fe133eec.parquet,True
cmp_cb58a62e60526107,gt_575fb984fe133eec,CXCR4,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,MID,PRIMARY,False,True,gt_575fb984fe133eec,gt_575fb984fe133eec,EXTRACTED,intermediate/15b3/Pan-UKB/gt_575fb984fe133eec.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_575fb984fe133eec.parquet,True
cmp_0348a847d71d7add,gt_7139353b566f0bd6,FAP,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,CSA,PRIMARY,False,True,gt_7139353b566f0bd6,gt_7139353b566f0bd6,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7139353b566f0bd6.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7139353b566f0bd6.parquet,True
cmp_f42d2adaebb6c058,gt_7139353b566f0bd6,FAP,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,MID,PRIMARY,False,True,gt_7139353b566f0bd6,gt_7139353b566f0bd6,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7139353b566f0bd6.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7139353b566f0bd6.parquet,True
cmp_158459a232adb0d0,gt_0c426abe19a96c54,ENPP1,Pan-UKB,Pan-UKB::biomarkers|30810|both_sexes||irnt,Phosphate,CSA,PRIMARY,False,True,gt_0c426abe19a96c54,gt_0c426abe19a96c54,EXTRACTED,intermediate/15b3/Pan-UKB/gt_0c426abe19a96c54.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_0c426abe19a96c54.parquet,True
cmp_6567d20daa636164,gt_d019bda2659bf3ff,ACVR2A,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,AFR,PRIMARY,False,True,gt_d019bda2659bf3ff,gt_d019bda2659bf3ff,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d019bda2659bf3ff.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d019bda2659bf3ff.parquet,True
cmp_0b454d4c958fc671,gt_d019bda2659bf3ff,ACVR2A,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,CSA,PRIMARY,False,True,gt_d019bda2659bf3ff,gt_d019bda2659bf3ff,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d019bda2659bf3ff.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d019bda2659bf3ff.parquet,True
cmp_d40a84a9eef512e2,gt_d019bda2659bf3ff,ACVR2A,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,EAS,PRIMARY,False,True,gt_d019bda2659bf3ff,gt_d019bda2659bf3ff,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d019bda2659bf3ff.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_d019bda2659bf3ff.parquet,True
cmp_c16a82af11193057,gt_88273410ebd1ce63,ALOX12,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,AFR,PRIMARY,False,True,gt_88273410ebd1ce63,gt_88273410ebd1ce63,EXTRACTED,intermediate/15b3/Pan-UKB/gt_88273410ebd1ce63.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_88273410ebd1ce63.parquet,True
cmp_072afd3efbfb83ec,gt_88273410ebd1ce63,ALOX12,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,CSA,PRIMARY,False,True,gt_88273410ebd1ce63,gt_88273410ebd1ce63,EXTRACTED,intermediate/15b3/Pan-UKB/gt_88273410ebd1ce63.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_88273410ebd1ce63.parquet,True
cmp_e1820ad8923e7ad3,gt_88273410ebd1ce63,ALOX12,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,EAS,PRIMARY,False,True,gt_88273410ebd1ce63,gt_88273410ebd1ce63,EXTRACTED,intermediate/15b3/Pan-UKB/gt_88273410ebd1ce63.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_88273410ebd1ce63.parquet,True
cmp_9c6ecc4018fa3eec,gt_4463afbdc4dbc11f,FCGRT,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,AFR,PRIMARY,False,True,gt_4463afbdc4dbc11f,gt_4463afbdc4dbc11f,EXTRACTED,intermediate/15b3/Pan-UKB/gt_4463afbdc4dbc11f.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_4463afbdc4dbc11f.parquet,True
cmp_4f56d484694e8ea1,gt_4463afbdc4dbc11f,FCGRT,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,CSA,PRIMARY,False,True,gt_4463afbdc4dbc11f,gt_4463afbdc4dbc11f,EXTRACTED,intermediate/15b3/Pan-UKB/gt_4463afbdc4dbc11f.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_4463afbdc4dbc11f.parquet,True
cmp_fa41e21272bf4085,gt_4463afbdc4dbc11f,FCGRT,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,EAS,PRIMARY,False,True,gt_4463afbdc4dbc11f,gt_4463afbdc4dbc11f,EXTRACTED,intermediate/15b3/Pan-UKB/gt_4463afbdc4dbc11f.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_4463afbdc4dbc11f.parquet,True
cmp_ca7864c98988cae0,gt_7e1d4c422ada3030,FLT3,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,AFR,PRIMARY,False,True,gt_7e1d4c422ada3030,gt_7e1d4c422ada3030,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7e1d4c422ada3030.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7e1d4c422ada3030.parquet,True
cmp_baa318157ff3ca63,gt_7e1d4c422ada3030,FLT3,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,CSA,PRIMARY,False,True,gt_7e1d4c422ada3030,gt_7e1d4c422ada3030,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7e1d4c422ada3030.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7e1d4c422ada3030.parquet,True
cmp_3a187d537fd5eaf2,gt_7e1d4c422ada3030,FLT3,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,EAS,PRIMARY,False,True,gt_7e1d4c422ada3030,gt_7e1d4c422ada3030,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7e1d4c422ada3030.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_7e1d4c422ada3030.parquet,True
cmp_41f3b73474196a0b,gt_e5330af70b68c87c,IFNGR1,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,AFR,PRIMARY,False,True,gt_e5330af70b68c87c,gt_e5330af70b68c87c,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e5330af70b68c87c.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e5330af70b68c87c.parquet,True
cmp_11b335555ff5ebe1,gt_e5330af70b68c87c,IFNGR1,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,CSA,PRIMARY,False,True,gt_e5330af70b68c87c,gt_e5330af70b68c87c,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e5330af70b68c87c.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e5330af70b68c87c.parquet,True
cmp_d27be2cfa6a1e60d,gt_e5330af70b68c87c,IFNGR1,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,EAS,PRIMARY,False,True,gt_e5330af70b68c87c,gt_e5330af70b68c87c,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e5330af70b68c87c.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e5330af70b68c87c.parquet,True
cmp_4ef94caf53bd480f,gt_551bca4b69208db4,IL12A,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,AFR,PRIMARY,False,True,gt_551bca4b69208db4,gt_551bca4b69208db4,EXTRACTED,intermediate/15b3/Pan-UKB/gt_551bca4b69208db4.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_551bca4b69208db4.parquet,True
cmp_943c5936cbcff26a,gt_551bca4b69208db4,IL12A,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,CSA,PRIMARY,False,True,gt_551bca4b69208db4,gt_551bca4b69208db4,EXTRACTED,intermediate/15b3/Pan-UKB/gt_551bca4b69208db4.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_551bca4b69208db4.parquet,True
cmp_029184bacb2e5fd8,gt_551bca4b69208db4,IL12A,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,EAS,PRIMARY,False,True,gt_551bca4b69208db4,gt_551bca4b69208db4,EXTRACTED,intermediate/15b3/Pan-UKB/gt_551bca4b69208db4.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_551bca4b69208db4.parquet,True
cmp_face308db9f33a70,gt_3ef75cbdd99b6f07,IL12B,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,AFR,PRIMARY,False,True,gt_3ef75cbdd99b6f07,gt_3ef75cbdd99b6f07,EXTRACTED,intermediate/15b3/Pan-UKB/gt_3ef75cbdd99b6f07.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_3ef75cbdd99b6f07.parquet,True
