estimator,model_id,exposure,formula,n,n_A,n_B,n_indications,n_genes,informative_exposure_strata,status,error,converged,beta,standard_error,odds_ratio,ci_low,ci_high,p_value,warning_messages,design_full_rank,separation_warning,n_parameters,events_per_parameter,condition_number,cluster_robust_se
fixed_effect_logit_cluster_gene,W2,has_replication,approval ~ has_replication + log_studies + C(indication_mesh_id),513,116,397,55,306,,ok,,True,0.6754695989385971,,1.964955500362017,0.8712002655195132,4.431874359106774,0.10358814639867445,,True,False,57.0,2.0350877192982457,116.83484589741954,0.41498364660942266
conditional_logit,W3,has_replication,approval ~ has_replication + log_studies + earliest_year_centered | indication_mesh_id,513,116,397,55,306,39.0,ok,,True,0.6609861117001309,0.36571535851419595,1.9367011967813879,0.9457255960760814,3.9660674736699377,0.07070326870555797,,,,,,,
fixed_effect_logit_cluster_gene,W3,has_replication,approval ~ has_replication + log_studies + earliest_year_centered + C(indication_mesh_id),513,116,397,55,306,,ok,,True,0.7707320779707393,,2.161347949973084,0.9144109433191839,5.108671320026239,0.07907190754906358,,True,False,58.0,2.0,242.8269889427714,0.4388893283599629
conditional_logit,W1,has_african,approval ~ has_african | indication_mesh_id,513,116,397,55,306,30.0,ok,,True,0.3232524889595056,0.284275963539891,1.381614149188886,0.7914265826082821,2.4119200683757187,0.25549311558706866,,,,,,,
fixed_effect_logit_cluster_gene,W1,has_african,approval ~ has_african + C(indication_mesh_id),513,116,397,55,306,,ok,,True,0.35784499643692974,,1.4302439103952445,0.6407798364309195,3.192356449005102,0.38237864779649533,,True,False,56.0,2.0714285714285716,56.989627102740876,0.4096577042931193
conditional_logit,W2,has_african,approval ~ has_african + log_studies | indication_mesh_id,513,116,397,55,306,30.0,ok,,True,-0.3471571725980534,0.3508622951920961,0.7066942465577176,0.35528512789651445,1.40567876025266,0.3224479354453893,,,,,,,
fixed_effect_logit_cluster_gene,W2,has_african,approval ~ has_african + log_studies + C(indication_mesh_id),513,116,397,55,306,,ok,,True,-0.396400146995301,,0.6727374482031182,0.27298553584772445,1.6578741903281526,0.38901651542673177,,True,False,57.0,2.0350877192982457,115.64311497584036,0.46018004798180534
conditional_logit,W3,has_african,approval ~ has_african + log_studies + earliest_year_centered | indication_mesh_id,513,116,397,55,306,30.0,ok,,True,-0.3513108572546554,0.3512706915487207,0.7037649494088122,0.35352935307687466,1.4009730725490526,0.3172551752117757,,,,,,,
fixed_effect_logit_cluster_gene,W3,has_african,approval ~ has_african + log_studies + earliest_year_centered + C(indication_mesh_id),513,116,397,55,306,,ok,,True,-0.4006112294980036,,0.6699104518411783,0.2693948714498204,1.6658818004619838,0.38872917441081134,,True,False,58.0,2.0,243.5939199336854,0.464787021501033
conditional_logit,W1,has_east_asian,approval ~ has_east_asian | indication_mesh_id,513,116,397,55,306,34.0,ok,,True,0.6138141340277644,0.28393430366654054,1.8474644547884314,1.0589873537586763,3.22300818757889,0.03063224943253435,,,,,,,
fixed_effect_logit_cluster_gene,W1,has_east_asian,approval ~ has_east_asian + C(indication_mesh_id),513,116,397,55,306,,ok,,True,0.6799806919698678,,1.9738396209076448,0.9383456589885196,4.152033754026779,0.07309528584093736,,True,False,56.0,2.0714285714285716,61.64111774424541,0.37940369787852896
conditional_logit,W2,has_east_asian,approval ~ has_east_asian + log_studies | indication_mesh_id,513,116,397,55,306,34.0,ok,,True,0.03904690710458693,0.3564624882595952,1.0398192574168899,0.5170546356984289,2.0911215439244883,0.9127741835585792,,,,,,,
fixed_effect_logit_cluster_gene,W2,has_east_asian,approval ~ has_east_asian + log_studies + C(indication_mesh_id),513,116,397,55,306,,ok,,True,0.03314315228578996,,1.0336985049540397,0.45730678269835656,2.3365771940649958,0.9365143519153762,,True,False,57.0,2.0350877192982457,118.3160228175273,0.4161015075239554
conditional_logit,W3,has_east_asian,approval ~ has_east_asian + log_studies + earliest_year_centered | indication_mesh_id,513,116,397,55,306,34.0,ok,,True,0.04248148170501054,0.35727647037237503,1.0433967342662562,0.5180064770991395,2.1016662787193887,0.905351678203464,,,,,,,
fixed_effect_logit_cluster_gene,W3,has_east_asian,approval ~ has_east_asian + log_studies + earliest_year_centered + C(indication_mesh_id),513,116,397,55,306,,ok,,True,0.03808165108561117,,1.0388160498739734,0.4580674849356089,2.3558510939222437,0.9273703137407483,,True,False,58.0,2.0,245.15990345504366,0.4177731918779325
conditional_logit,W1,has_south_asian,approval ~ has_south_asian | indication_mesh_id,513,116,397,55,306,22.0,ok,,True,0.41966148863371794,0.32736425547656517,1.5214464415239195,0.8009468714221439,2.8900784271941657,0.199863528662091,,,,,,,
fixed_effect_logit_cluster_gene,W1,has_south_asian,approval ~ has_south_asian + C(indication_mesh_id),513,116,397,55,306,,ok,,True,0.46839398324665743,,1.5974266380579754,0.6084852867483571,4.193645959154484,0.3415241964538761,,True,False,56.0,2.0714285714285716,55.540260271748416,0.49244605372817246
conditional_logit,W2,has_south_asian,approval ~ has_south_asian + log_studies | indication_mesh_id,513,116,397,55,306,22.0,ok,,True,-0.153307292648415,0.37813255326829126,0.8578660653684128,0.40883914923952386,1.800058011762286,0.6851594968167787,,,,,,,
fixed_effect_logit_cluster_gene,W2,has_south_asian,approval ~ has_south_asian + log_studies + C(indication_mesh_id),513,116,397,55,306,,ok,,True,-0.17695446866898948,,0.8378179306200916,0.2918769194269761,2.4049139830809714,0.7422243489712875,,True,False,57.0,2.0350877192982457,114.67129046041717,0.5380040725410853
conditional_logit,W3,has_south_asian,approval ~ has_south_asian + log_studies + earliest_year_centered | indication_mesh_id,513,116,397,55,306,22.0,ok,,True,-0.15400717476302223,0.3782296594858058,0.8572658703099261,0.40847535979523203,1.7991410124876113,0.6838765236602682,,,,,,,
fixed_effect_logit_cluster_gene,W3,has_south_asian,approval ~ has_south_asian + log_studies + earliest_year_centered + C(indication_mesh_id),513,116,397,55,306,,ok,,True,-0.17658743738114108,,0.8381254924531047,0.29245770004486227,2.4019006543237005,0.7423580823533643,,True,False,58.0,2.0,243.1197360309081,0.5371771159688876
