indication_mesh_id,indication_mesh_term,n_pairs,n_A,n_B,exposure,A_mean,B_mean,A_minus_B
D014029,Tobacco Use Disorder,4,1,3,n_ancestries_replication,1.0,0.6666666666666666,0.33333333333333337
D014029,Tobacco Use Disorder,4,1,3,has_replication,1.0,0.6666666666666666,0.33333333333333337
D014029,Tobacco Use Disorder,4,1,3,has_african,1.0,0.3333333333333333,0.6666666666666667
D014029,Tobacco Use Disorder,4,1,3,has_east_asian,0.0,0.0,0.0
D014029,Tobacco Use Disorder,4,1,3,has_south_asian,0.0,0.0,0.0
D015228,Hypertriglyceridemia,14,3,11,n_ancestries_all,4.333333333333333,4.636363636363637,-0.30303030303030365
D015228,Hypertriglyceridemia,14,3,11,n_ancestries_initial,4.333333333333333,4.545454545454546,-0.21212121212121282
D015228,Hypertriglyceridemia,14,3,11,n_ancestries_replication,4.333333333333333,1.7272727272727273,2.6060606060606055
D015228,Hypertriglyceridemia,14,3,11,has_replication,1.0,0.36363636363636365,0.6363636363636364
D015228,Hypertriglyceridemia,14,3,11,has_african,0.6666666666666666,0.7272727272727273,-0.06060606060606066
D015228,Hypertriglyceridemia,14,3,11,has_east_asian,0.6666666666666666,0.7272727272727273,-0.06060606060606066
D015228,Hypertriglyceridemia,14,3,11,has_south_asian,0.6666666666666666,0.7272727272727273,-0.06060606060606066
D015535,"Arthritis, Psoriatic",9,3,6,n_ancestries_all,2.0,1.6666666666666667,0.33333333333333326
D015535,"Arthritis, Psoriatic",9,3,6,n_ancestries_initial,2.0,1.6666666666666667,0.33333333333333326
D015535,"Arthritis, Psoriatic",9,3,6,n_ancestries_replication,1.3333333333333333,0.5,0.8333333333333333
D015535,"Arthritis, Psoriatic",9,3,6,has_replication,0.6666666666666666,0.3333333333333333,0.3333333333333333
D015535,"Arthritis, Psoriatic",9,3,6,has_african,0.0,0.0,0.0
D015535,"Arthritis, Psoriatic",9,3,6,has_east_asian,1.0,0.6666666666666666,0.33333333333333337
D015535,"Arthritis, Psoriatic",9,3,6,has_south_asian,0.0,0.0,0.0
D016553,"Purpura, Thrombocytopenic, Idiopathic",5,1,4,n_ancestries_all,1.0,2.25,-1.25
D016553,"Purpura, Thrombocytopenic, Idiopathic",5,1,4,n_ancestries_initial,1.0,2.25,-1.25
D016553,"Purpura, Thrombocytopenic, Idiopathic",5,1,4,n_ancestries_replication,0.0,0.0,0.0
D016553,"Purpura, Thrombocytopenic, Idiopathic",5,1,4,has_replication,0.0,0.0,0.0
D016553,"Purpura, Thrombocytopenic, Idiopathic",5,1,4,has_african,0.0,0.25,-0.25
D016553,"Purpura, Thrombocytopenic, Idiopathic",5,1,4,has_east_asian,0.0,0.5,-0.5
D016553,"Purpura, Thrombocytopenic, Idiopathic",5,1,4,has_south_asian,0.0,0.25,-0.25
D020246,Venous Thrombosis,4,2,2,n_ancestries_all,1.0,0.5,0.5
D020246,Venous Thrombosis,4,2,2,n_ancestries_initial,1.0,0.5,0.5
D020246,Venous Thrombosis,4,2,2,n_ancestries_replication,0.0,0.0,0.0
D020246,Venous Thrombosis,4,2,2,has_replication,0.0,0.0,0.0
D020246,Venous Thrombosis,4,2,2,has_african,0.0,0.0,0.0
D020246,Venous Thrombosis,4,2,2,has_east_asian,0.0,0.0,0.0
D020246,Venous Thrombosis,4,2,2,has_south_asian,0.0,0.0,0.0
D029424,"Pulmonary Disease, Chronic Obstructive",20,3,17,n_ancestries_all,2.0,2.588235294117647,-0.5882352941176472
D029424,"Pulmonary Disease, Chronic Obstructive",20,3,17,n_ancestries_initial,2.0,2.411764705882353,-0.4117647058823528
D029424,"Pulmonary Disease, Chronic Obstructive",20,3,17,n_ancestries_replication,1.0,1.2941176470588236,-0.2941176470588236
D029424,"Pulmonary Disease, Chronic Obstructive",20,3,17,has_replication,1.0,0.6470588235294118,0.3529411764705882
D029424,"Pulmonary Disease, Chronic Obstructive",20,3,17,has_african,0.3333333333333333,0.47058823529411764,-0.13725490196078433
D029424,"Pulmonary Disease, Chronic Obstructive",20,3,17,has_east_asian,0.3333333333333333,0.47058823529411764,-0.13725490196078433
D029424,"Pulmonary Disease, Chronic Obstructive",20,3,17,has_south_asian,0.0,0.0,0.0
D050171,Dyslipidemias,5,3,2,n_ancestries_all,4.666666666666667,7.0,-2.333333333333333
D050171,Dyslipidemias,5,3,2,n_ancestries_initial,4.666666666666667,7.0,-2.333333333333333
D050171,Dyslipidemias,5,3,2,n_ancestries_replication,2.0,6.0,-4.0
D050171,Dyslipidemias,5,3,2,has_replication,1.0,1.0,0.0
D050171,Dyslipidemias,5,3,2,has_african,0.6666666666666666,1.0,-0.33333333333333337
D050171,Dyslipidemias,5,3,2,has_east_asian,0.6666666666666666,1.0,-0.33333333333333337
D050171,Dyslipidemias,5,3,2,has_south_asian,0.6666666666666666,1.0,-0.33333333333333337
D050197,Atherosclerosis,9,1,8,n_ancestries_all,6.0,3.625,2.375
D050197,Atherosclerosis,9,1,8,n_ancestries_initial,6.0,3.5,2.5
D050197,Atherosclerosis,9,1,8,n_ancestries_replication,0.0,0.875,-0.875
D050197,Atherosclerosis,9,1,8,has_replication,1.0,0.875,0.125
D050197,Atherosclerosis,9,1,8,has_african,1.0,0.5,0.5
D050197,Atherosclerosis,9,1,8,has_east_asian,1.0,0.875,0.125
D050197,Atherosclerosis,9,1,8,has_south_asian,1.0,0.375,0.625
D057765,Eosinophilic Esophagitis,6,2,4,n_ancestries_all,5.0,3.75,1.25
D057765,Eosinophilic Esophagitis,6,2,4,n_ancestries_initial,5.0,3.75,1.25
D057765,Eosinophilic Esophagitis,6,2,4,n_ancestries_replication,0.5,0.75,-0.25
D057765,Eosinophilic Esophagitis,6,2,4,has_replication,0.5,0.75,-0.25
D057765,Eosinophilic Esophagitis,6,2,4,has_african,1.0,0.75,0.25
D057765,Eosinophilic Esophagitis,6,2,4,has_east_asian,1.0,0.75,0.25
D057765,Eosinophilic Esophagitis,6,2,4,has_south_asian,1.0,0.5,0.5
D065631,"Rhinitis, Allergic",9,1,8,n_ancestries_all,1.0,3.375,-2.375
D065631,"Rhinitis, Allergic",9,1,8,n_ancestries_initial,1.0,3.0,-2.0
D065631,"Rhinitis, Allergic",9,1,8,n_ancestries_replication,1.0,1.75,-0.75
D065631,"Rhinitis, Allergic",9,1,8,has_replication,1.0,1.0,0.0
D065631,"Rhinitis, Allergic",9,1,8,has_african,0.0,0.75,-0.75
D065631,"Rhinitis, Allergic",9,1,8,has_east_asian,0.0,0.625,-0.625
D065631,"Rhinitis, Allergic",9,1,8,has_south_asian,0.0,0.0,0.0
