estimator,model_id,exposure_model,term,beta,standard_error,odds_ratio,ci_low,ci_high,p_value
conditional_logit,W1,n_ancestries_all,n_ancestries_all,0.09813633221085723,0.06174978398223243,1.103113164714054,0.9773689912049466,1.2450350534093115,0.11200217862501405
fixed_effect_logit_cluster_gene,W1,n_ancestries_all,Intercept,-2.41400749507799,1.118431314987615,0.08945608047643018,0.009990780196379211,0.8009775189635067,0.030897763638170744
fixed_effect_logit_cluster_gene,W1,n_ancestries_all,n_ancestries_all,0.10790334508504844,0.09139001788463476,1.1139400724000308,0.9312590432013209,1.332456843192592,0.2377256134409702
conditional_logit,W2,n_ancestries_all,n_ancestries_all,-0.12740577396583472,0.0913756085261843,0.8803763662996823,0.7360194928579842,1.0530462220904544,0.1632245104688811
conditional_logit,W2,n_ancestries_all,log_studies,0.684427982954656,0.2001220125487908,1.98263740871983,1.3393655689576087,2.93486049332637,0.0006260882878383471
fixed_effect_logit_cluster_gene,W2,n_ancestries_all,Intercept,-3.457241139134982,1.3762225264706354,0.031516592079751916,0.0021237163584693587,0.467715743846973,0.012000703613481753
fixed_effect_logit_cluster_gene,W2,n_ancestries_all,n_ancestries_all,-0.14568253123226638,0.12074494019162721,0.864432089818089,0.6822642278378777,1.0952396555734876,0.22761275677130177
fixed_effect_logit_cluster_gene,W2,n_ancestries_all,log_studies,0.770593969597796,0.23847514159420266,2.161049470336092,1.3541734671426169,3.448697620028071,0.0012321181541662452
conditional_logit,W3,n_ancestries_all,n_ancestries_all,-0.12999710804140102,0.09167555257480532,0.8780979703398655,0.7336832453530714,1.050938603816603,0.1561870244509375
conditional_logit,W3,n_ancestries_all,log_studies,0.6477060695962559,0.23625580055607856,1.9111517477147808,1.2028012475874186,3.0366621335980954,0.006115085707237518
conditional_logit,W3,n_ancestries_all,earliest_year_centered,-0.013156641549428118,0.045199694641561455,0.9869295287411618,0.9032585753113025,1.0783511181895598,0.7709915834753118
fixed_effect_logit_cluster_gene,W3,n_ancestries_all,Intercept,-3.393575272949164,1.3549740277351203,0.033588374364249385,0.0023595707376921323,0.4781288708201321,0.012261365100993599
fixed_effect_logit_cluster_gene,W3,n_ancestries_all,n_ancestries_all,-0.14832251151800332,0.12293620622824884,0.8621530158214875,0.6775492412067964,1.0970535829486956,0.22762482584020205
fixed_effect_logit_cluster_gene,W3,n_ancestries_all,log_studies,0.7282308210092798,0.26059001337857807,2.071412664239926,1.24294526884214,3.452083155335213,0.005197262054780656
