ti_uid,gene,indication_mesh_id,indication_mesh_term,ccat,year_launch,supported,pool,initial_set,replication_set,all_set,n_studies_total,n_studies_initial,n_studies_replication,n_ancestries_initial,n_ancestries_replication,n_ancestries_all,has_replication,panukb_phenotype_id,trait_type,phenocode,description,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,mapping_tier,mapping_status,mapping_rationale,source_resource,source_manifest_filename,source_manifest_md5,source_manifest_sha256,genome_build
CSF2-D029424,CSF2,D029424,"Pulmonary Disease, Chronic Obstructive",Phase I,,True,B,['African' 'East Asian' 'European' 'Hispanic/Latin American'],['European'],['African' 'East Asian' 'European' 'Hispanic/Latin American'],4,4,1,4,1,4,True,icd10|J44|both_sexes||,icd10,J44,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",2,icd10-J44-both_sexes.tsv.bgz,icd10-J44-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J44-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J44-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J44 chronic obstructive pulmonary disease.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
CTSL-D010003,CTSL,D010003,Osteoarthritis,Phase I,,True,B,['European'],[],['European'],1,1,0,1,0,1,False,phecode|740|both_sexes||,phecode,740,Osteoarthrosis,"EUR,MID",2,phecode-740-both_sexes.tsv.bgz,phecode-740-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-740-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-740-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact endpoint synonym: Osteoarthrosis for osteoarthritis; excludes site-specific hip/knee arthrosis.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
CYP11B1-D006973,CYP11B1,D006973,Hypertension,Phase II,,True,B,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR' 'Other'
 'South Asian']",['East Asian' 'European'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR' 'Other'
 'South Asian']",14,14,5,6,2,6,True,phecode|401|both_sexes||,phecode,401,Hypertension,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
CYP11B2-D006973,CYP11B2,D006973,Hypertension,Phase II,,True,B,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",['East Asian' 'European' 'NR'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",24,24,6,8,2,8,True,phecode|401|both_sexes||,phecode,401,Hypertension,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
CYP2A6-D014029,CYP2A6,D014029,Tobacco Use Disorder,Phase I,,True,B,['African' 'European'],['European' 'NR'],['African' 'European' 'NR'],2,2,1,2,1,2,True,phecode|318|both_sexes||,phecode,318,Tobacco use disorder,"EAS,EUR",2,phecode-318-both_sexes.tsv.bgz,phecode-318-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-318-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-318-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Tobacco use disorder.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
DGAT1-D003920,DGAT1,D003920,Diabetes Mellitus,Phase I,,True,B,['African' 'East Asian' 'European' 'NR' 'South Asian'],[],['African' 'East Asian' 'European' 'NR' 'South Asian'],4,4,0,4,0,4,False,phecode|250|both_sexes||,phecode,250,Diabetes mellitus,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Diabetes mellitus; excludes the narrower type 2 endpoint.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
DGAT1-D003924,DGAT1,D003924,"Diabetes Mellitus, Type 2",Phase II,,True,B,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],[],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],3,3,0,5,0,5,False,phecode|250.2|both_sexes||,phecode,250.2,Type 2 diabetes,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Type 2 diabetes.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
DPP4-D009765,DPP4,D009765,Obesity,Phase I,,True,B,['European'],[],['European'],3,3,0,1,0,1,False,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
DRD2-D005764,DRD2,D005764,Gastroesophageal Reflux,Launched,2009.0,True,A,['European'],['NR'],['European' 'NR'],1,1,1,1,0,1,True,phecode|530.11|both_sexes||,phecode,530.11,GERD,"EUR,MID",2,phecode-530.11-both_sexes.tsv.bgz,phecode-530.11-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-530.11-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-530.11-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact endpoint: GERD; excludes broader esophagitis/related-disease phenotype.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
EDNRA-D006973,EDNRA,D006973,Hypertension,Phase III,,True,B,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other Asian']",['European' 'NR'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other Asian']",8,8,3,6,1,6,True,phecode|401|both_sexes||,phecode,401,Hypertension,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
EPHX2-D029424,EPHX2,D029424,"Pulmonary Disease, Chronic Obstructive",Phase I,,True,B,['European'],[],['European'],3,3,0,1,0,1,False,icd10|J44|both_sexes||,icd10,J44,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",2,icd10-J44-both_sexes.tsv.bgz,icd10-J44-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J44-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J44-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J44 chronic obstructive pulmonary disease.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
FBP1-D003924,FBP1,D003924,"Diabetes Mellitus, Type 2",Phase II,,True,B,['European'],[],['European'],1,1,0,1,0,1,False,phecode|250.2|both_sexes||,phecode,250.2,Type 2 diabetes,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Type 2 diabetes.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
FGFR1-D003924,FGFR1,D003924,"Diabetes Mellitus, Type 2",Phase I,,True,B,['East Asian'],[],['East Asian'],1,1,0,1,0,1,False,phecode|250.2|both_sexes||,phecode,250.2,Type 2 diabetes,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Type 2 diabetes.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
FGFR1-D009765,FGFR1,D009765,Obesity,Phase I,,True,B,['European'],[],['European'],5,5,0,1,0,1,False,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
FGFR3-D001249,FGFR3,D001249,Asthma,Phase III,,True,B,['European'],['European'],['European'],2,2,1,1,1,1,True,icd10|J45|both_sexes||,icd10,J45,J45 Asthma,"CSA,EUR,MID",3,icd10-J45-both_sexes.tsv.bgz,icd10-J45-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J45-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J45 Asthma.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
FGFR4-D003924,FGFR4,D003924,"Diabetes Mellitus, Type 2",Phase II,,True,B,['East Asian' 'European' 'South Asian'],[],['East Asian' 'European' 'South Asian'],6,6,0,3,0,3,False,phecode|250.2|both_sexes||,phecode,250.2,Type 2 diabetes,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Type 2 diabetes.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
FGFR4-D009765,FGFR4,D009765,Obesity,Phase II,,True,B,['East Asian' 'European'],[],['East Asian' 'European'],6,6,0,2,0,2,False,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GATA3-D001249,GATA3,D001249,Asthma,Phase II,,True,B,['East Asian' 'European' 'NR'],['European' 'NR'],['East Asian' 'European' 'NR'],16,16,5,2,1,2,True,icd10|J45|both_sexes||,icd10,J45,J45 Asthma,"CSA,EUR,MID",3,icd10-J45-both_sexes.tsv.bgz,icd10-J45-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J45-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J45 Asthma.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GATA3-D029424,GATA3,D029424,"Pulmonary Disease, Chronic Obstructive",Phase II,,True,B,['East Asian' 'European' 'NR'],['European' 'NR'],['East Asian' 'European' 'NR'],16,16,5,2,1,2,True,icd10|J44|both_sexes||,icd10,J44,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",2,icd10-J44-both_sexes.tsv.bgz,icd10-J44-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J44-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J44-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J44 chronic obstructive pulmonary disease.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GCK-D003920,GCK,D003920,Diabetes Mellitus,Phase I,,True,B,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other Asian' 'South Asian']",['East Asian' 'European' 'Hispanic/Latin American'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other Asian' 'South Asian']",17,17,4,7,3,7,True,phecode|250|both_sexes||,phecode,250,Diabetes mellitus,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Diabetes mellitus; excludes the narrower type 2 endpoint.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GCK-D003924,GCK,D003924,"Diabetes Mellitus, Type 2",Launched,,True,A,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],[],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],13,13,0,5,0,5,False,phecode|250.2|both_sexes||,phecode,250.2,Type 2 diabetes,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Type 2 diabetes.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GDF15-D003920,GDF15,D003920,Diabetes Mellitus,Phase I,,True,B,['East Asian' 'European'],[],['East Asian' 'European'],1,1,0,2,0,2,False,phecode|250|both_sexes||,phecode,250,Diabetes mellitus,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Diabetes mellitus; excludes the narrower type 2 endpoint.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GDF15-D009765,GDF15,D009765,Obesity,Phase I,,True,B,['European'],[],['European'],5,5,0,1,0,1,False,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GFRAL-D009765,GFRAL,D009765,Obesity,Phase I,,True,B,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],['European'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],3,3,1,5,1,5,True,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GHR-D009765,GHR,D009765,Obesity,Phase II,,True,B,['East Asian' 'European'],[],['East Asian' 'European'],5,5,0,2,0,2,False,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GIPR-D003924,GIPR,D003924,"Diabetes Mellitus, Type 2",Launched,,True,A,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']",['East Asian' 'European' 'South Asian'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']",10,10,1,5,3,5,True,phecode|250.2|both_sexes||,phecode,250.2,Type 2 diabetes,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Type 2 diabetes.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GIPR-D009765,GIPR,D009765,Obesity,Phase III,,True,B,"['African' 'East Asian' 'European' 'Hispanic/Latin American'
 'Native American' 'Oceanian' 'Other Asian' 'South Asian']",['African' 'East Asian' 'European' 'NR' 'Other Asian' 'South Asian'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Oceanian' 'Other Asian' 'South Asian']",36,36,11,8,5,8,True,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GLP1R-D003920,GLP1R,D003920,Diabetes Mellitus,Phase I,,True,B,['European'],[],['European'],2,2,0,1,0,1,False,phecode|250|both_sexes||,phecode,250,Diabetes mellitus,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Diabetes mellitus; excludes the narrower type 2 endpoint.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GLP1R-D003924,GLP1R,D003924,"Diabetes Mellitus, Type 2",Launched,,True,A,['African' 'East Asian' 'European' 'South Asian'],[],['African' 'East Asian' 'European' 'South Asian'],8,8,0,4,0,4,False,phecode|250.2|both_sexes||,phecode,250.2,Type 2 diabetes,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Type 2 diabetes.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GLP1R-D009765,GLP1R,D009765,Obesity,Launched,,True,A,['East Asian' 'European'],[],['East Asian' 'European'],1,1,0,2,0,2,False,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
GLP2R-D003924,GLP2R,D003924,"Diabetes Mellitus, Type 2",Phase I,,True,B,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],['European'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],4,4,1,5,1,5,True,phecode|250.2|both_sexes||,phecode,250.2,Type 2 diabetes,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Type 2 diabetes.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
HCRTR1-D029424,HCRTR1,D029424,"Pulmonary Disease, Chronic Obstructive",Phase I,,True,B,['European'],[],['European'],2,2,0,1,0,1,False,icd10|J44|both_sexes||,icd10,J44,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",2,icd10-J44-both_sexes.tsv.bgz,icd10-J44-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J44-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J44-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J44 chronic obstructive pulmonary disease.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
