ti_uid,gene,indication_mesh_id,indication_mesh_term,ccat,year_launch,supported,pool,initial_set,replication_set,all_set,n_studies_total,n_studies_initial,n_studies_replication,n_ancestries_initial,n_ancestries_replication,n_ancestries_all,has_replication,panukb_phenotype_id,trait_type,phenocode,description,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,mapping_tier,mapping_status,mapping_rationale,source_resource,source_manifest_filename,source_manifest_md5,source_manifest_sha256,genome_build
ADRB1-D006973,ADRB1,D006973,Hypertension,Launched,,True,A,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']","['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']","['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",27,27,10,8,5,8,True,phecode|401|both_sexes||,phecode,401,Hypertension,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ADRB2-D001249,ADRB2,D001249,Asthma,Launched,2004.0,True,A,['European'],['European'],['European'],2,2,1,1,1,1,True,icd10|J45|both_sexes||,icd10,J45,J45 Asthma,"CSA,EUR,MID",3,icd10-J45-both_sexes.tsv.bgz,icd10-J45-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J45-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J45 Asthma.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ADRB2-D006973,ADRB2,D006973,Hypertension,Launched,2007.0,True,A,['European'],['European'],['European'],2,2,1,1,1,1,True,phecode|401|both_sexes||,phecode,401,Hypertension,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ADRB2-D029424,ADRB2,D029424,"Pulmonary Disease, Chronic Obstructive",Launched,2009.0,True,A,['European'],['European'],['European'],2,2,1,1,1,1,True,icd10|J44|both_sexes||,icd10,J44,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",2,icd10-J44-both_sexes.tsv.bgz,icd10-J44-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J44-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J44-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J44 chronic obstructive pulmonary disease.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
AGT-D006973,AGT,D006973,Hypertension,Launched,,True,A,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",['European' 'NR'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",19,19,6,8,1,8,True,phecode|401|both_sexes||,phecode,401,Hypertension,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ALDH2-D014029,ALDH2,D014029,Tobacco Use Disorder,Phase I,,True,B,['European'],[],['European'],1,1,0,1,0,1,False,phecode|318|both_sexes||,phecode,318,Tobacco use disorder,"EAS,EUR",2,phecode-318-both_sexes.tsv.bgz,phecode-318-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-318-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-318-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Tobacco use disorder.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ALDH2-D019973,ALDH2,D019973,Alcohol-Related Disorders,Phase II,,True,B,['East Asian' 'European'],[],['East Asian' 'European'],5,5,0,2,0,2,False,phecode|317|both_sexes||,phecode,317,Alcohol-related disorders,"AFR,EUR",2,phecode-317-both_sexes.tsv.bgz,phecode-317-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-317-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-317-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Alcohol-related disorders.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
CACNA1C-D006973,CACNA1C,D006973,Hypertension,Launched,,True,A,['European'],[],['European'],1,1,0,1,0,1,False,phecode|401|both_sexes||,phecode,401,Hypertension,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
CALCA-D009765,CALCA,D009765,Obesity,Phase I,,True,B,['European'],[],['European'],2,2,0,1,0,1,False,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
CALCR-D003920,CALCR,D003920,Diabetes Mellitus,Phase II,,True,B,['European'],[],['European'],1,1,0,1,0,1,False,phecode|250|both_sexes||,phecode,250,Diabetes mellitus,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Diabetes mellitus; excludes the narrower type 2 endpoint.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
