indication_mesh_id,indication_mesh_term,n_pairs,n_genes,n_A,n_B,candidate_rank,candidate_rank_score,lexical_score,exact_normalized_match,token_containment,token_jaccard,sequence_similarity,panukb_phenotype_id,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,category,is_binary,is_quantitative,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,phenotype_qc_AFR,phenotype_qc_AMR,phenotype_qc_CSA,phenotype_qc_EAS,phenotype_qc_EUR,phenotype_qc_MID
D019973,Alcohol-Related Disorders,1,1,0,1,1,198.0,195.0,True,1.0,1.0,1.0,phecode|317|both_sexes||,phecode,317,both_sexes,,,Alcohol-related disorders,,mental disorders,True,False,"AFR,EUR",2,phecode-317-both_sexes.tsv.bgz,phecode-317-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-317-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-317-both_sexes.tsv.bgz.tbi,129.0,,166.0,,16070.0,,6272.0,,8471.0,,392046.0,,PASS,,h2_z_insignificant,,PASS,
D003920,Diabetes Mellitus,13,13,2,11,1,198.0,195.0,True,1.0,1.0,1.0,phecode|250|both_sexes||,phecode,250,both_sexes,,,Diabetes mellitus,,endocrine/metabolic,True,False,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,843.0,,1695.0,154.0,24348.0,175.0,5793.0,,7181.0,2555.0,396181.0,1424.0,h2_z_insignificant,,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D006973,Hypertension,19,19,8,11,1,198.0,195.0,True,1.0,1.0,1.0,phecode|401|both_sexes||,phecode,401,both_sexes,,,Hypertension,,circulatory system,True,False,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,2037.0,160.0,2690.0,431.0,94311.0,348.0,4589.0,816.0,6170.0,2272.0,325488.0,1245.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D014029,Tobacco Use Disorder,4,4,1,3,1,198.0,195.0,True,1.0,1.0,1.0,phecode|318|both_sexes||,phecode,318,both_sexes,,,Tobacco use disorder,,mental disorders,True,False,"EAS,EUR",2,phecode-318-both_sexes.tsv.bgz,phecode-318-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-318-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-318-both_sexes.tsv.bgz.tbi,254.0,,275.0,50.0,14988.0,81.0,6272.0,,8471.0,2641.0,392046.0,1493.0,h2_z_insignificant,,h2_z_insignificant,PASS,PASS,h2_z_insignificant
