indication_mesh_id,indication_mesh_term,n_pairs,n_genes,n_A,n_B,has_exact_candidate,best_overall_score,binary_candidate_1,binary_candidate_2,binary_candidate_3,selected_panukb_phenotype_id,mapping_tier,mapping_rationale,reviewer_notes,exclude_reason,quantitative_candidate_1,quantitative_candidate_2
D008180,"Lupus Erythematosus, Systemic",10,10,0,10,False,11.403590944574551,"id=icd10|Z72|both_sexes|| | type=icd10 | description=Z72 Problems related to lifestyle | pops=AFR,EUR | N_AFR=230 | N_CSA=294 | N_EUR=21081 | N_MID=70 | rank_score=11.403590944574551 | containment=0.0 | exact=False","id=phecode|459|both_sexes|| | type=phecode | description=Other disorders of circulatory system | pops=CSA,EUR | N_AFR=354 | N_CSA=384 | N_EAS=54 | N_EUR=21420 | N_MID=54 | rank_score=11.0 | containment=0.0 | exact=False","id=icd10|M16|both_sexes|| | type=icd10 | description=M16 Coxarthrosis [arthrosis of hip] | pops=CSA,EUR | N_AFR=71 | N_CSA=60 | N_EUR=14999 | rank_score=10.747853239656518 | containment=0.0 | exact=False",,,,,,,
D013921,Thrombocytopenia,10,10,4,6,False,12.666666666666666,"id=icd10|K44|both_sexes|| | type=icd10 | description=K44 Diaphragmatic hernia | pops=EUR,MID | N_AFR=326 | N_AMR=70 | N_CSA=660 | N_EAS=88 | N_EUR=33359 | N_MID=139 | rank_score=12.666666666666666 | containment=0.0 | exact=False","id=icd10|K42|both_sexes|| | type=icd10 | description=K42 Umbilical hernia | pops=CSA,EUR | N_AFR=105 | N_CSA=90 | N_EUR=4511 | rank_score=12.444444444444445 | containment=0.0 | exact=False","id=phecode|550.2|both_sexes|| | type=phecode | description=Diaphragmatic hernia | pops=CSA,EUR,MID | N_AFR=326 | N_AMR=70 | N_CSA=660 | N_EAS=88 | N_EUR=33482 | N_MID=139 | rank_score=11.88888888888889 | containment=0.0 | exact=False",,,,,,"id=continuous|30190|both_sexes||irnt | type=continuous | description=Monocyte percentage | pops=CSA,EUR,MID | N_AFR=6262 | N_AMR=949 | N_CSA=8502 | N_EAS=2630 | N_EUR=407270 | N_MID=1546 | rank_score=10.807041299932294 | containment=0.0 | exact=False",
D013922,Thrombocytosis,10,10,2,8,False,14.25,"id=phecode|496.2|both_sexes|| | type=phecode | description=Chronic bronchitis | pops=CSA,EUR | N_AFR=77 | N_CSA=156 | N_EUR=11764 | rank_score=14.25 | containment=0.0 | exact=False","id=phecode|740|both_sexes|| | type=phecode | description=Osteoarthrosis | pops=EUR,MID | N_AFR=423 | N_AMR=53 | N_CSA=547 | N_EAS=74 | N_EUR=36073 | N_MID=86 | rank_score=13.0 | containment=0.0 | exact=False","id=phecode|716.9|both_sexes|| | type=phecode | description=Arthropathy NOS | pops=EAS,EUR | N_AFR=605 | N_AMR=74 | N_CSA=880 | N_EAS=117 | N_EUR=41824 | N_MID=122 | rank_score=12.655172413793103 | containment=0.0 | exact=False",,,,,,,
D015535,"Arthritis, Psoriatic",9,9,3,6,False,39.0,"id=phecode|714|both_sexes|| | type=phecode | description=Rheumatoid arthritis and other inflammatory polyarthropathies | pops=CSA,EUR | N_AFR=109 | N_CSA=179 | N_EUR=6216 | rank_score=39.0 | containment=0.5 | exact=False","id=phecode|716|both_sexes|| | type=phecode | description=Other arthropathies | pops=EAS,EUR | N_AFR=607 | N_AMR=74 | N_CSA=881 | N_EAS=117 | N_EUR=42030 | N_MID=123 | rank_score=12.473684210526317 | containment=0.0 | exact=False","id=phecode|716.9|both_sexes|| | type=phecode | description=Arthropathy NOS | pops=EAS,EUR | N_AFR=605 | N_AMR=74 | N_CSA=880 | N_EAS=117 | N_EUR=41824 | N_MID=122 | rank_score=12.411764705882351 | containment=0.0 | exact=False",,,,,,,
D050197,Atherosclerosis,9,9,1,8,False,78.38461538461539,"id=phecode|411.4|both_sexes|| | type=phecode | description=Coronary atherosclerosis | pops=CSA,EUR | N_AFR=191 | N_CSA=1028 | N_EAS=59 | N_EUR=23888 | N_MID=114 | rank_score=78.38461538461539 | containment=1.0 | exact=False","id=phecode|740|both_sexes|| | type=phecode | description=Osteoarthrosis | pops=EUR,MID | N_AFR=423 | N_AMR=53 | N_CSA=547 | N_EAS=74 | N_EUR=36073 | N_MID=86 | rank_score=14.03448275862069 | containment=0.0 | exact=False","id=phecode|496.2|both_sexes|| | type=phecode | description=Chronic bronchitis | pops=CSA,EUR | N_AFR=77 | N_CSA=156 | N_EUR=11764 | rank_score=12.696969696969695 | containment=0.0 | exact=False",,,,,,,
D015212,Inflammatory Bowel Diseases,9,9,0,9,False,39.66666666666666,"id=phecode|530|both_sexes|| | type=phecode | description=Diseases of esophagus | pops=EUR,MID | N_AFR=519 | N_AMR=95 | N_CSA=964 | N_EAS=151 | N_EUR=42944 | N_MID=172 | rank_score=39.66666666666666 | containment=0.5 | exact=False","id=categorical|20111|both_sexes|1| | type=categorical | description=Illnesses of siblings | pops=AFR,EUR | N_AFR=233 | N_AMR=57 | N_CSA=1178 | N_EAS=191 | N_EUR=34434 | N_MID=132 | rank_score=39.3564814239112 | containment=0.6666666666666666 | exact=False","id=categorical|20111|both_sexes|100| | type=categorical | description=Illnesses of siblings | pops=CSA,EUR | N_AFR=2911 | N_AMR=514 | N_CSA=3631 | N_EAS=1325 | N_EUR=223101 | N_MID=767 | rank_score=39.3564814239112 | containment=0.6666666666666666 | exact=False",,,,,,,
D065631,"Rhinitis, Allergic",9,9,1,8,False,34.42832564405017,"id=categorical|6152|both_sexes|100| | type=categorical | description=Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor | pops=CSA,EUR | N_AFR=4236 | N_AMR=627 | N_CSA=5986 | N_EAS=1517 | N_EUR=285088 | N_MID=1121 | rank_score=34.42832564405017 | containment=0.5 | exact=False","id=categorical|6152|both_sexes|8| | type=categorical | description=Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor | pops=CSA,EUR | N_AFR=782 | N_AMR=103 | N_CSA=1041 | N_EAS=232 | N_EUR=48560 | N_MID=173 | rank_score=34.42832564405017 | containment=0.5 | exact=False","id=categorical|4294|both_sexes|0| | type=categorical | description=Final attempt correct | pops=CSA,EUR | N_AFR=541 | N_AMR=61 | N_CSA=822 | N_EAS=166 | N_EUR=5328 | N_MID=110 | rank_score=11.822966507177034 | containment=0.0 | exact=False",,,,,,,
D006938,Hyperlipoproteinemia Type II,8,8,3,5,False,42.23076923076923,"id=categorical|1428|both_sexes|0| | type=categorical | description=Spread type | pops=CSA,EUR,MID | N_AFR=1170 | N_AMR=188 | N_CSA=1232 | N_EAS=564 | N_EUR=42617 | N_MID=492 | rank_score=42.23076923076923 | containment=0.5 | exact=False","id=categorical|1428|both_sexes|1| | type=categorical | description=Spread type | pops=EAS,EUR | N_AFR=2276 | N_AMR=392 | N_CSA=2611 | N_EAS=984 | N_EUR=152410 | N_MID=503 | rank_score=42.23076923076923 | containment=0.5 | exact=False","id=categorical|1468|both_sexes|2| | type=categorical | description=Cereal type | pops=EUR,MID | N_AFR=749 | N_AMR=88 | N_CSA=1365 | N_EAS=196 | N_EUR=62649 | N_MID=171 | rank_score=41.226867335562986 | containment=0.5 | exact=False",,,,,,,
D001008,Anxiety Disorders,7,7,1,6,False,49.25,"id=phecode|327|both_sexes|| | type=phecode | description=Sleep disorders | pops=CSA,EUR | N_AFR=141 | N_CSA=174 | N_EUR=6623 | N_MID=52 | rank_score=49.25 | containment=0.5 | exact=False","id=icd10|G47|both_sexes|| | type=icd10 | description=G47 Sleep disorders | pops=CSA,EUR | N_AFR=140 | N_CSA=173 | N_EUR=6557 | N_MID=52 | rank_score=46.83512544802867 | containment=0.5 | exact=False","id=phecode|317|both_sexes|| | type=phecode | description=Alcohol-related disorders | pops=AFR,EUR | N_AFR=129 | N_CSA=166 | N_EUR=16070 | rank_score=45.38095238095238 | containment=0.5 | exact=False",,,,,,"id=continuous|20520|both_sexes|| | type=continuous | description=Recent worrying too much about different things | pops=CSA,EUR | N_AFR=930 | N_CSA=1169 | N_EAS=589 | N_EUR=135794 | rank_score=29.48446327683616 | containment=0.5 | exact=False",
D009103,Multiple Sclerosis,7,7,0,7,False,13.476190476190476,"id=phecode|411.4|both_sexes|| | type=phecode | description=Coronary atherosclerosis | pops=CSA,EUR | N_AFR=191 | N_CSA=1028 | N_EAS=59 | N_EUR=23888 | N_MID=114 | rank_score=13.476190476190476 | containment=0.0 | exact=False","id=categorical|1418|both_sexes|1| | type=categorical | description=Milk type used | pops=EUR,MID | N_AFR=926 | N_AMR=96 | N_CSA=1593 | N_EAS=401 | N_EUR=26497 | N_MID=242 | rank_score=13.0 | containment=0.0 | exact=False","id=icd10|K42|both_sexes|| | type=icd10 | description=K42 Umbilical hernia | pops=CSA,EUR | N_AFR=105 | N_CSA=90 | N_EUR=4511 | rank_score=12.983552631578949 | containment=0.0 | exact=False",,,,,,,
