indication_mesh_id,indication_mesh_term,n_pairs,n_genes,n_A,n_B,has_exact_candidate,best_overall_score,binary_candidate_1,binary_candidate_2,binary_candidate_3,selected_panukb_phenotype_id,mapping_tier,mapping_rationale,reviewer_notes,exclude_reason,quantitative_candidate_1,quantitative_candidate_2
D051437,Renal Insufficiency,5,5,0,5,False,12.717294900221727,"id=categorical|6138|both_sexes|100| | type=categorical | description=Qualifications | pops=AFR,CSA,EAS,EUR,MID | N_AFR=931 | N_AMR=130 | N_CSA=1412 | N_EAS=358 | N_EUR=73293 | N_MID=252 | rank_score=12.717294900221727 | containment=0.0 | exact=False","id=categorical|6138|both_sexes|2| | type=categorical | description=Qualifications | pops=EAS,EUR | N_AFR=880 | N_AMR=177 | N_CSA=1399 | N_EAS=416 | N_EUR=112131 | N_MID=272 | rank_score=12.717294900221727 | containment=0.0 | exact=False","id=categorical|6138|both_sexes|3| | type=categorical | description=Qualifications | pops=CSA,EUR,MID | N_AFR=2078 | N_AMR=250 | N_CSA=2398 | N_EAS=574 | N_EUR=195589 | N_MID=353 | rank_score=12.717294900221727 | containment=0.0 | exact=False",,,,,,,
D012893,Sleep Wake Disorders,5,5,1,4,False,85.14285714285714,"id=phecode|327|both_sexes|| | type=phecode | description=Sleep disorders | pops=CSA,EUR | N_AFR=141 | N_CSA=174 | N_EUR=6623 | N_MID=52 | rank_score=85.14285714285714 | containment=1.0 | exact=False","id=icd10|G47|both_sexes|| | type=icd10 | description=G47 Sleep disorders | pops=CSA,EUR | N_AFR=140 | N_CSA=173 | N_EUR=6557 | N_MID=52 | rank_score=63.97285067873303 | containment=0.6666666666666666 | exact=False","id=phecode|327.3|both_sexes|| | type=phecode | description=Sleep apnea | pops=CSA,EUR | N_AFR=127 | N_CSA=151 | N_EUR=5621 | rank_score=43.32258064516129 | containment=0.5 | exact=False",,,,,,"id=continuous|1160|both_sexes|| | type=continuous | description=Sleep duration | pops=EUR,MID | N_AFR=6382 | N_AMR=959 | N_EAS=2631 | N_EUR=418009 | N_MID=1547 | rank_score=40.61165449786472 | containment=0.5 | exact=False",
D013927,Thrombosis,5,5,2,3,False,14.666666666666668,"id=phecode|740|both_sexes|| | type=phecode | description=Osteoarthrosis | pops=EUR,MID | N_AFR=423 | N_AMR=53 | N_CSA=547 | N_EAS=74 | N_EUR=36073 | N_MID=86 | rank_score=14.666666666666668 | containment=0.0 | exact=False","id=phecode|496.2|both_sexes|| | type=phecode | description=Chronic bronchitis | pops=CSA,EUR | N_AFR=77 | N_CSA=156 | N_EUR=11764 | rank_score=13.0 | containment=0.0 | exact=False","id=categorical|1920|both_sexes|1920| | type=categorical | description=Mood swings | pops=CSA,EUR,MID | N_AFR=3195 | N_AMR=416 | N_CSA=4200 | N_EAS=968 | N_EUR=185534 | N_MID=877 | rank_score=12.608197709463532 | containment=0.0 | exact=False",,,,,,,
D002318,Cardiovascular Diseases,4,4,0,4,False,42.77272727272727,"id=phecode|530|both_sexes|| | type=phecode | description=Diseases of esophagus | pops=EUR,MID | N_AFR=519 | N_AMR=95 | N_CSA=964 | N_EAS=151 | N_EUR=42944 | N_MID=172 | rank_score=42.77272727272727 | containment=0.5 | exact=False","id=phecode|530.1|both_sexes|| | type=phecode | description=Esophagitis, GERD and related diseases | pops=EUR,MID | N_AFR=478 | N_AMR=87 | N_CSA=910 | N_EAS=139 | N_EUR=40018 | N_MID=157 | rank_score=41.5 | containment=0.5 | exact=False","id=icd10|Z86|both_sexes|| | type=icd10 | description=Z86 Personal history of certain other diseases | pops=EUR,MID | N_AFR=798 | N_AMR=131 | N_CSA=1069 | N_EAS=190 | N_EUR=64593 | N_MID=230 | rank_score=39.96729338033686 | containment=0.5 | exact=False",,,,,,,
D003922,"Diabetes Mellitus, Type 1",4,4,0,4,False,84.58536585365854,"id=phecode|250|both_sexes|| | type=phecode | description=Diabetes mellitus | pops=CSA,EUR | N_AFR=843 | N_CSA=1695 | N_EAS=154 | N_EUR=24348 | N_MID=175 | rank_score=84.58536585365854 | containment=1.0 | exact=False","id=phecode|250.2|both_sexes|| | type=phecode | description=Type 2 diabetes | pops=CSA,EUR | N_AFR=796 | N_CSA=1664 | N_EAS=152 | N_EUR=22768 | N_MID=170 | rank_score=76.2051282051282 | containment=1.0 | exact=False","id=icd10|E11|both_sexes|| | type=icd10 | description=E11 Non-insulin-dependent diabetes mellitus | pops=CSA,EUR | N_AFR=792 | N_CSA=1662 | N_EAS=152 | N_EUR=22634 | N_MID=170 | rank_score=53.29962967119291 | containment=0.6666666666666666 | exact=False",,,,,,,
D006967,Hypersensitivity,4,4,0,4,False,15.857142857142858,"id=phecode|401|both_sexes|| | type=phecode | description=Hypertension | pops=CSA,EUR | N_AFR=2037 | N_AMR=160 | N_CSA=2690 | N_EAS=431 | N_EUR=94311 | N_MID=348 | rank_score=15.857142857142858 | containment=0.0 | exact=False","id=categorical|1950|both_sexes|1950| | type=categorical | description=Sensitivity / hurt feelings | pops=EUR,MID | N_AFR=2669 | N_AMR=497 | N_CSA=4901 | N_EAS=1142 | N_EUR=226844 | N_MID=875 | rank_score=13.900483688381188 | containment=0.0 | exact=False","id=categorical|1940|both_sexes|1940| | type=categorical | description=Irritability | pops=CSA,EUR | N_AFR=1110 | N_AMR=270 | N_CSA=1899 | N_EAS=558 | N_EUR=112713 | N_MID=458 | rank_score=13.212765957446807 | containment=0.0 | exact=False",,,,,,,
D008181,Lupus Nephritis,4,4,0,4,False,13.0,"id=phecode|716.2|both_sexes|| | type=phecode | description=Unspecified monoarthritis | pops=CSA,EAS,EUR,MID | N_AFR=341 | N_CSA=504 | N_EAS=63 | N_EUR=20094 | N_MID=63 | rank_score=13.0 | containment=0.0 | exact=False","id=phecode|558|both_sexes|| | type=phecode | description=Noninfectious gastroenteritis | pops=CSA,EUR | N_AFR=187 | N_CSA=416 | N_EAS=61 | N_EUR=17088 | N_MID=76 | rank_score=12.09090909090909 | containment=0.0 | exact=False","id=icd10|F32|both_sexes|| | type=icd10 | description=F32 Depressive episode | pops=CSA,EUR | N_AFR=187 | N_CSA=277 | N_EUR=15674 | N_MID=76 | rank_score=11.60205032618826 | containment=0.0 | exact=False",,,,,,,
D008269,Macular Edema,4,4,1,3,False,11.438003220611916,"id=icd10|N20|both_sexes|| | type=icd10 | description=N20 Calculus of kidney and ureter | pops=CSA,EUR | N_AFR=59 | N_CSA=154 | N_EUR=5530 | rank_score=11.438003220611916 | containment=0.0 | exact=False","id=categorical|6151|both_sexes|7| | type=categorical | description=Fractured bone site(s) | pops=AFR,CSA,EAS,EUR | N_AFR=176 | N_CSA=226 | N_EAS=64 | N_EUR=21833 | N_MID=57 | rank_score=11.28337104072398 | containment=0.0 | exact=False","id=phecode|411|both_sexes|| | type=phecode | description=Ischemic Heart Disease | pops=CSA,EUR | N_AFR=400 | N_AMR=69 | N_CSA=1374 | N_EAS=103 | N_EUR=37672 | N_MID=163 | rank_score=11.0 | containment=0.0 | exact=False",,,,,,"id=continuous|30050|both_sexes||irnt | type=continuous | description=Mean corpuscular haemoglobin | pops=CSA,EUR | N_AFR=6281 | N_AMR=950 | N_CSA=8532 | N_EAS=2632 | N_EUR=407992 | N_MID=1548 | rank_score=10.740946045824094 | containment=0.0 | exact=False",
D008545,Melanoma,4,4,0,4,False,11.421052631578949,"id=phecode|327.3|both_sexes|| | type=phecode | description=Sleep apnea | pops=CSA,EUR | N_AFR=127 | N_CSA=151 | N_EUR=5621 | rank_score=11.421052631578949 | containment=0.0 | exact=False","id=categorical|20004|both_sexes|1477| | type=categorical | description=Operation code | pops=EUR,MID | N_AFR=557 | N_AMR=118 | N_CSA=666 | N_EAS=254 | N_EUR=21130 | N_MID=102 | rank_score=10.308251251412887 | containment=0.0 | exact=False","id=categorical|20004|both_sexes|1478| | type=categorical | description=Operation code | pops=AFR,EUR | N_AFR=129 | N_AMR=101 | N_CSA=233 | N_EAS=85 | N_EUR=65576 | N_MID=112 | rank_score=10.308251251412887 | containment=0.0 | exact=False",,,,,,,
D009503,Neutropenia,4,4,2,2,False,12.12121212121212,"id=phecode|558|both_sexes|| | type=phecode | description=Noninfectious gastroenteritis | pops=CSA,EUR | N_AFR=187 | N_CSA=416 | N_EAS=61 | N_EUR=17088 | N_MID=76 | rank_score=12.0 | containment=0.0 | exact=False","id=phecode|550|both_sexes|| | type=phecode | description=Abdominal hernia | pops=EAS,EUR | N_AFR=617 | N_AMR=112 | N_EAS=128 | N_EUR=56668 | N_MID=224 | rank_score=11.88888888888889 | containment=0.0 | exact=False","id=phecode|716|both_sexes|| | type=phecode | description=Other arthropathies | pops=EAS,EUR | N_AFR=607 | N_AMR=74 | N_CSA=881 | N_EAS=117 | N_EUR=42030 | N_MID=123 | rank_score=11.0 | containment=0.0 | exact=False",,,,,,"id=continuous|30200|both_sexes||irnt | type=continuous | description=Neutrophill percentage | pops=CSA,EUR,MID | N_AFR=6262 | N_AMR=949 | N_CSA=8502 | N_EAS=2630 | N_EUR=407282 | N_MID=1546 | rank_score=12.12121212121212 | containment=0.0 | exact=False","id=continuous|30140|both_sexes||irnt | type=continuous | description=Neutrophill count | pops=CSA,EUR,MID | N_AFR=6262 | N_AMR=949 | N_CSA=8502 | N_EAS=2630 | N_EUR=407265 | N_MID=1546 | rank_score=11.928571428571429 | containment=0.0 | exact=False"
D012559,Schizophrenia,4,4,1,3,False,12.75975975975976,"id=icd10|K44|both_sexes|| | type=icd10 | description=K44 Diaphragmatic hernia | pops=EUR,MID | N_AFR=326 | N_AMR=70 | N_CSA=660 | N_EAS=88 | N_EUR=33359 | N_MID=139 | rank_score=12.75975975975976 | containment=0.0 | exact=False","id=phecode|550.2|both_sexes|| | type=phecode | description=Diaphragmatic hernia | pops=CSA,EUR,MID | N_AFR=326 | N_AMR=70 | N_CSA=660 | N_EAS=88 | N_EUR=33482 | N_MID=139 | rank_score=12.696969696969695 | containment=0.0 | exact=False","id=phecode|401|both_sexes|| | type=phecode | description=Hypertension | pops=CSA,EUR | N_AFR=2037 | N_AMR=160 | N_CSA=2690 | N_EAS=431 | N_EUR=94311 | N_MID=348 | rank_score=12.6 | containment=0.0 | exact=False",,,,,,,
D013167,"Spondylitis, Ankylosing",4,4,0,4,False,12.77159656264134,"id=categorical|2040|both_sexes|2040| | type=categorical | description=Risk taking | pops=CSA,EUR | N_AFR=2523 | N_AMR=402 | N_CSA=3058 | N_EAS=701 | N_EUR=104809 | N_MID=564 | rank_score=12.77159656264134 | containment=0.0 | exact=False","id=icd10|M17|both_sexes|| | type=icd10 | description=M17 Gonarthrosis [arthrosis of knee] | pops=EUR,MID | N_AFR=408 | N_CSA=595 | N_EAS=73 | N_EUR=24753 | N_MID=76 | rank_score=11.69047619047619 | containment=0.0 | exact=False","id=categorical|1950|both_sexes|1950| | type=categorical | description=Sensitivity / hurt feelings | pops=EUR,MID | N_AFR=2669 | N_AMR=497 | N_CSA=4901 | N_EAS=1142 | N_EUR=226844 | N_MID=875 | rank_score=11.634095087995798 | containment=0.0 | exact=False",,,,,,,
D014029,Tobacco Use Disorder,4,4,1,3,True,198.0,"id=phecode|318|both_sexes|| | type=phecode | description=Tobacco use disorder | pops=EAS,EUR | N_AFR=254 | N_CSA=275 | N_EAS=50 | N_EUR=14988 | N_MID=81 | rank_score=198.0 | containment=1.0 | exact=True","id=icd10|F17|both_sexes|| | type=icd10 | description=F17 Mental and behavioural disorders due to use of tobacco | pops=EAS,EUR | N_AFR=254 | N_CSA=275 | N_EAS=50 | N_EUR=14937 | N_MID=81 | rank_score=63.12443438914027 | containment=1.0 | exact=False","id=categorical|20002|both_sexes|1065| | type=categorical | description=Non-cancer illness code, self-reported | pops=CSA,EAS,EUR | N_AFR=2519 | N_AMR=203 | N_CSA=2564 | N_EAS=563 | N_EUR=109307 | N_MID=374 | rank_score=34.32645803698436 | containment=0.5 | exact=False",,,,,,"id=continuous|1239|both_sexes|| | type=continuous | description=Current tobacco smoking | pops=AFR,CSA,EUR,MID | N_AFR=6572 | N_CSA=8706 | N_EAS=2662 | N_EUR=420087 | N_MID=1570 | rank_score=40.60667340748231 | containment=0.5 | exact=False","id=continuous|1249|both_sexes|| | type=continuous | description=Past tobacco smoking | pops=AFR,EUR | N_AFR=6008 | N_AMR=872 | N_CSA=8143 | N_EAS=2498 | N_EUR=386575 | N_MID=1369 | rank_score=40.33755274261603 | containment=0.5 | exact=False"
D020246,Venous Thrombosis,4,4,2,2,False,14.612903225806452,"id=phecode|740|both_sexes|| | type=phecode | description=Osteoarthrosis | pops=EUR,MID | N_AFR=423 | N_AMR=53 | N_CSA=547 | N_EAS=74 | N_EUR=36073 | N_MID=86 | rank_score=14.612903225806452 | containment=0.0 | exact=False","id=phecode|411.4|both_sexes|| | type=phecode | description=Coronary atherosclerosis | pops=CSA,EUR | N_AFR=191 | N_CSA=1028 | N_EAS=59 | N_EUR=23888 | N_MID=114 | rank_score=12.75609756097561 | containment=0.0 | exact=False","id=phecode|558|both_sexes|| | type=phecode | description=Noninfectious gastroenteritis | pops=CSA,EUR | N_AFR=187 | N_CSA=416 | N_EAS=61 | N_EUR=17088 | N_MID=76 | rank_score=11.695652173913045 | containment=0.0 | exact=False",,,,,,,
D058186,Acute Kidney Injury,3,3,0,3,False,43.81081081081081,"id=phecode|594.1|both_sexes|| | type=phecode | description=Calculus of kidney | pops=CSA,EUR | N_CSA=106 | N_EUR=3758 | rank_score=43.81081081081081 | containment=0.5 | exact=False","id=icd10|N20|both_sexes|| | type=icd10 | description=N20 Calculus of kidney and ureter | pops=CSA,EUR | N_AFR=59 | N_CSA=154 | N_EUR=5530 | rank_score=35.28438228438228 | containment=0.3333333333333333 | exact=False","id=categorical|6145|both_sexes|1| | type=categorical | description=Illness, injury, bereavement, stress in last 2 years | pops=EUR,MID | N_AFR=749 | N_AMR=107 | N_CSA=974 | N_EAS=183 | N_EUR=38628 | N_MID=187 | rank_score=27.3146961754999 | containment=0.3333333333333333 | exact=False",,,,,,,
D001778,Blood Coagulation Disorders,3,3,0,3,False,43.47619047619048,"id=phecode|327|both_sexes|| | type=phecode | description=Sleep disorders | pops=CSA,EUR | N_AFR=141 | N_CSA=174 | N_EUR=6623 | N_MID=52 | rank_score=43.47619047619048 | containment=0.5 | exact=False","id=phecode|317|both_sexes|| | type=phecode | description=Alcohol-related disorders | pops=AFR,EUR | N_AFR=129 | N_CSA=166 | N_EUR=16070 | rank_score=36.30769230769231 | containment=0.3333333333333333 | exact=False","id=icd10|G47|both_sexes|| | type=icd10 | description=G47 Sleep disorders | pops=CSA,EUR | N_AFR=140 | N_CSA=173 | N_EUR=6557 | N_MID=52 | rank_score=34.54082714740191 | containment=0.3333333333333333 | exact=False",,,,,,"id=continuous|4080|both_sexes||irnt | type=continuous | description=Systolic blood pressure, automated reading | pops=CSA,EAS,EUR | N_AFR=6551 | N_AMR=959 | N_CSA=8641 | N_EAS=2600 | N_EUR=396663 | N_MID=1541 | rank_score=27.30498979252718 | containment=0.3333333333333333 | exact=False",
D005901,Glaucoma,3,3,0,3,False,10.575757575757574,"id=icd10|J45|both_sexes|| | type=icd10 | description=J45 Asthma | pops=CSA,EUR,MID | N_AFR=573 | N_AMR=64 | N_CSA=900 | N_EAS=149 | N_EUR=31030 | N_MID=139 | rank_score=10.575757575757574 | containment=0.0 | exact=False","id=phecode|785|both_sexes|| | type=phecode | description=Abdominal pain | pops=CSA,EUR | N_AFR=998 | N_AMR=141 | N_CSA=1237 | N_EAS=289 | N_EUR=47295 | N_MID=235 | rank_score=10.272727272727272 | containment=0.0 | exact=False","id=phecode|760|both_sexes|| | type=phecode | description=Back pain | pops=CSA,EUR | N_AFR=426 | N_CSA=536 | N_EAS=59 | N_EUR=17794 | N_MID=96 | rank_score=10.058823529411764 | containment=0.0 | exact=False",,,,,,,
D005923,"Glomerulosclerosis, Focal Segmental",3,3,0,3,False,11.96551724137931,"id=phecode|411.4|both_sexes|| | type=phecode | description=Coronary atherosclerosis | pops=CSA,EUR | N_AFR=191 | N_CSA=1028 | N_EAS=59 | N_EUR=23888 | N_MID=114 | rank_score=11.96551724137931 | containment=0.0 | exact=False","id=icd10|M17|both_sexes|| | type=icd10 | description=M17 Gonarthrosis [arthrosis of knee] | pops=EUR,MID | N_AFR=408 | N_CSA=595 | N_EAS=73 | N_EUR=24753 | N_MID=76 | rank_score=11.897058823529411 | containment=0.0 | exact=False","id=categorical|2020|both_sexes|2020| | type=categorical | description=Loneliness, isolation | pops=AFR,EUR | N_AFR=1634 | N_AMR=241 | N_CSA=2200 | N_EAS=461 | N_EUR=74098 | N_MID=427 | rank_score=11.308148148148147 | containment=0.0 | exact=False",,,,,,,
D006467,Hemophilia A,3,3,3,0,False,13.0,"id=phecode|550.4|both_sexes|| | type=phecode | description=Umbilical hernia | pops=CSA,EUR | N_AFR=105 | N_CSA=90 | N_EUR=4541 | rank_score=13.0 | containment=0.0 | exact=False","id=icd10|K42|both_sexes|| | type=icd10 | description=K42 Umbilical hernia | pops=CSA,EUR | N_AFR=105 | N_CSA=90 | N_EUR=4511 | rank_score=12.51923076923077 | containment=0.0 | exact=False","id=categorical|1707|both_sexes|1| | type=categorical | description=Handedness (chirality/laterality) | pops=CSA,EUR | N_AFR=6038 | N_AMR=880 | N_CSA=7976 | N_EAS=2450 | N_EUR=373044 | N_MID=1435 | rank_score=10.886304909560724 | containment=0.0 | exact=False",,,,,,,
D008107,Liver Diseases,3,3,0,3,False,44.64285714285714,"id=phecode|530|both_sexes|| | type=phecode | description=Diseases of esophagus | pops=EUR,MID | N_AFR=519 | N_AMR=95 | N_CSA=964 | N_EAS=151 | N_EUR=42944 | N_MID=172 | rank_score=44.64285714285714 | containment=0.5 | exact=False","id=phecode|530.1|both_sexes|| | type=phecode | description=Esophagitis, GERD and related diseases | pops=EUR,MID | N_AFR=478 | N_AMR=87 | N_CSA=910 | N_EAS=139 | N_EUR=40018 | N_MID=157 | rank_score=40.91176470588236 | containment=0.5 | exact=False","id=icd10|Z86|both_sexes|| | type=icd10 | description=Z86 Personal history of certain other diseases | pops=EUR,MID | N_AFR=798 | N_AMR=131 | N_CSA=1069 | N_EAS=190 | N_EUR=64593 | N_MID=230 | rank_score=40.23809523809524 | containment=0.5 | exact=False",,,,,,,
D024821,Metabolic Syndrome,3,3,0,3,False,68.55594869526759,"id=categorical|5001|both_sexes|5001| | type=categorical | description=FI7 : synonym | pops=CSA,EUR | N_AFR=744 | N_AMR=100 | N_CSA=838 | N_EAS=189 | N_EUR=85333 | N_MID=152 | rank_score=13.648549897236812 | containment=0.0 | exact=False","id=categorical|20003|both_sexes|1140865634| | type=categorical | description=Treatment/medication code | pops=CSA,EUR | N_AFR=352 | N_AMR=77 | N_CSA=636 | N_EAS=81 | N_EUR=24743 | N_MID=119 | rank_score=11.62607099143207 | containment=0.0 | exact=False","id=categorical|20003|both_sexes|1140866738| | type=categorical | description=Treatment/medication code | pops=CSA,EAS,EUR | N_AFR=227 | N_CSA=341 | N_EAS=58 | N_EUR=16428 | N_MID=59 | rank_score=11.62607099143207 | containment=0.0 | exact=False",,,,,,"id=continuous|23105|both_sexes||irnt | type=continuous | description=Basal metabolic rate | pops=AFR,CSA,EUR | N_AFR=6458 | N_AMR=962 | N_CSA=8658 | N_EAS=2662 | N_EUR=413178 | N_MID=1535 | rank_score=68.55594869526759 | containment=1.0 | exact=False",
D008881,Migraine Disorders,3,3,2,1,False,48.83333333333333,"id=phecode|327|both_sexes|| | type=phecode | description=Sleep disorders | pops=CSA,EUR | N_AFR=141 | N_CSA=174 | N_EUR=6623 | N_MID=52 | rank_score=48.83333333333333 | containment=0.5 | exact=False","id=icd10|G47|both_sexes|| | type=icd10 | description=G47 Sleep disorders | pops=CSA,EUR | N_AFR=140 | N_CSA=173 | N_EUR=6557 | N_MID=52 | rank_score=47.847972972972975 | containment=0.5 | exact=False","id=phecode|317|both_sexes|| | type=phecode | description=Alcohol-related disorders | pops=AFR,EUR | N_AFR=129 | N_CSA=166 | N_EUR=16070 | rank_score=45.093023255813954 | containment=0.5 | exact=False",,,,,,,
D009298,Nasal Polyps,3,3,0,3,False,11.695652173913045,"id=categorical|1468|both_sexes|2| | type=categorical | description=Cereal type | pops=EUR,MID | N_AFR=749 | N_AMR=88 | N_CSA=1365 | N_EAS=196 | N_EUR=62649 | N_MID=171 | rank_score=11.695652173913045 | containment=0.0 | exact=False","id=categorical|1468|both_sexes|4| | type=categorical | description=Cereal type | pops=EUR,MID | N_AFR=586 | N_AMR=138 | N_CSA=866 | N_EAS=332 | N_EUR=70931 | N_MID=213 | rank_score=11.695652173913045 | containment=0.0 | exact=False","id=phecode|594|both_sexes|| | type=phecode | description=Urinary calculus | pops=CSA,EUR | N_AFR=90 | N_CSA=206 | N_EUR=7593 | N_MID=54 | rank_score=11.571428571428571 | containment=0.0 | exact=False",,,,,,,
D010024,Osteoporosis,3,3,1,2,False,18.384615384615387,"id=phecode|740|both_sexes|| | type=phecode | description=Osteoarthrosis | pops=EUR,MID | N_AFR=423 | N_AMR=53 | N_CSA=547 | N_EAS=74 | N_EUR=36073 | N_MID=86 | rank_score=18.384615384615387 | containment=0.0 | exact=False","id=icd10|G47|both_sexes|| | type=icd10 | description=G47 Sleep disorders | pops=CSA,EUR | N_AFR=140 | N_CSA=173 | N_EUR=6557 | N_MID=52 | rank_score=11.89578163771712 | containment=0.0 | exact=False","id=phecode|327|both_sexes|| | type=phecode | description=Sleep disorders | pops=CSA,EUR | N_AFR=141 | N_CSA=174 | N_EUR=6623 | N_MID=52 | rank_score=11.88888888888889 | containment=0.0 | exact=False",,,,,,,
D011618,Psychotic Disorders,3,3,1,2,False,48.44117647058823,"id=phecode|327|both_sexes|| | type=phecode | description=Sleep disorders | pops=CSA,EUR | N_AFR=141 | N_CSA=174 | N_EUR=6623 | N_MID=52 | rank_score=48.44117647058823 | containment=0.5 | exact=False","id=icd10|G47|both_sexes|| | type=icd10 | description=G47 Sleep disorders | pops=CSA,EUR | N_AFR=140 | N_CSA=173 | N_EUR=6557 | N_MID=52 | rank_score=46.09409888357257 | containment=0.5 | exact=False","id=phecode|317|both_sexes|| | type=phecode | description=Alcohol-related disorders | pops=AFR,EUR | N_AFR=129 | N_CSA=166 | N_EUR=16070 | rank_score=45.72727272727273 | containment=0.5 | exact=False",,,,,,,
D018805,Sepsis,3,3,0,3,False,13.0,"id=phecode|740|both_sexes|| | type=phecode | description=Osteoarthrosis | pops=EUR,MID | N_AFR=423 | N_AMR=53 | N_CSA=547 | N_EAS=74 | N_EUR=36073 | N_MID=86 | rank_score=13.0 | containment=0.0 | exact=False","id=phecode|327|both_sexes|| | type=phecode | description=Sleep disorders | pops=CSA,EUR | N_AFR=141 | N_CSA=174 | N_EUR=6623 | N_MID=52 | rank_score=12.523809523809524 | containment=0.0 | exact=False","id=icd10|G47|both_sexes|| | type=icd10 | description=G47 Sleep disorders | pops=CSA,EUR | N_AFR=140 | N_CSA=173 | N_EUR=6557 | N_MID=52 | rank_score=11.5 | containment=0.0 | exact=False",,,,,,,
D012852,Sinusitis,3,3,0,3,False,12.55984970477724,"id=categorical|20116|both_sexes|0| | type=categorical | description=Smoking status | pops=AFR,EAS,EUR | N_AFR=4595 | N_AMR=477 | N_CSA=6777 | N_EAS=1970 | N_EUR=227144 | N_MID=802 | rank_score=12.55984970477724 | containment=0.0 | exact=False","id=categorical|20116|both_sexes|1| | type=categorical | description=Smoking status | pops=AFR,EUR | N_AFR=1131 | N_AMR=341 | N_CSA=1082 | N_EAS=454 | N_EUR=148481 | N_MID=485 | rank_score=12.55984970477724 | containment=0.0 | exact=False","id=categorical|20116|both_sexes|2| | type=categorical | description=Smoking status | pops=AFR,CSA,EUR,MID | N_AFR=806 | N_AMR=144 | N_CSA=773 | N_EAS=225 | N_EUR=43192 | N_MID=276 | rank_score=12.55984970477724 | containment=0.0 | exact=False",,,,,,,
D013274,Stomach Neoplasms,3,3,0,3,False,13.0,"id=phecode|716.9|both_sexes|| | type=phecode | description=Arthropathy NOS | pops=EAS,EUR | N_AFR=605 | N_AMR=74 | N_CSA=880 | N_EAS=117 | N_EUR=41824 | N_MID=122 | rank_score=13.0 | containment=0.0 | exact=False","id=icd10|K80|both_sexes|| | type=icd10 | description=K80 Cholelithiasis | pops=EAS,EUR | N_AFR=120 | N_CSA=253 | N_EAS=67 | N_EUR=16983 | rank_score=12.290322580645162 | containment=0.0 | exact=False","id=phecode|574.1|both_sexes|| | type=phecode | description=Cholelithiasis | pops=EAS,EUR | N_AFR=120 | N_CSA=255 | N_EAS=68 | N_EUR=17278 | rank_score=12.032258064516128 | containment=0.0 | exact=False",,,,,,,
D020521,Stroke,3,3,0,3,False,53.052630121816165,"id=categorical|20107|both_sexes|1| | type=categorical | description=Illnesses of father | pops=AFR,CSA,EAS,EUR | N_AFR=490 | N_AMR=206 | N_CSA=2401 | N_EAS=350 | N_EUR=121257 | N_MID=295 | rank_score=53.052630121816165 | containment=1.0 | exact=False","id=categorical|20107|both_sexes|100| | type=categorical | description=Illnesses of father | pops=CSA,EUR | N_AFR=2089 | N_AMR=322 | N_CSA=2434 | N_EAS=898 | N_EUR=136194 | N_MID=537 | rank_score=53.052630121816165 | containment=1.0 | exact=False","id=categorical|20107|both_sexes|101| | type=categorical | description=Illnesses of father | pops=AFR,EUR | N_AFR=3868 | N_AMR=585 | N_CSA=6296 | N_EAS=1797 | N_EUR=276893 | N_MID=1015 | rank_score=53.052630121816165 | containment=1.0 | exact=False",,,,,,,
D013494,"Supranuclear Palsy, Progressive",3,3,0,3,False,11.616734143049934,"id=categorical|2010|both_sexes|2010| | type=categorical | description=Suffer from 'nerves' | pops=CSA,EUR,MID | N_AFR=924 | N_AMR=186 | N_CSA=1604 | N_EAS=446 | N_EUR=86065 | N_MID=289 | rank_score=11.616734143049934 | containment=0.0 | exact=False","id=icd10|Z95|both_sexes|| | type=icd10 | description=Z95 Presence of cardiac and vascular implants and grafts | pops=CSA,EUR | N_AFR=104 | N_CSA=636 | N_EUR=15774 | N_MID=67 | rank_score=11.350951374207188 | containment=0.0 | exact=False","id=categorical|41200|both_sexes|J183| | type=categorical | description=Operative procedures - main OPCS4 | pops=CSA,EUR | N_AFR=91 | N_CSA=201 | N_EAS=54 | N_EUR=14065 | rank_score=10.98353135809896 | containment=0.0 | exact=False",,,,,,,
D013789,Thalassemia,3,3,0,3,False,11.096551724137932,"id=icd10|K80|both_sexes|| | type=icd10 | description=K80 Cholelithiasis | pops=EAS,EUR | N_AFR=120 | N_CSA=253 | N_EAS=67 | N_EUR=16983 | rank_score=11.096551724137932 | containment=0.0 | exact=False","id=phecode|574.1|both_sexes|| | type=phecode | description=Cholelithiasis | pops=EAS,EUR | N_AFR=120 | N_CSA=255 | N_EAS=68 | N_EUR=17278 | rank_score=11.0 | containment=0.0 | exact=False","id=categorical|4293|both_sexes|3| | type=categorical | description=PM: final answer | pops=CSA,EUR | N_AFR=3230 | N_AMR=374 | N_CSA=4520 | N_EAS=1009 | N_EUR=132509 | N_MID=591 | rank_score=10.692307692307692 | containment=0.0 | exact=False",,,,,,,
