indication_mesh_id,indication_mesh_term_in_trails,mesh2026_preferred_term,mesh2026_entry_terms,mesh2026_n_terms,mesh2026_tree_numbers,n_pairs,n_genes,n_A,n_B,mesh2026_record_found
D004938,Esophageal Neoplasms,Esophageal Neoplasms,"Cancer of Esophagus || Cancer of the Esophagus || Cancer, Esophageal || Cancer, Esophagus || Cancers, Esophageal || Cancers, Esophagus || Esophageal Cancer || Esophageal Cancers || Esophageal Neoplasm || Esophageal Neoplasms || Esophagus Cancer || Esophagus Cancers || Esophagus Neoplasm || Esophagus Neoplasms || Neoplasm, Esophageal || Neoplasm, Esophagus || Neoplasms, Esophageal || Neoplasms, Esophagus",18,C04.588.274.476.205 || C04.588.443.353 || C06.301.371.205 || C06.405.117.430 || C06.405.249.205,1,1,0,1,True
D005168,Factor VII Deficiency,Factor VII Deficiency,"Deficiencies, Factor 7 || Deficiencies, Factor Seven || Deficiencies, Factor VII || Deficiency, Factor 7 || Deficiency, Factor Seven || Deficiency, Factor VII || Factor 7 Deficiencies || Factor 7 Deficiency || Factor Seven Deficiencies || Factor Seven Deficiency || Factor VII Deficiencies || Factor VII Deficiency || Hypoproconvertinemia || Hypoproconvertinemias",14,C15.378.100.100.310 || C15.378.100.141.310 || C15.378.463.310 || C16.320.099.310,1,1,0,1,True
D005173,Factor XI Deficiency,Factor XI Deficiency,"Deficiencies, Factor 11 || Deficiencies, Factor Eleven || Deficiencies, Factor XI || Deficiency, Factor 11 || Deficiency, Factor Eleven || Deficiency, Factor XI || Factor 11 Deficiencies || Factor 11 Deficiency || Factor Eleven Deficiencies || Factor Eleven Deficiency || Factor XI Deficiencies || Factor XI Deficiency || Hemophilia C || Plasma Thromboplastin Antecedent Deficiency || Rosenthal Syndrome || Rosenthal Syndromes || Rosenthal's Syndrome || Rosenthal's Syndromes || Rosenthals Syndrome || Syndrome, Rosenthal || Syndrome, Rosenthal's",21,C15.378.100.100.325 || C15.378.100.141.325 || C15.378.463.325 || C16.320.099.325,1,1,1,0,True
D005764,Gastroesophageal Reflux,Gastroesophageal Reflux,"Acid Reflux, Gastric || Esophageal Reflux || GERD || Gastric Acid Reflux || Gastric Acid Reflux Disease || Gastro Esophageal Reflux || Gastro Esophageal Reflux Disease || Gastro oesophageal Reflux || Gastro-Esophageal Reflux || Gastro-Esophageal Reflux Disease || Gastro-Esophageal Reflux Diseases || Gastro-oesophageal Reflux || Gastroesophageal Reflux || Gastroesophageal Reflux Disease || Reflux Disease, Gastro-Esophageal || Reflux, Gastric Acid || Reflux, Gastro-Esophageal || Reflux, Gastro-oesophageal || Reflux, Gastroesophageal",19,C06.405.117.119.500.484,2,2,1,1,True
D005770,Gastrointestinal Neoplasms,Gastrointestinal Neoplasms,"Cancer of Gastrointestinal Tract || Cancer of the Gastrointestinal Tract || Cancer, Gastrointestinal || Cancers, Gastrointestinal || Gastrointestinal Cancer || Gastrointestinal Cancers || Gastrointestinal Neoplasm || Gastrointestinal Neoplasms || Gastrointestinal Tract Cancer || Gastrointestinal Tract Cancers || Neoplasm, Gastrointestinal || Neoplasms, Gastrointestinal",12,C04.588.274.476 || C06.301.371 || C06.405.249,2,2,0,2,True
D005901,Glaucoma,Glaucoma,Glaucoma || Glaucomas,2,C11.525.381,3,3,0,3,True
D005909,Glioblastoma,Glioblastoma,"Astrocytoma, Grade IV || Astrocytomas, Grade IV || Giant Cell Glioblastoma || Giant Cell Glioblastomas || Glioblastoma || Glioblastoma Multiforme || Glioblastoma, Giant Cell || Glioblastomas || Glioblastomas, Giant Cell || Grade IV Astrocytoma || Grade IV Astrocytomas",11,C04.557.465.625.600.380.080.335 || C04.557.470.670.380.080.335 || C04.557.580.625.600.380.080.335,1,1,0,1,True
D005922,"Glomerulonephritis, IGA","Glomerulonephritis, IGA","Berger Disease || Berger's Disease || Bergers Disease || Glomerulonephritides, IGA || Glomerulonephritis, IGA || IGA Glomerulonephritis || IGA Nephropathy || IGA Type Nephritis || Iga Nephropathy 1 || Immunoglobulin A Nephropathy || Nephritis, IGA Type || Nephropathy 1, Iga || Nephropathy, IGA || Nephropathy, Immunoglobulin A",14,C12.050.351.968.419.570.363.608 || C12.200.777.419.570.363.608 || C12.950.419.570.363.608 || C20.111.525,2,2,0,2,True
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental","Focal Glomerulosclerosis || Focal Sclerosing Glomerulonephritides || Focal Sclerosing Glomerulonephritis || Focal Segmental Glomerulosclerosis || Glomerular Hyalinosis, Segmental || Glomerulonephritides, Focal Sclerosing || Glomerulonephritis, Focal Sclerosing || Glomerulosclerosis, Focal || Glomerulosclerosis, Focal Segmental || Hyalinosis, Segmental || Hyalinosis, Segmental Glomerular || Sclerosing Glomerulonephritides, Focal || Sclerosing Glomerulonephritis, Focal || Segmental Glomerular Hyalinosis || Segmental Glomerulosclerosis, Focal || Segmental Hyalinosis",16,C12.050.351.968.419.570.363.640 || C12.200.777.419.570.363.660 || C12.950.419.570.363.640,3,3,0,3,True
D006073,Gout,Gout,Gout || Gouts,2,C05.550.114.423 || C05.550.354.500 || C05.799.414 || C16.320.565.798.368 || C18.452.648.798.368,2,2,1,1,True
D006177,Gynecomastia,Gynecomastia,"Adolescent Gynecomastia || Breast Enlargement, Male || Enlargement, Male Breast || Gynecomastia || Gynecomastia, Adolescent || Gynecomastia, Infant || Gynecomastia, Newborn || Infant Gynecomastia || Male Breast Enlargement || Newborn Gynecomastia",10,C17.800.090.875,1,1,0,1,True
D006255,"Rhinitis, Allergic, Seasonal","Rhinitis, Allergic, Seasonal","Allergic Rhinitides, Seasonal || Allergic Rhinitis, Seasonal || Allergies, Pollen || Allergy, Pollen || Fever, Hay || Hay Fever || Hayfever || Pollen Allergies || Pollen Allergy || Pollinoses || Pollinosis || Rhinitides, Seasonal Allergic || Rhinitis, Allergic, Seasonal || Rhinitis, Seasonal Allergic || Seasonal Allergic Rhinitides || Seasonal Allergic Rhinitis",16,C08.460.799.315.750 || C08.674.453.750 || C09.603.799.315.750 || C20.543.480.680.443.750,2,2,0,2,True
D006258,Head and Neck Neoplasms,Head and Neck Neoplasms,"Cancer of Head || Cancer of Head and Neck || Cancer of Neck || Cancer of the Head || Cancer of the Head and Neck || Cancer of the Neck || Cancer, Head || Cancer, Neck || Cancers, Head || Cancers, Neck || Head Cancer || Head Cancers || Head Neoplasm || Head Neoplasms || Head and Neck Cancer || Head and Neck Neoplasm || Head and Neck Neoplasms || Head, Neck Neoplasms || Neck Cancer || Neck Cancers || Neck Neoplasm || Neck Neoplasms || Neoplasm, Head || Neoplasm, Neck || Neoplasm, UADT || Neoplasms, Head || Neoplasms, Head and Neck || Neoplasms, Neck || Neoplasms, UADT || Neoplasms, Upper Aerodigestive Tract || UADT Neoplasm || UADT Neoplasms || Upper Aerodigestive Tract Neoplasm || Upper Aerodigestive Tract Neoplasms",34,C04.588.443,2,2,0,2,True
D006333,Heart Failure,Heart Failure,"Cardiac Failure || Congestive Heart Failure || Decompensation, Heart || Heart Decompensation || Heart Failure || Heart Failure, Congestive || Heart Failure, Left Sided || Heart Failure, Left-Sided || Heart Failure, Right Sided || Heart Failure, Right-Sided || Left Sided Heart Failure || Left-Sided Heart Failure || Myocardial Failure || Right Sided Heart Failure || Right-Sided Heart Failure",15,C14.280.434,1,1,0,1,True
D006432,Hemochromatosis,Hemochromatosis,"Bronze Diabetes || Bronzed Cirrhoses || Bronzed Cirrhosis || Cirrhoses, Bronzed || Cirrhoses, Pigmentary || Cirrhosis, Bronzed || Cirrhosis, Pigmentary || Diabetes, Bronze || Disease, Von Recklenhausen-Applebaum || Diseases, Von Recklenhausen-Applebaum || Disorder, Iron Storage || Disorders, Iron Storage || Familial Hemochromatoses || Familial Hemochromatosis || Genetic Hemochromatoses || Genetic Hemochromatosis || Haemochromatoses || Haemochromatosis || Hemochromatose || Hemochromatoses || Hemochromatoses, Familial || Hemochromatoses, Genetic || Hemochromatosis || Hemochromatosis, Familial || Hemochromatosis, Genetic || Iron Storage Disorder || Iron Storage Disorders || Pigmentary Cirrhoses || Pigmentary Cirrhosis || Primary Hemochromatosis || Recklenhausen-Applebaum Disease, Von || Recklenhausen-Applebaum Diseases, Von || Storage Disorder, Iron || Storage Disorders, Iron || Syndrome, Troisier-Hanot-Chauffard || Syndromes, Troisier-Hanot-Chauffard || Troisier Hanot Chauffard Syndrome || Troisier-Hanot-Chauffard Syndrome || Troisier-Hanot-Chauffard Syndromes || Von Recklenhausen Applebaum Disease || Von Recklenhausen-Applebaum Disease || Von Recklenhausen-Applebaum Diseases",42,C16.320.565.618.337 || C18.452.565.500.480 || C18.452.648.618.337,1,1,0,1,True
D006467,Hemophilia A,Hemophilia A,"As, Autosomal Hemophilia || Autosomal Hemophilia A || Autosomal Hemophilia As || Classic Hemophilia || Classic Hemophilias || Congenital Hemophilia A || Congenital Hemophilia As || Deficiency, Factor VIII || Factor 8 Deficiency, Congenital || Factor VIII Deficiency || Factor VIII Deficiency, Congenital || Haemophilia || Hemophilia || Hemophilia A || Hemophilia A, Autosomal || Hemophilia A, Congenital || Hemophilia As || Hemophilia As, Autosomal || Hemophilia As, Congenital || Hemophilia, Classic || Hemophilias, Classic",21,C15.378.100.100.500 || C15.378.100.141.500 || C15.378.463.500 || C16.320.099.500,3,3,3,0,True
D006689,Hodgkin Disease,Hodgkin Disease,"Adult Hodgkin Lymphoma || Disease, Hodgkin || Disease, Hodgkin's || Disease, Hodgkins || Granuloma, Hodgkin || Granuloma, Hodgkin's || Granuloma, Hodgkins || Granuloma, Malignant || Hodgkin Disease || Hodgkin Granuloma || Hodgkin Lymphoma || Hodgkin Lymphoma, Adult || Hodgkin's Disease || Hodgkin's Granuloma || Hodgkin's Lymphoma || Hodgkins Disease || Hodgkins Granuloma || Hodgkins Lymphoma || Lymphocyte Depletion Hodgkin's Lymphoma || Lymphocyte Rich Classical Hodgkin's Lymphoma || Lymphocyte-Rich Classical Hodgkin's Lymphoma || Lymphogranuloma, Malignant || Lymphogranulomas, Malignant || Lymphoma, Hodgkin || Lymphoma, Hodgkin's || Malignant Granuloma || Malignant Granulomas || Malignant Lymphogranuloma || Malignant Lymphogranulomas || Mixed Cellularity Hodgkin's Lymphoma || Nodular Lymphocyte Predominant Hodgkin's Lymphoma || Nodular Lymphocyte-Predominant Hodgkin's Lymphoma || Nodular Sclerosing Hodgkin's Lymphoma",33,C04.557.386.355 || C15.604.515.569.355 || C20.683.515.761.355,2,2,0,2,True
D006712,Homocystinuria,Homocystinuria,"CBS Deficiencies || CBS Deficiency || Cystathionine Beta Synthase Deficiency || Cystathionine beta Synthase Deficiency Disease || Cystathionine beta-Synthase Deficiency Disease || Deficiencies, CBS || Deficiency Disease, Cystathionine beta Synthase || Deficiency Disease, Cystathionine beta-Synthase || Deficiency, CBS || Homocystinuria",10,C10.228.140.163.100.365 || C16.320.565.100.480.500 || C16.320.565.189.365 || C17.300.428 || C18.452.132.100.365 || C18.452.648.100.480.500 || C18.452.648.189.365,1,1,0,1,True
D006934,Hypercalcemia,Hypercalcemia,"Hypercalcemia || Hypercalcemias || Milk Alkali Syndrome || Milk-Alkali Syndrome || Syndrome, Milk-Alkali",5,C18.452.174.451 || C18.452.950.340,1,1,1,0,True
D006937,Hypercholesterolemia,Hypercholesterolemia,"Cholesterol Level, High || Cholesterol Levels, High || Cholesterol, Elevated || Cholesterols, Elevated || Elevated Cholesterol || Elevated Cholesterols || High Cholesterol Level || High Cholesterol Levels || Hypercholesteremia || Hypercholesteremias || Hypercholesterolemia || Hypercholesterolemias || Level, High Cholesterol || Levels, High Cholesterol",14,C18.452.584.500.500.396,14,14,3,11,True
D006938,Hyperlipoproteinemia Type II,Hyperlipoproteinemia Type II,"Apolipoprotein B 100, Familial Defective || Apolipoprotein B 100, Familial Ligand Defective || Apolipoprotein B-100, Familial Defective || Apolipoprotein B-100, Familial Ligand-Defective || Autosomal Dominant Hypercholesterolemia || Autosomal Dominant Hypercholesterolemias || Combined Hyperlipoproteinemia, Familial || Combined Hyperlipoproteinemias, Familial || Density Lipoproteinemia, Hyper-Low || Density Lipoproteinemias, Hyper-Low || Disorder, LDL Receptor || Disorders, LDL Receptor || Dominant Hypercholesterolemia, Autosomal || Dominant Hypercholesterolemias, Autosomal || Essential Hypercholesterolemia || Essential Hypercholesterolemias || Familial Combined Hyperlipoproteinemia || Familial Combined Hyperlipoproteinemias || Familial Hypercholesterolemia || Familial Hypercholesterolemias || Familial Hypercholesterolemic Xanthomatoses || Familial Hypercholesterolemic Xanthomatosis || Hyper Low Density Lipoproteinemia || Hyper beta Lipoproteinemia || Hyper-Low Density Lipoproteinemia || Hyper-Low Density Lipoproteinemias || Hyper-Low-Density-Lipoproteinemia || Hyper-Low-Density-Lipoproteinemias || Hyper-beta-Lipoproteinemia || Hyper-beta-Lipoproteinemias || Hyperbetalipoproteinemia || Hyperbetalipoproteinemias || Hypercholesterolemia, Autosomal Dominant || Hypercholesterolemia, Autosomal Dominant, Type B || Hypercholesterolemia, Essential || Hypercholesterolemia, Familial || Hypercholesterolemias, Autosomal Dominant || Hypercholesterolemias, Essential || Hypercholesterolemias, Familial || Hypercholesterolemic Xanthomatoses, Familial || Hypercholesterolemic Xanthomatosis, Familial || Hyperlipoproteinemia Type 2 || Hyperlipoproteinemia Type 2s || Hyperlipoproteinemia Type II || Hyperlipoproteinemia Type IIa || Hyperlipoproteinemia Type IIas || Hyperlipoproteinemia Type IIb || Hyperlipoproteinemia Type IIbs || Hyperlipoproteinemia Type IIs || Hyperlipoproteinemia, Familial Combined || Hyperlipoproteinemia, Type II || Hyperlipoproteinemia, Type IIa || Hyperlipoproteinemias, Familial Combined || Hyperlipoproteinemias, Type II || Hyperlipoproteinemias, Type IIa || LDL Receptor Disorder || LDL Receptor Disorders || Lipoproteinemia, Hyper-Low Density || Lipoproteinemias, Hyper-Low Density || Receptor Disorder, LDL || Receptor Disorders, LDL || Type 2, Hyperlipoproteinemia || Type II Hyperlipoproteinemia || Type II Hyperlipoproteinemias || Type IIa Hyperlipoproteinemia || Type IIa Hyperlipoproteinemias || Xanthomatoses, Familial Hypercholesterolemic || Xanthomatosis, Familial Hypercholesterolemic",68,C16.320.565.398.481 || C18.452.584.500.500.644.475 || C18.452.584.563.481 || C18.452.648.398.481,8,8,3,5,True
D006949,Hyperlipidemias,Hyperlipidemias,Hyperlipemia || Hyperlipemias || Hyperlipidemia || Hyperlipidemias || Lipemia || Lipemias || Lipidemia || Lipidemias,8,C18.452.584.500.500,22,22,4,18,True
D006962,"Hyperparathyroidism, Secondary","Hyperparathyroidism, Secondary","Hyperparathyroidism, Secondary || Hyperparathyroidisms, Secondary || Secondary Hyperparathyroidism || Secondary Hyperparathyroidisms",4,C19.642.355.480,1,1,1,0,True
D006967,Hypersensitivity,Hypersensitivity,"Allergic Reaction || Allergic Reactions || Allergies || Allergy || Hypersensitivities || Hypersensitivity || Reaction, Allergic || Reactions, Allergic",8,C20.543,4,4,0,4,True
D006973,Hypertension,Hypertension,"Blood Pressure, High || Blood Pressures, High || High Blood Pressure || High Blood Pressures || Hypertension",5,C14.907.489,19,19,8,11,True
D006980,Hyperthyroidism,Hyperthyroidism,"Hyperthyroid || Hyperthyroidism || Hyperthyroidism, Primary || Hyperthyroids || Primary Hyperthyroidism",5,C19.874.397,1,1,0,1,True
D006996,Hypocalcemia,Hypocalcemia,Hypocalcemia || Hypocalcemias,2,C18.452.174.509 || C18.452.950.509,1,1,0,1,True
D007014,Hypophosphatasia,Hypophosphatasia,Hypophosphatasia || Hypophosphatasias,2,C16.320.565.618.482 || C18.452.648.618.482,1,1,1,0,True
D007037,Hypothyroidism,Hypothyroidism,"Central Hypothyroidism || Central Hypothyroidisms || Deficiency, TSH || Deficiency, Thyroid-Stimulating Hormone || Hormone Deficiency, Thyroid-Stimulating || Hypothyroidism || Hypothyroidism, Central || Hypothyroidism, Primary || Hypothyroidism, Secondary || Hypothyroidisms || Primary Hypothyroidism || Primary Hypothyroidisms || Secondary Hypothyroidism || Secondary Hypothyroidisms || TSH Deficiencies || TSH Deficiency || Thyroid Stimulating Hormone Deficiency || Thyroid-Stimulating Hormone Deficiencies || Thyroid-Stimulating Hormone Deficiency",19,C19.874.482,1,1,1,0,True
D007249,Inflammation,Inflammation,"Inflammation || Inflammations || Inflammatory Response, Innate || Innate Inflammatory Response || Innate Inflammatory Responses",5,C23.550.470,18,18,1,17,True
D007319,Sleep Initiation and Maintenance Disorders,Sleep Initiation and Maintenance Disorders,"Awakening, Early || Chronic Insomnia || DIMS (Disorders of Initiating and Maintaining Sleep) || Disorders of Initiating and Maintaining Sleep || Dysfunction, Sleep Initiation || Dysfunctions, Sleep Initiation || Early Awakening || Insomnia || Insomnia Disorder || Insomnia Disorders || Insomnia, Chronic || Insomnia, Nonorganic || Insomnia, Primary || Insomnia, Psychophysiological || Insomnia, Rebound || Insomnia, Secondary || Insomnia, Transient || Insomnias || Nonorganic Insomnia || Primary Insomnia || Psychophysiological Insomnia || Rebound Insomnia || Secondary Insomnia || Sleep Initiation Dysfunction || Sleep Initiation Dysfunctions || Sleep Initiation and Maintenance Disorders || Sleeplessness || Transient Insomnia",28,C10.886.425.800.800 || F03.870.400.800.800,6,6,3,3,True
D007676,"Kidney Failure, Chronic","Kidney Failure, Chronic","Chronic Kidney Failure || Chronic Renal Failure || Disease, End-Stage Kidney || Disease, End-Stage Renal || ESRD || End Stage Kidney Disease || End Stage Renal Disease || End-Stage Kidney Disease || End-Stage Renal Disease || End-Stage Renal Failure || Kidney Disease, End-Stage || Kidney Failure, Chronic || Renal Disease, End Stage || Renal Disease, End-Stage || Renal Failure, Chronic || Renal Failure, End Stage || Renal Failure, End-Stage",17,C12.050.351.968.419.780.750.500 || C12.200.777.419.780.750.500 || C12.950.419.780.750.500 || C23.550.291.500.906.500,6,6,1,5,True
D007680,Kidney Neoplasms,Kidney Neoplasms,"Cancer of Kidney || Cancer of the Kidney || Cancer, Kidney || Cancer, Renal || Cancers, Kidney || Cancers, Renal || Kidney Cancer || Kidney Cancers || Kidney Neoplasm || Kidney Neoplasms || Neoplasm, Kidney || Neoplasm, Renal || Neoplasms, Kidney || Neoplasms, Renal || Renal Cancer || Renal Cancers || Renal Neoplasm || Renal Neoplasms",18,C04.588.945.947.535 || C12.050.351.937.820.535 || C12.050.351.968.419.473 || C12.200.758.820.750 || C12.200.777.419.473 || C12.900.820.535 || C12.950.419.473 || C12.950.983.535,2,2,2,0,True
D007863,Lecithin Cholesterol Acyltransferase Deficiency,Lecithin Cholesterol Acyltransferase Deficiency,"Acyltransferase Deficiency, Lecithin:Cholesterol || Corneal Dystrophy, Dyslipoproteinemic || Deficiency, LCAT || Deficiency, alpha-LCAT || Dyslipoproteinemic Corneal Dystrophy || Fish Eye Disease || Fish-Eye Disease || LCAT Deficiency || LCATA Deficiencies || LCATA Deficiency || Lecithin Cholesterol Acyltransferase Deficiency || Lecithin:Cholesterol Acyltransferase Deficiency || Norum Disease || alpha LCAT Deficiency || alpha-LCAT Deficiency || alpha-Lecithin-Cholesterol Acyltransferase Deficiency || alpha-Lecithin:Cholesterol Acyltransferase Deficiency",17,C16.320.565.398.500.330.500 || C18.452.584.500.875.330.500 || C18.452.584.563.500.330.500 || C18.452.648.398.500.330.500,1,1,0,1,True
D007889,Leiomyoma,Leiomyoma,"Fibroid || Fibroid Tumor || Fibroid Tumors || Fibroid Uterus || Fibroid, Uterine || Fibroids || Fibroids, Uterine || Fibroma, Uterine || Fibromas, Uterine || Fibromyoma || Fibromyomas || Leiomyoma || Leiomyoma, Uterine || Leiomyomas || Tumor, Fibroid || Tumors, Fibroid || Uterine Fibroid || Uterine Fibroids || Uterine Fibroma || Uterine Fibromas || Uterus, Fibroid",21,C04.557.450.590.450,1,1,1,0,True
D007890,Leiomyosarcoma,Leiomyosarcoma,"Epithelioid Leiomyosarcoma || Epithelioid Leiomyosarcomas || Leiomyosarcoma || Leiomyosarcoma, Epithelioid || Leiomyosarcoma, Myxoid || Leiomyosarcomas || Leiomyosarcomas, Epithelioid || Leiomyosarcomas, Myxoid || Myxoid Leiomyosarcoma || Myxoid Leiomyosarcomas",10,C04.557.450.590.455 || C04.557.450.795.455,1,1,0,1,True
D007970,Leukopenia,Leukopenia,Leukocytopenia || Leukocytopenias || Leukopenia || Leukopenias,4,C15.378.243.750 || C15.378.553.546,1,1,1,0,True
D008072,Hyperlipoproteinemia Type I,Hyperlipoproteinemia Type I,"Anapolipoproteinemia, C-II || Anapolipoproteinemias, C-II || Apolipoprotein C II Deficiency || Apolipoprotein C-II Deficiencies || Apolipoprotein C-II Deficiency || Burger Grutz Syndrome || Burger-Grutz Syndrome || Burger-Grutz Syndromes || C-II Anapolipoproteinemia || C-II Anapolipoproteinemias || Chylomicronemia, Familial || Chylomicronemias, Familial || Deficiencies, Apolipoprotein C-II || Deficiencies, Familial LPL || Deficiencies, LIPD || Deficiencies, Lipase D || Deficiencies, Lipoprotein Lipase || Deficiency, Apolipoprotein C-II || Deficiency, Familial LPL || Deficiency, LIPD || Deficiency, Lipase D || Deficiency, Lipoprotein Lipase || Essential Familial Hyperlipemia || Essential Familial Hyperlipemias || Familial Chylomicronemia || Familial Chylomicronemia Syndrom || Familial Chylomicronemias || Familial Fat Induced Hypertriglyceridemia || Familial Fat-Induced Hypertriglyceridemia || Familial Fat-Induced Hypertriglyceridemias || Familial Hyperchylomicronemia || Familial Hyperchylomicronemia Syndrome || Familial Hyperchylomicronemias || Familial Hyperlipemia, Essential || Familial Hyperlipemias, Essential || Familial Hyperlipoproteinemia Type 1 || Familial LPL Deficiencies || Familial LPL Deficiency || Familial Lipoprotein Lipase Deficiency || Fat-Induced Hypertriglyceridemia, Familial || Fat-Induced Hypertriglyceridemias, Familial || Hyperchylomicronemia, Familial || Hyperchylomicronemias, Familial || Hyperlipemia, Essential Familial || Hyperlipemia, Idiopathic, Burger-Grutz Type || Hyperlipemias, Essential Familial || Hyperlipoproteinemia Type I || Hyperlipoproteinemia Type Ia || Hyperlipoproteinemia Type Ias || Hyperlipoproteinemia Type Ib || Hyperlipoproteinemia Type Ibs || Hyperlipoproteinemia Type Is || Hyperlipoproteinemia, Type 1 || Hyperlipoproteinemia, Type I || Hyperlipoproteinemia, Type Ia || Hyperlipoproteinemia, Type Ib || Hyperlipoproteinemias, Type I || Hyperlipoproteinemias, Type Ia || Hyperlipoproteinemias, Type Ib || Hypertriglyceridemia, Familial Fat-Induced || Hypertriglyceridemias, Familial Fat-Induced || LIPD Deficiencies || LIPD Deficiency || LPL Deficiencies, Familial || LPL Deficiency, Familial || Lipase D Deficiencies || Lipase D Deficiency || Lipase Deficiencies, Lipoprotein || Lipoprotein Lipase Deficiencies || Lipoprotein Lipase Deficiency || Lipoprotein Lipase Deficiency, Familial || Syndrome, Burger-Grutz || Syndromes, Burger-Grutz || Type I Hyperlipoproteinemia || Type I Hyperlipoproteinemias || Type Ia Hyperlipoproteinemia || Type Ia Hyperlipoproteinemias || Type Ib Hyperlipoproteinemia || Type Ib Hyperlipoproteinemias",79,C16.320.565.398.465 || C18.452.584.500.500.644.237 || C18.452.584.563.465 || C18.452.648.398.465,1,1,1,0,True
D008103,Liver Cirrhosis,Liver Cirrhosis,"Cirrhosis, Hepatic || Cirrhosis, Liver || Fibrosis, Liver || Hepatic Cirrhosis || Liver Cirrhosis || Liver Fibrosis",6,C06.552.630 || C23.550.355.412,1,1,0,1,True
D008105,"Liver Cirrhosis, Biliary","Liver Cirrhosis, Biliary","Biliary Cholangitides, Primary || Biliary Cholangitis, Primary || Biliary Cholangitis, Secondary || Biliary Cirrhosis || Biliary Cirrhosis, Primary || Biliary Cirrhosis, Primary, 1 || Biliary Cirrhosis, Secondary || Cholangitides, Primary Biliary || Cholangitis, Chronic Nonsuppurative Destructive || Cholangitis, Primary Biliary || Cholangitis, Secondary Biliary || Cirrhosis, Biliary || Cirrhosis, Secondary Biliary || Liver Cirrhoses, Biliary || Liver Cirrhosis, Biliary || Liver Cirrhosis, Obstructive || Obstructive Liver Cirrhosis || Primary Biliary Cholangitides || Primary Biliary Cholangitis || Primary Biliary Cirrhosis || Secondary Biliary Cholangitides || Secondary Biliary Cholangitis || Secondary Biliary Cirrhosis",23,C06.130.120.135.250.250 || C06.552.150.250 || C06.552.630.400 || C23.550.355.412.400,1,1,0,1,True
D008107,Liver Diseases,Liver Diseases,"Disease, Liver || Diseases, Liver || Dysfunction, Liver || Dysfunctions, Liver || Liver Disease || Liver Diseases || Liver Dysfunction || Liver Dysfunctions",8,C06.552,3,3,0,3,True
D008175,Lung Neoplasms,Lung Neoplasms,"Cancer of Lung || Cancer of the Lung || Cancer, Lung || Cancer, Pulmonary || Cancers, Lung || Cancers, Pulmonary || Lung Cancer || Lung Cancers || Lung Neoplasm || Lung Neoplasms || Neoplasm, Lung || Neoplasm, Pulmonary || Neoplasms, Lung || Neoplasms, Pulmonary || Pulmonary Cancer || Pulmonary Cancers || Pulmonary Neoplasm || Pulmonary Neoplasms",18,C04.588.894.797.520 || C08.381.540 || C08.785.520,1,1,0,1,True
D008180,"Lupus Erythematosus, Systemic","Lupus Erythematosus, Systemic","Disease, Libman-Sacks || Libman Sacks Disease || Libman-Sacks Disease || Lupus Erythematosus Disseminatus || Lupus Erythematosus, Systemic || Systemic Lupus Erythematosus",6,C17.300.480 || C20.111.590,10,10,0,10,True
D008181,Lupus Nephritis,Lupus Nephritis,"Glomerulonephritides, Lupus || Glomerulonephritis, Lupus || Lupus Glomerulonephritides || Lupus Glomerulonephritis || Lupus Nephritides || Lupus Nephritis || Nephritides, Lupus || Nephritis, Lupus",8,C12.050.351.968.419.570.363.680 || C12.200.777.419.570.363.680 || C12.950.419.570.363.680 || C17.300.480.680 || C20.111.590.560,4,4,0,4,True
D008223,Lymphoma,Lymphoma,"Germinoblastic Sarcoma || Germinoblastic Sarcomas || Germinoblastoma || Germinoblastomas || Lymphoma || Lymphoma, Malignant || Lymphomas || Lymphomas, Malignant || Malignant Lymphoma || Malignant Lymphomas || Reticulolymphosarcoma || Reticulolymphosarcomas || Sarcoma, Germinoblastic || Sarcomas, Germinoblastic",14,C04.557.386 || C15.604.515.569 || C20.683.515.761,1,1,0,1,True
