indication_mesh_id,indication_mesh_term_in_trails,mesh2026_preferred_term,mesh2026_entry_terms,mesh2026_n_terms,mesh2026_tree_numbers,n_pairs,n_genes,n_A,n_B,mesh2026_record_found
D001145,"Arrhythmias, Cardiac","Arrhythmias, Cardiac","Arrhythmia || Arrhythmia, Cardiac || Arrhythmias, Cardiac || Arrythmia || Cardiac Arrhythmia || Cardiac Arrhythmias || Cardiac Dysrhythmia || Dysrhythmia, Cardiac",8,C14.280.067 || C23.550.073,1,1,0,1,True
D001171,"Arthritis, Juvenile","Arthritis, Juvenile","Arthritides, Childhood || Arthritis, Childhood || Arthritis, Juvenile || Arthritis, Juvenile Chronic || Arthritis, Juvenile Enthesitis-Related || Arthritis, Juvenile Idiopathic || Arthritis, Juvenile Psoriatic || Arthritis, Juvenile Rheumatoid || Arthritis, Juvenile Systemic || Childhood Arthritides || Childhood Arthritis || Chronic Arthritis, Juvenile || Enthesitis Related Arthritis, Juvenile || Enthesitis-Related Arthritis, Juvenile || Idiopathic Arthritis, Juvenile || Juvenile Arthritis || Juvenile Chronic Arthritis || Juvenile Enthesitis-Related Arthritis || Juvenile Idiopathic Arthritis || Juvenile Oligoarthritis || Juvenile Onset Still Disease || Juvenile Onset Stills Disease || Juvenile Psoriatic Arthritis || Juvenile Rheumatoid Arthritis || Juvenile Systemic Arthritis || Juvenile-Onset Still Disease || Juvenile-Onset Still's Disease || Juvenile-Onset Stills Disease || Oligoarthritis, Juvenile || PCJIA || PJIA Polyarticular Juvenile Idiopathic Arthritis || Polyarthritis, Juvenile, Rheumatoid Factor Negative || Polyarthritis, Juvenile, Rheumatoid Factor Positive || Polyarticular Juvenile Idiopathic Arthritis || Polyarticular-Course Juvenile Idiopathic Arthritis || Psoriatic Arthritis, Juvenile || Rheumatoid Arthritis, Juvenile || Still Disease, Juvenile Onset || Still Disease, Juvenile-Onset || Still's Disease, Juvenile Onset || Still's Disease, Juvenile-Onset || Stills Disease, Juvenile-Onset || Systemic Arthritis, Juvenile",43,C05.550.114.122 || C05.799.056 || C17.300.775.049 || C20.111.198,1,1,1,0,True
D001172,"Arthritis, Rheumatoid","Arthritis, Rheumatoid","Arthritis, Rheumatoid || Rheumatoid Arthritis",2,C05.550.114.154 || C05.799.114 || C17.300.775.099 || C20.111.199,15,15,3,12,True
D001249,Asthma,Asthma,"Asthma || Asthma, Bronchial || Asthmas || Bronchial Asthma",4,C08.127.108 || C08.381.495.108 || C08.674.095 || C20.543.480.680.095,29,29,4,25,True
D001281,Atrial Fibrillation,Atrial Fibrillation,"Atrial Fibrillation || Atrial Fibrillation, Familial || Atrial Fibrillation, Paroxysmal || Atrial Fibrillation, Persistent || Atrial Fibrillations || Atrial Fibrillations, Familial || Atrial Fibrillations, Paroxysmal || Atrial Fibrillations, Persistent || Auricular Fibrillation || Auricular Fibrillations || Familial Atrial Fibrillation || Familial Atrial Fibrillations || Fibrillation, Atrial || Fibrillation, Auricular || Fibrillation, Familial Atrial || Fibrillation, Paroxysmal Atrial || Fibrillation, Persistent Atrial || Fibrillations, Atrial || Fibrillations, Auricular || Fibrillations, Familial Atrial || Fibrillations, Paroxysmal Atrial || Fibrillations, Persistent Atrial || Paroxysmal Atrial Fibrillation || Paroxysmal Atrial Fibrillations || Persistent Atrial Fibrillation || Persistent Atrial Fibrillations",26,C14.280.067.198 || C23.550.073.198,6,6,2,4,True
D001327,Autoimmune Diseases,Autoimmune Diseases,"Autoimmune Disease || Autoimmune Diseases || Disease, Autoimmune || Diseases, Autoimmune",4,C20.111,10,10,0,10,True
D001714,Bipolar Disorder,Bipolar Disorder,"Affective Psychosis, Bipolar || Bipolar Affective Psychosis || Bipolar Depression || Bipolar Disorder || Bipolar Disorder Type 1 || Bipolar Disorder Type 2 || Bipolar Disorders || Bipolar Mood Disorder || Bipolar Mood Disorders || Depression, Bipolar || Depression, Manic || Depressions, Manic || Disorder, Bipolar || Disorder, Bipolar Mood || Disorder, Manic || Manic Depression || Manic Depressive Psychosis || Manic Disorder || Manic Disorders || Manic-Depressive Psychosis || Mood Disorder, Bipolar || Psychoses, Bipolar Affective || Psychoses, Manic Depressive || Psychoses, Manic-Depressive || Psychosis, Bipolar Affective || Psychosis, Manic Depressive || Psychosis, Manic-Depressive || Type 1 Bipolar Disorder || Type 2 Bipolar Disorder",29,F03.600.150.500,5,5,3,2,True
D001749,Urinary Bladder Neoplasms,Urinary Bladder Neoplasms,"Bladder Cancer || Bladder Cancers || Bladder Neoplasm || Bladder Neoplasms || Bladder Tumor || Bladder Tumors || Cancer of Bladder || Cancer of the Bladder || Cancer, Bladder || Cancer, Urinary Bladder || Malignant Tumor of Urinary Bladder || Neoplasm, Bladder || Neoplasm, Urinary Bladder || Neoplasms, Bladder || Tumor, Bladder || Tumors, Bladder || Urinary Bladder Cancer || Urinary Bladder Neoplasm || Urinary Bladder Neoplasms",19,C04.588.945.947.960 || C12.050.351.937.820.945 || C12.050.351.968.829.707 || C12.200.758.820.968 || C12.200.777.829.813 || C12.900.820.945 || C12.950.829.707 || C12.950.983.945,1,1,1,0,True
D001778,Blood Coagulation Disorders,Blood Coagulation Disorders,"Blood Coagulation Disorder || Blood Coagulation Disorders || Coagulation Disorder, Blood || Coagulation Disorders, Blood || Disorder, Blood Coagulation || Disorders, Blood Coagulation",6,C15.378.100,3,3,0,3,True
D001850,"Bone Diseases, Infectious","Bone Diseases, Infectious","Bone Disease, Infectious || Bone Diseases, Infectious || Disease, Infectious Bone || Diseases, Infectious Bone || Infectious Bone Disease || Infectious Bone Diseases",6,C01.160 || C05.116.165,1,1,0,1,True
