indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,n_conservative_candidates,candidate_1_id,candidate_1_description,candidate_1_pops_pass_qc,candidate_1_scope_relation,candidate_1_shared_tokens,candidate_1_subtype_conflict,selected_panukb_phenotype_id,mapping_decision,mapping_rationale,reviewer_notes,candidate_2_id,candidate_2_description,candidate_2_pops_pass_qc,candidate_2_scope_relation,candidate_2_shared_tokens,candidate_2_subtype_conflict,candidate_3_id,candidate_3_description,candidate_3_pops_pass_qc,candidate_3_scope_relation,candidate_3_shared_tokens,candidate_3_subtype_conflict
D012859,Sjogren's Syndrome,Sjogren's Syndrome,6,6,1,5,0,,,,,,,,,,,,,,,,,,,,,,
D007319,Sleep Initiation and Maintenance Disorders,Sleep Initiation and Maintenance Disorders,6,6,3,3,0,,,,,,,,,,,,,,,,,,,,,,
D001714,Bipolar Disorder,Bipolar Disorder,5,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,
D050171,Dyslipidemias,Dyslipidemias,5,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,
D016553,"Purpura, Thrombocytopenic, Idiopathic","Purpura, Thrombocytopenic, Idiopathic",5,5,1,4,0,,,,,,,,,,,,,,,,,,,,,,
D051437,Renal Insufficiency,Renal Insufficiency,5,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,
D012893,Sleep Wake Disorders,Sleep Wake Disorders,5,5,1,4,3,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",same_informative_tokens,sleep,False,,,,,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",same_informative_tokens,sleep,False,phecode|327.3|both_sexes||,Sleep apnea,"CSA,EUR",phenotype_more_specific,sleep,False
D013927,Thrombosis,Thrombosis,5,5,2,3,0,,,,,,,,,,,,,,,,,,,,,,
D002318,Cardiovascular Diseases,Cardiovascular Diseases,4,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,
D003922,"Diabetes Mellitus, Type 1","Diabetes Mellitus, Type 1",4,4,0,4,1,phecode|250|both_sexes||,Diabetes mellitus,"CSA,EUR",phenotype_broader,diabete | mellitu,False,,,,,,,,,,,,,,,,
D006967,Hypersensitivity,Hypersensitivity,4,4,0,4,2,phecode|960.2|both_sexes||,Allergy/adverse effect of penicillin,"CSA,EUR",phenotype_more_specific,allergy,False,,,,,icd10|Z88|both_sexes||,"Z88 Personal history of allergy to drugs, medicaments and biologocal substances","CSA,EUR",phenotype_more_specific,allergy,False,,,,,,
D008181,Lupus Nephritis,Lupus Nephritis,4,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,
D008269,Macular Edema,Macular Edema,4,4,1,3,0,,,,,,,,,,,,,,,,,,,,,,
D008545,Melanoma,Melanoma,4,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,
D009503,Neutropenia,Neutropenia,4,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,
D012559,Schizophrenia,Schizophrenia,4,4,1,3,0,,,,,,,,,,,,,,,,,,,,,,
D013167,"Spondylitis, Ankylosing","Spondylitis, Ankylosing",4,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,
D014029,Tobacco Use Disorder,Tobacco Use Disorder,4,4,1,3,1,phecode|318|both_sexes||,Tobacco use disorder,"EAS,EUR",same_informative_tokens,tobacco | use,False,,,,,,,,,,,,,,,,
D020246,Venous Thrombosis,Venous Thrombosis,4,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,
D058186,Acute Kidney Injury,Acute Kidney Injury,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D001778,Blood Coagulation Disorders,Blood Coagulation Disorders,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D005901,Glaucoma,Glaucoma,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D006467,Hemophilia A,Hemophilia A,3,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,
D008107,Liver Diseases,Liver Diseases,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D024821,Metabolic Syndrome,Metabolic Syndrome,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D008881,Migraine Disorders,Migraine Disorders,3,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,
D009298,Nasal Polyps,Nasal Polyps,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D010024,Osteoporosis,Osteoporosis,3,3,1,2,0,,,,,,,,,,,,,,,,,,,,,,
D011618,Psychotic Disorders,Psychotic Disorders,3,3,1,2,0,,,,,,,,,,,,,,,,,,,,,,
D018805,Sepsis,Sepsis,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D012852,Sinusitis,Sinusitis,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D013274,Stomach Neoplasms,Stomach Neoplasms,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D020521,Stroke,Stroke,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D013494,"Supranuclear Palsy, Progressive","Supranuclear Palsy, Progressive",3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D013789,Thalassemia,Thalassemia,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,
D000437,Alcoholism,Alcoholism,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D000755,"Anemia, Sickle Cell","Anemia, Sickle Cell",2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D002289,"Carcinoma, Non-Small-Cell Lung","Carcinoma, Non-Small-Cell Lung",2,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,
D003863,Depression,Depression,2,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,
D003865,"Depressive Disorder, Major",Major Depressive Disorder,2,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,
D017719,Diabetic Foot,Diabetic Foot,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D004700,Endocrine System Diseases,Endocrine System Diseases,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
