indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_1_id,candidate_1_description,candidate_1_pops_pass_qc,candidate_1_score,candidate_1_matched_mesh_term,candidate_2_id,candidate_2_description,candidate_2_pops_pass_qc,candidate_2_score,candidate_2_matched_mesh_term,candidate_3_id,candidate_3_description,candidate_3_pops_pass_qc,candidate_3_score,candidate_3_matched_mesh_term,candidate_4_id,candidate_4_description,candidate_4_pops_pass_qc,candidate_4_score,candidate_4_matched_mesh_term,candidate_5_id,candidate_5_description,candidate_5_pops_pass_qc,candidate_5_score,candidate_5_matched_mesh_term,selected_panukb_phenotype_id,mapping_decision,mapping_rationale,reviewer_notes
D011471,Prostatic Neoplasms,Prostatic Neoplasms,16,16,1,15,icd10|K44|both_sexes||,K44 Diaphragmatic hernia,"EUR,MID",7.5,Prostatic Cancer,phecode|550.2|both_sexes||,Diaphragmatic hernia,"CSA,EUR,MID",7.5,Prostatic Cancer,phecode|716.9|both_sexes||,Arthropathy NOS,"EAS,EUR",7.5,Prostate Neoplasm,phecode|716|both_sexes||,Other arthropathies,"EAS,EUR",7.317073170731707,Cancer of the Prostate,phecode|411.4|both_sexes||,Coronary atherosclerosis,"CSA,EUR",7.173913043478261,Cancer of the Prostate,,,,
D001172,"Arthritis, Rheumatoid","Arthritis, Rheumatoid",15,15,3,12,phecode|714|both_sexes||,Rheumatoid arthritis and other inflammatory polyarthropathies,"CSA,EUR",109.9074074074074,Rheumatoid Arthritis,phecode|716.2|both_sexes||,Unspecified monoarthritis,"CSA,EAS,EUR,MID",8.666666666666666,Rheumatoid Arthritis,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",7.9411764705882355,Rheumatoid Arthritis,phecode|716|both_sexes||,Other arthropathies,"EAS,EUR",7.692307692307692,Rheumatoid Arthritis,icd10|M16|both_sexes||,M16 Coxarthrosis [arthrosis of hip],"CSA,EUR",7.346938775510204,"Arthritis, Rheumatoid",,,,
D015179,Colorectal Neoplasms,Colorectal Neoplasms,14,14,0,14,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",7.297297297297297,Colorectal Tumor,phecode|454.1|both_sexes||,Varicose veins of lower extremity,"AFR,EUR",7.222222222222221,"Carcinomas, Colorectal",icd10|K80|both_sexes||,K80 Cholelithiasis,"EAS,EUR",7.0588235294117645,Colorectal Neoplasms,phecode|574.1|both_sexes||,Cholelithiasis,"EAS,EUR",7.0588235294117645,Colorectal Neoplasms,icd10|I83|both_sexes||,I83 Varicose veins of lower extremities,"AFR,EUR",6.964285714285714,"Carcinomas, Colorectal",,,,
D006937,Hypercholesterolemia,Hypercholesterolemia,14,14,3,11,icd10|K80|both_sexes||,K80 Cholelithiasis,"EAS,EUR",8.181818181818182,Hypercholesteremias,phecode|574.1|both_sexes||,Cholelithiasis,"EAS,EUR",8.181818181818182,Hypercholesteremias,phecode|401|both_sexes||,Hypertension,"CSA,EUR",8.0,Hypercholesteremia,icd10|Z72|both_sexes||,Z72 Problems related to lifestyle,"AFR,EUR",7.959183673469388,Elevated Cholesterol,phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",7.333333333333333,"Cholesterol, Elevated",,,,
D015228,Hypertriglyceridemia,Hypertriglyceridemia,14,14,3,11,icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,"EUR,MID",6.666666666666666,Hypertriglyceridemias,phecode|401|both_sexes||,Hypertension,"CSA,EUR",6.5625,Hypertriglyceridemia,phecode|716|both_sexes||,Other arthropathies,"EAS,EUR",6.0,Hypertriglyceridemias,phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",5.833333333333333,Hypertriglyceridemias,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",5.769230769230769,Hypertriglyceridemias,,,,
D003920,Diabetes Mellitus,Diabetes Mellitus,13,13,2,11,phecode|250|both_sexes||,Diabetes mellitus,"CSA,EUR",255.0,Diabetes Mellitus,icd10|E11|both_sexes||,E11 Non-insulin-dependent diabetes mellitus,"CSA,EUR",108.10714285714286,Diabetes Mellitus,phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",51.666666666666664,Diabetes Mellitus,phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",7.105263157894736,Diabetes Mellitus,icd10|F32|both_sexes||,F32 Depressive episode,"CSA,EUR",6.857142857142857,Diabetes Mellitus,,,,
D003876,"Dermatitis, Atopic","Dermatitis, Atopic",12,12,2,10,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",7.7142857142857135,Atopic Dermatitis,icd10|I83|both_sexes||,I83 Varicose veins of lower extremities,"AFR,EUR",6.842105263157895,Atopic Neurodermatitis,phecode|716.2|both_sexes||,Unspecified monoarthritis,"CSA,EAS,EUR,MID",6.7924528301886795,Disseminated Neurodermatitis,phecode|250|both_sexes||,Diabetes mellitus,"CSA,EUR",6.666666666666666,Disseminated Neurodermatitis,phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",6.5625,Atopic Dermatitis,,,,
D011565,Psoriasis,Psoriasis,12,12,3,9,icd10|K80|both_sexes||,K80 Cholelithiasis,"EAS,EUR",7.826086956521739,Psoriasis,phecode|574.1|both_sexes||,Cholelithiasis,"EAS,EUR",7.826086956521739,Psoriasis,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",7.826086956521739,Psoriasis,icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,"CSA,EUR",6.724137931034483,Pustulosis of Palms and Soles,phecode|272|both_sexes||,Disorders of lipoid metabolism,"CSA,EUR",6.610169491525424,Pustulosis of Palms and Soles,,,,
D000544,Alzheimer Disease,Alzheimer Disease,11,11,1,10,phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",51.25,Alzheimer Disease,phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",50.32051282051282,Alzheimer Diseases,phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",47.56578947368421,Alzheimer Type Dementia,icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,"EUR,MID",47.5,Alzheimer Diseases,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",47.0,Alzheimer Disease,,,,
D000740,Anemia,Anemia,11,11,4,7,icd10|J45|both_sexes||,J45 Asthma,"CSA,EUR,MID",7.5,Anemia,phecode|327.3|both_sexes||,Sleep apnea,"CSA,EUR",7.0588235294117645,Anemia,phecode|785|both_sexes||,Abdominal pain,"CSA,EUR",6.0,Anemia,icd10|K80|both_sexes||,K80 Cholelithiasis,"EAS,EUR",5.7142857142857135,Anemias,phecode|574.1|both_sexes||,Cholelithiasis,"EAS,EUR",5.7142857142857135,Anemias,,,,
