indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_1_id,candidate_1_description,candidate_1_pops_pass_qc,candidate_1_score,candidate_1_matched_mesh_term,candidate_2_id,candidate_2_description,candidate_2_pops_pass_qc,candidate_2_score,candidate_2_matched_mesh_term,candidate_3_id,candidate_3_description,candidate_3_pops_pass_qc,candidate_3_score,candidate_3_matched_mesh_term,candidate_4_id,candidate_4_description,candidate_4_pops_pass_qc,candidate_4_score,candidate_4_matched_mesh_term,candidate_5_id,candidate_5_description,candidate_5_pops_pass_qc,candidate_5_score,candidate_5_matched_mesh_term,selected_panukb_phenotype_id,mapping_decision,mapping_rationale,reviewer_notes
D050171,Dyslipidemias,Dyslipidemias,5,5,3,2,phecode|327.3|both_sexes||,Sleep apnea,"CSA,EUR",7.241379310344828,Dyslipoproteinemia,icd10|F32|both_sexes||,F32 Depressive episode,"CSA,EUR",7.0,Dyslipidemia,phecode|401|both_sexes||,Hypertension,"CSA,EUR",7.0,Dyslipoproteinemia,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",6.428571428571428,Dyslipidemias,phecode|272|both_sexes||,Disorders of lipoid metabolism,"CSA,EUR",6.428571428571428,Dyslipidemia,,,,
D016553,"Purpura, Thrombocytopenic, Idiopathic","Purpura, Thrombocytopenic, Idiopathic",5,5,1,4,phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",49.35810810810811,Werlhof Disease,icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,"EUR,MID",46.375,Werlhof Disease,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",46.02173913043478,Werlhof Disease,phecode|411.8|both_sexes||,"Other chronic ischemic heart disease, unspecified","CSA,EAS,EUR",45.96153846153846,Werlhof's Disease,icd10|J44|both_sexes||,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",45.706896551724135,Werlhof Disease,,,,
D051437,Renal Insufficiency,Renal Insufficiency,5,5,0,5,phecode|594.1|both_sexes||,Calculus of kidney,"CSA,EUR",54.166666666666664,"Failures, Kidney",icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,"CSA,EUR",48.924418604651166,Kidney Failure,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",7.9411764705882355,Renal Failure,phecode|594|both_sexes||,Urinary calculus,"CSA,EUR",7.741935483870968,Kidney Failures,phecode|785|both_sexes||,Abdominal pain,"CSA,EUR",6.666666666666666,Renal Failure,,,,
D012893,Sleep Wake Disorders,Sleep Wake Disorders,5,5,1,4,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",255.0,Sleep Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",255.0,Sleep Disorders,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",52.738095238095234,Sleep Disorder,phecode|327.3|both_sexes||,Sleep apnea,"CSA,EUR",52.56666666666666,Sleep Disorder,phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",51.0,Sleep Disorders,,,,
D013927,Thrombosis,Thrombosis,5,5,2,3,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",9.0,Atherothrombosis,phecode|411.4|both_sexes||,Coronary atherosclerosis,"CSA,EUR",8.25,Atherothrombosis,phecode|716.9|both_sexes||,Arthropathy NOS,"EAS,EUR",7.741935483870968,Atherothrombosis,phecode|716|both_sexes||,Other arthropathies,"EAS,EUR",7.7142857142857135,Atherothrombosis,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",7.5,Thrombosis,,,,
D002318,Cardiovascular Diseases,Cardiovascular Diseases,4,4,0,4,phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",49.62121212121212,Cardiovascular Diseases,phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",48.75,Cardiovascular Disease,phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases","EUR,MID",47.0,Cardiovascular Diseases,icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,"EUR,MID",45.96153846153846,Cardiovascular Diseases,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",45.72641509433962,Cardiovascular Disease,,,,
D003922,"Diabetes Mellitus, Type 1","Diabetes Mellitus, Type 1",4,4,0,4,icd10|E11|both_sexes||,E11 Non-insulin-dependent diabetes mellitus,"CSA,EUR",127.1891891891892,Insulin-Dependent Diabetes Mellitus,phecode|250|both_sexes||,Diabetes mellitus,"CSA,EUR",120.77235772357723,"Diabetes Mellitus, Type 1",phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",114.0,Type 1 Diabetes,icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,"CSA,EUR",6.875,Autoimmune Diabetes,icd10|E66|both_sexes||,E66 Obesity,"EUR,MID",6.818181818181818,"Diabetes, Type 1",,,,
D006967,Hypersensitivity,Hypersensitivity,4,4,0,4,phecode|960.2|both_sexes||,Allergy/adverse effect of penicillin,"CSA,EUR",98.63372093023256,Allergy,icd10|Z88|both_sexes||,"Z88 Personal history of allergy to drugs, medicaments and biologocal substances","CSA,EUR",91.9675925925926,Allergy,phecode|401|both_sexes||,Hypertension,"CSA,EUR",9.642857142857144,Hypersensitivity,phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",7.674418604651163,Allergic Reactions,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",7.5,Allergic Reactions,,,,
D008181,Lupus Nephritis,Lupus Nephritis,4,4,0,4,phecode|716.2|both_sexes||,Unspecified monoarthritis,"CSA,EAS,EUR,MID",7.5,Lupus Nephritis,phecode|558|both_sexes||,Noninfectious gastroenteritis,"CSA,EUR",7.3584905660377355,Lupus Glomerulonephritis,phecode|250|both_sexes||,Diabetes mellitus,"CSA,EUR",7.0588235294117645,"Nephritides, Lupus",icd10|R07|both_sexes||,R07 Pain in throat and chest,"CSA,EUR",6.585365853658536,Lupus Nephritides,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",6.5625,Lupus Nephritides,,,,
D008269,Macular Edema,Macular Edema,4,4,1,3,phecode|716.9|both_sexes||,Arthropathy NOS,"EAS,EUR",6.73469387755102,"Macular Dystrophy, Dominant Cystoid",phecode|835|both_sexes||,Internal derangement of knee,"EUR,MID",6.315789473684211,"Central Retinal Edema, Cystoid",phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases","EUR,MID",6.206896551724138,Cystoid Macular Edema,phecode|594|both_sexes||,Urinary calculus,"CSA,EUR",6.206896551724138,"Edema, Macular",icd10|K80|both_sexes||,K80 Cholelithiasis,"EAS,EUR",6.1764705882352935,"Syndrome, Irvine-Gass",,,,
D008545,Melanoma,Melanoma,4,4,0,4,phecode|785|both_sexes||,Abdominal pain,"CSA,EUR",6.5625,"Melanoma, Malignant",icd10|J45|both_sexes||,J45 Asthma,"CSA,EUR,MID",6.428571428571428,Melanoma,phecode|327.3|both_sexes||,Sleep apnea,"CSA,EUR",6.315789473684211,Melanoma,phecode|550|both_sexes||,Abdominal hernia,"EAS,EUR",6.1764705882352935,"Melanoma, Malignant",phecode|716.9|both_sexes||,Arthropathy NOS,"EAS,EUR",6.1764705882352935,Malignant Melanomas,,,,
D009503,Neutropenia,Neutropenia,4,4,2,2,phecode|558|both_sexes||,Noninfectious gastroenteritis,"CSA,EUR",7.317073170731707,Neutropenias,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",6.923076923076923,Neutropenias,phecode|716|both_sexes||,Other arthropathies,"EAS,EUR",6.774193548387097,Neutropenias,phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",6.666666666666666,Neutropenias,phecode|550|both_sexes||,Abdominal hernia,"EAS,EUR",6.666666666666666,Neutropenia,,,,
D012559,Schizophrenia,Schizophrenia,4,4,1,3,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",53.64035087719298,Schizophrenic Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",53.64035087719298,Schizophrenic Disorders,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",53.23643410852713,Schizophrenic Disorder,phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",50.625,Schizophrenic Disorders,phecode|318|both_sexes||,Tobacco use disorder,"EAS,EUR",49.10714285714286,Schizophrenic Disorder,,,,
D013167,"Spondylitis, Ankylosing","Spondylitis, Ankylosing",4,4,0,4,phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",49.71153846153846,Bechterew Disease,icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,"EUR,MID",47.3,Bechterew Disease,icd10|J44|both_sexes||,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",46.5,Bechterew Disease,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",46.375,Bechterew Disease,phecode|411.8|both_sexes||,"Other chronic ischemic heart disease, unspecified","CSA,EAS,EUR",45.03846153846154,Bechterew Disease,,,,
D014029,Tobacco Use Disorder,Tobacco Use Disorder,4,4,1,3,phecode|318|both_sexes||,Tobacco use disorder,"EAS,EUR",255.0,Tobacco Use Disorder,icd10|F17|both_sexes||,F17 Mental and behavioural disorders due to use of tobacco,"EAS,EUR",86.48648648648648,"Disorder, Tobacco Use",icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",51.25,Tobacco Use Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",51.25,Tobacco Use Disorders,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",49.82142857142857,Nicotine Use Disorder,,,,
D020246,Venous Thrombosis,Venous Thrombosis,4,4,2,2,icd10|I83|both_sexes||,I83 Varicose veins of lower extremities,"AFR,EUR",34.04545454545454,Deep Vein Thromboses,phecode|454.1|both_sexes||,Varicose veins of lower extremity,"AFR,EUR",33.72641509433962,Deep Vein Thrombosis,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",9.0,Phlebothrombosis,icd10|K80|both_sexes||,K80 Cholelithiasis,"EAS,EUR",8.0,Phlebothrombosis,phecode|574.1|both_sexes||,Cholelithiasis,"EAS,EUR",8.0,Phlebothrombosis,,,,
D058186,Acute Kidney Injury,Acute Kidney Injury,3,3,0,3,phecode|594.1|both_sexes||,Calculus of kidney,"CSA,EUR",49.35810810810811,Acute Kidney Injury,icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,"CSA,EUR",37.85034013605442,Acute Kidney Failure,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",8.25,Acute Renal Failure,phecode|594|both_sexes||,Urinary calculus,"CSA,EUR",7.9411764705882355,"Renal Injury, Acute",phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",7.333333333333333,Acute Renal Failures,,,,
D001778,Blood Coagulation Disorders,Blood Coagulation Disorders,3,3,0,3,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",49.10714285714286,Blood Coagulation Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",49.10714285714286,Blood Coagulation Disorders,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",48.909574468085104,"Coagulation Disorder, Blood",phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",37.8974358974359,Blood Coagulation Disorders,phecode|272|both_sexes||,Disorders of lipoid metabolism,"CSA,EUR",37.614035087719294,"Disorders, Blood Coagulation",,,,
D005901,Glaucoma,Glaucoma,3,3,0,3,icd10|J45|both_sexes||,J45 Asthma,"CSA,EUR,MID",6.428571428571428,Glaucoma,phecode|785|both_sexes||,Abdominal pain,"CSA,EUR",5.454545454545455,Glaucoma,phecode|760|both_sexes||,Back pain,"CSA,EUR",5.294117647058824,Glaucoma,phecode|550|both_sexes||,Abdominal hernia,"EAS,EUR",5.0,Glaucoma,phecode|716.9|both_sexes||,Arthropathy NOS,"EAS,EUR",5.0,Glaucomas,,,,
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",3,3,0,3,phecode|411.4|both_sexes||,Coronary atherosclerosis,"CSA,EUR",9.375,Focal Glomerulosclerosis,phecode|401.1|both_sexes||,Essential hypertension,"CSA,EUR",8.571428571428571,Segmental Hyalinosis,phecode|496.21|both_sexes||,Obstructive chronic bronchitis,"CSA,EUR",7.384615384615385,Focal Sclerosing Glomerulonephritis,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",7.3584905660377355,Focal Sclerosing Glomerulonephritis,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",7.317073170731707,Segmental Hyalinosis,,,,
D006467,Hemophilia A,Hemophilia A,3,3,3,0,phecode|550|both_sexes||,Abdominal hernia,"EAS,EUR",7.894736842105263,Autosomal Hemophilia A,icd10|K42|both_sexes||,K42 Umbilical hernia,"CSA,EUR",7.692307692307692,"Hemophilia A, Congenital",phecode|550.4|both_sexes||,Umbilical hernia,"CSA,EUR",7.692307692307692,"Hemophilia A, Congenital",phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",7.5,Classic Hemophilias,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",7.297297297297297,Classic Hemophilias,,,,
D008107,Liver Diseases,Liver Diseases,3,3,0,3,phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",52.738095238095234,"Diseases, Liver",phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",50.67857142857143,Liver Disease,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",47.0,Liver Disease,phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases","EUR,MID",46.55882352941177,Liver Diseases,icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,"EUR,MID",46.464285714285715,Liver Diseases,,,,
D024821,Metabolic Syndrome,Metabolic Syndrome,3,3,0,3,icd10|E11|both_sexes||,E11 Non-insulin-dependent diabetes mellitus,"CSA,EUR",33.28431372549019,"Syndrome X, Insulin Resistance",phecode|272|both_sexes||,Disorders of lipoid metabolism,"CSA,EUR",8.4,"Syndrome X, Metabolic",icd10|Z95|both_sexes||,Z95 Presence of cardiac and vascular implants and grafts,"CSA,EUR",7.411764705882353,Metabolic Cardiovascular Syndrome,icd10|F32|both_sexes||,F32 Depressive episode,"CSA,EUR",6.857142857142857,Reaven Syndrome X,phecode|250|both_sexes||,Diabetes mellitus,"CSA,EUR",6.666666666666666,"Syndromes, Metabolic",,,,
D008881,Migraine Disorders,Migraine Disorders,3,3,2,1,phecode|785|both_sexes||,Abdominal pain,"CSA,EUR",56.354166666666664,Abdominal Migraine,phecode|550|both_sexes||,Abdominal hernia,"EAS,EUR",54.75490196078431,Abdominal Migraine,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",54.166666666666664,Migraine Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",54.166666666666664,Migraine Disorders,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",52.85087719298245,Migraine Disorder,,,,
D009298,Nasal Polyps,Nasal Polyps,3,3,0,3,phecode|327.3|both_sexes||,Sleep apnea,"CSA,EUR",6.818181818181818,"Polyp, Nasal",phecode|594|both_sexes||,Urinary calculus,"CSA,EUR",6.428571428571428,Nasal Polyps,phecode|401.1|both_sexes||,Essential hypertension,"CSA,EUR",6.1764705882352935,Nasal Polyps,phecode|785|both_sexes||,Abdominal pain,"CSA,EUR",6.0,Nasal Polyp,icd10|Z72|both_sexes||,Z72 Problems related to lifestyle,"AFR,EUR",5.853658536585366,"Polyps, Nasal",,,,
D010024,Osteoporosis,Osteoporosis,3,3,1,2,phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",37.238095238095234,Age Related Osteoporosis,phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases","EUR,MID",35.86065573770492,Age-Related Osteoporoses,icd10|Z72|both_sexes||,Z72 Problems related to lifestyle,"AFR,EUR",35.42452830188679,Age Related Osteoporosis,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",11.538461538461538,Osteoporosis,phecode|411.4|both_sexes||,Coronary atherosclerosis,"CSA,EUR",8.125,Age Related Osteoporosis,,,,
D011618,Psychotic Disorders,Psychotic Disorders,3,3,1,2,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",53.916666666666664,Schizoaffective Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",53.916666666666664,Schizoaffective Disorders,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",52.64492753623188,Schizophreniform Disorder,phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",50.79545454545455,Psychotic Disorders,phecode|318|both_sexes||,Tobacco use disorder,"EAS,EUR",49.14473684210526,Psychotic Disorder,,,,
D018805,Sepsis,Sepsis,3,3,0,3,phecode|960|both_sexes||,Poisoning by antibiotics,"CSA,EUR",50.48076923076923,"Poisoning, Blood",phecode|558|both_sexes||,Noninfectious gastroenteritis,"CSA,EUR",7.800000000000001,"Infection, Bloodstream",icd10|F32|both_sexes||,F32 Depressive episode,"CSA,EUR",7.741935483870968,Severe Sepsis,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",7.5,"Sepsis, Severe",icd10|J45|both_sexes||,J45 Asthma,"CSA,EUR,MID",7.5,Septicemia,,,,
D012852,Sinusitis,Sinusitis,3,3,0,3,phecode|558|both_sexes||,Noninfectious gastroenteritis,"CSA,EUR",8.666666666666666,"Infections, Sinus",phecode|250|both_sexes||,Diabetes mellitus,"CSA,EUR",7.272727272727273,"Infections, Sinus",icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",6.923076923076923,Sinusitides,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",6.923076923076923,Sinusitides,phecode|960|both_sexes||,Poisoning by antibiotics,"CSA,EUR",6.75,Sinus Infections,,,,
D013274,Stomach Neoplasms,Stomach Neoplasms,3,3,0,3,phecode|716.9|both_sexes||,Arthropathy NOS,"EAS,EUR",7.741935483870968,Stomach Neoplasm,icd10|J45|both_sexes||,J45 Asthma,"CSA,EUR,MID",7.5,"Cancer, Stomach",icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,"EUR,MID",7.346938775510204,Gastric Neoplasm,phecode|558|both_sexes||,Noninfectious gastroenteritis,"CSA,EUR",7.333333333333333,"Neoplasm, Gastric",icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",7.258064516129032,"Gastric Cancer, Familial Diffuse",,,,
D020521,Stroke,Stroke,3,3,0,3,icd10|Z95|both_sexes||,Z95 Presence of cardiac and vascular implants and grafts,"CSA,EUR",33.7719298245614,Brain Vascular Accidents,icd10|E11|both_sexes||,E11 Non-insulin-dependent diabetes mellitus,"CSA,EUR",8.076923076923077,Acute Stroke,icd10|E66|both_sexes||,E66 Obesity,"EUR,MID",8.076923076923077,Acute Stroke,icd10|F17|both_sexes||,F17 Mental and behavioural disorders due to use of tobacco,"EAS,EUR",8.076923076923077,Acute Stroke,icd10|F32|both_sexes||,F32 Depressive episode,"CSA,EUR",8.076923076923077,Acute Stroke,,,,
D013494,"Supranuclear Palsy, Progressive","Supranuclear Palsy, Progressive",3,3,0,3,phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",35.39473684210526,Steele Richardson Olszewski Disease,icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,"EUR,MID",28.308823529411764,Steele Richardson Olszewski Disease,phecode|411.8|both_sexes||,"Other chronic ischemic heart disease, unspecified","CSA,EAS,EUR",27.394578313253014,Steele Richardson Olszewski Disease,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",27.15909090909091,Steele Richardson Olszewski Disease,icd10|J44|both_sexes||,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",26.634615384615387,Steele Richardson Olszewski Disease,,,,
D013789,Thalassemia,Thalassemia,3,3,0,3,icd10|K80|both_sexes||,K80 Cholelithiasis,"EAS,EUR",6.0,Thalassemia,phecode|574.1|both_sexes||,Cholelithiasis,"EAS,EUR",6.0,Thalassemia,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",5.625,Thalassemia,phecode|318|both_sexes||,Tobacco use disorder,"EAS,EUR",5.625,Thalassemias,icd10|K42|both_sexes||,K42 Umbilical hernia,"CSA,EUR",5.555555555555555,Thalassemia,,,,
D000437,Alcoholism,Alcoholism,2,2,0,2,phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",73.22463768115942,Alcohol Use Disorders,phecode|318|both_sexes||,Tobacco use disorder,"EAS,EUR",72.83333333333333,Alcohol Use Disorder,icd10|F17|both_sexes||,F17 Mental and behavioural disorders due to use of tobacco,"EAS,EUR",58.08333333333333,"Use Disorders, Alcohol",icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",51.25,Alcohol Use Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",51.25,Alcohol Use Disorders,,,,
D000755,"Anemia, Sickle Cell","Anemia, Sickle Cell",2,2,0,2,icd10|F17|both_sexes||,F17 Mental and behavioural disorders due to use of tobacco,"EAS,EUR",58.24908424908425,Sickling Disorder Due to Hemoglobin S,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",52.916666666666664,Sickle Cell Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",52.916666666666664,Sickle Cell Disorders,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",50.76219512195122,Sickle Cell Disorder,phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",50.535714285714285,Hemoglobin S Disease,,,,
D002289,"Carcinoma, Non-Small-Cell Lung","Carcinoma, Non-Small-Cell Lung",2,2,1,1,icd10|E11|both_sexes||,E11 Non-insulin-dependent diabetes mellitus,"CSA,EUR",21.671497584541065,Non-Small-Cell Lung Carcinomas,phecode|418|both_sexes||,Nonspecific chest pain,"CSA,EUR",6.470588235294118,Non Small Cell Lung Carcinoma,phecode|835|both_sexes||,Internal derangement of knee,"EUR,MID",6.226415094339623,Nonsmall Cell Lung Cancer,icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,"EUR,MID",6.19047619047619,Non-Small-Cell Lung Carcinomas,icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,"CSA,EUR",6.111111111111111,Nonsmall Cell Lung Cancer,,,,
D003863,Depression,Depression,2,2,1,1,icd10|F32|both_sexes||,F32 Depressive episode,"CSA,EUR",55.0,Depressive Symptom,icd10|R19|both_sexes||,R19 Other symptoms and signs involving the digestive system and abdomen,"EUR,MID",42.44117647058823,"Symptom, Depressive",phecode|401|both_sexes||,Hypertension,"CSA,EUR",9.545454545454545,Depression,phecode|401.1|both_sexes||,Essential hypertension,"CSA,EUR",9.285714285714286,Emotional Depression,phecode|785|both_sexes||,Abdominal pain,"CSA,EUR",7.9411764705882355,Emotional Depression,,,,
D003865,"Depressive Disorder, Major",Major Depressive Disorder,2,2,1,1,icd10|F32|both_sexes||,F32 Depressive episode,"CSA,EUR",52.41279069767442,"Depressive Disorder, Major",phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",50.380434782608695,Major Depression Disorder,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",50.03048780487805,"Depression Disorders, Major",phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",50.03048780487805,"Depression Disorders, Major",phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",38.07843137254902,Major Depressive Disorders,,,,
D017719,Diabetic Foot,Diabetic Foot,2,2,0,2,phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",8.571428571428571,"Feet, Diabetic",phecode|250|both_sexes||,Diabetes mellitus,"CSA,EUR",8.0,Diabetic Feet,icd10|K44|both_sexes||,K44 Diaphragmatic hernia,"EUR,MID",7.272727272727273,Diabetic Feet,phecode|550.2|both_sexes||,Diaphragmatic hernia,"CSA,EUR,MID",7.272727272727273,Diabetic Feet,phecode|318|both_sexes||,Tobacco use disorder,"EAS,EUR",6.923076923076923,"Foot Ulcer, Diabetic",,,,
D004700,Endocrine System Diseases,Endocrine System Diseases,2,2,0,2,phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",52.628205128205124,"Diseases, Endocrine",phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",49.71153846153846,Endocrine Disease,icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,"EUR,MID",48.0,Endocrine Diseases,phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases","EUR,MID",47.13636363636363,Endocrine Diseases,icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,"EUR,MID",46.7,Endocrine Disease,,,,
D004827,Epilepsy,Epilepsy,2,2,2,0,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",56.354166666666664,Seizure Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",56.354166666666664,Seizure Disorders,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",53.8963963963964,Seizure Disorder,phecode|318|both_sexes||,Tobacco use disorder,"EAS,EUR",50.41666666666667,Seizure Disorder,phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",49.82142857142857,Seizure Disorders,,,,
D004829,"Epilepsy, Generalized","Epilepsy, Generalized",2,2,2,0,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",50.11363636363636,"Seizure Disorders, Generalized",phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",50.11363636363636,"Seizure Disorders, Generalized",phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",49.20918367346939,Generalized Seizure Disorder,icd10|M51|both_sexes||,M51 Other intervertebral disk disorders,"CSA,EUR",37.104166666666664,Generalized Seizure Disorders,phecode|318|both_sexes||,Tobacco use disorder,"EAS,EUR",36.791666666666664,Generalized Seizure Disorder,,,,
D057180,Frontotemporal Dementia,Frontotemporal Dementia,2,2,0,2,phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",49.25,"Diseases, Familial Pick's",phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",37.14492753623188,Wilhelmsen Lynch Disease,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",34.42307692307692,Familial Pick Disease,phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",34.385245901639344,GRN-Related Frontotemporal Dementias,icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,"EUR,MID",34.31818181818181,Familial Pick's Diseases,,,,
D005764,Gastroesophageal Reflux,Gastroesophageal Reflux,2,2,1,1,phecode|530.11|both_sexes||,GERD,"EUR,MID",255.0,GERD,icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,"EUR,MID",124.18103448275862,Gastro oesophageal Reflux,phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases","EUR,MID",96.67682926829268,GERD,phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",46.72222222222222,Gastro-Esophageal Reflux Diseases,phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",36.59119496855346,Gastroesophageal Reflux Disease,,,,
D005770,Gastrointestinal Neoplasms,Gastrointestinal Neoplasms,2,2,0,2,phecode|558|both_sexes||,Noninfectious gastroenteritis,"CSA,EUR",8.88888888888889,"Neoplasm, Gastrointestinal",icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,"EUR,MID",7.758620689655173,Gastrointestinal Neoplasm,phecode|835|both_sexes||,Internal derangement of knee,"EUR,MID",7.368421052631579,Gastrointestinal Tract Cancer,phecode|785|both_sexes||,Abdominal pain,"CSA,EUR",7.297297297297297,Gastrointestinal Cancer,phecode|716|both_sexes||,Other arthropathies,"EAS,EUR",7.142857142857142,"Cancer, Gastrointestinal",,,,
