indication_mesh_id,indication_mesh_term,mesh_descriptor_name,all_tree_numbers,reason
D003863,Depression,Depression,F01.145.126.350|F01.470.282,no_Cxx_or_F03_tree_position
D008593,Menopause,Menopause,G08.686.157.500|G08.686.841.249.500,no_Cxx_or_F03_tree_position
