weight_scheme,model_id,exposure,formula,n,n_A,n_B,n_gene_clusters,effective_sample_size,status,error,converged,warning_messages,n_parameters,bread_rank,design_full_rank,finite_sample_correction,condition_number
ipw_untrimmed,SW4,has_east_asian,approval ~ has_east_asian + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,788.4793855532432,ok,,True,,19,19,True,1.0260252205268197,36.50629322360666
ipw_trimmed,SW1,has_east_asian,approval ~ has_east_asian,790,157,633,383,789.6388566004618,ok,,True,,2,2,True,1.0038901586626625,2.618033988749895
ipw_trimmed,SW2,has_east_asian,approval ~ has_east_asian + log_studies,790,157,633,383,789.6388566004618,ok,,True,,3,3,True,1.0051657497156012,5.176924919589236
ipw_trimmed,SW3,has_east_asian,approval ~ has_east_asian + log_studies + earliest_year_centered,790,157,633,383,789.6388566004618,ok,,True,,4,4,True,1.0064445865473004,12.261734674217893
ipw_trimmed,SW4,has_east_asian,approval ~ has_east_asian + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,789.6388566004618,ok,,True,,19,19,True,1.0260252205268197,36.50629322360666
unweighted,SW1,has_south_asian,approval ~ has_south_asian,790,157,633,383,790.0,ok,,True,,2,2,True,1.0038901586626625,2.514138908184039
unweighted,SW2,has_south_asian,approval ~ has_south_asian + log_studies,790,157,633,383,790.0,ok,,True,,3,3,True,1.0051657497156012,5.7642334342329695
unweighted,SW3,has_south_asian,approval ~ has_south_asian + log_studies + earliest_year_centered,790,157,633,383,790.0,ok,,True,,4,4,True,1.0064445865473004,13.520396021310598
unweighted,SW4,has_south_asian,approval ~ has_south_asian + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,790.0,ok,,True,,19,19,True,1.0260252205268197,36.22899071234524
ipw_untrimmed,SW1,has_south_asian,approval ~ has_south_asian,790,157,633,383,788.4793855532432,ok,,True,,2,2,True,1.0038901586626625,2.514138908184039
ipw_untrimmed,SW2,has_south_asian,approval ~ has_south_asian + log_studies,790,157,633,383,788.4793855532432,ok,,True,,3,3,True,1.0051657497156012,5.7642334342329695
ipw_untrimmed,SW3,has_south_asian,approval ~ has_south_asian + log_studies + earliest_year_centered,790,157,633,383,788.4793855532432,ok,,True,,4,4,True,1.0064445865473004,13.520396021310598
ipw_untrimmed,SW4,has_south_asian,approval ~ has_south_asian + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,788.4793855532432,ok,,True,,19,19,True,1.0260252205268197,36.22899071234524
ipw_trimmed,SW1,has_south_asian,approval ~ has_south_asian,790,157,633,383,789.6388566004618,ok,,True,,2,2,True,1.0038901586626625,2.514138908184039
ipw_trimmed,SW2,has_south_asian,approval ~ has_south_asian + log_studies,790,157,633,383,789.6388566004618,ok,,True,,3,3,True,1.0051657497156012,5.7642334342329695
ipw_trimmed,SW3,has_south_asian,approval ~ has_south_asian + log_studies + earliest_year_centered,790,157,633,383,789.6388566004618,ok,,True,,4,4,True,1.0064445865473004,13.520396021310598
ipw_trimmed,SW4,has_south_asian,approval ~ has_south_asian + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,789.6388566004618,ok,,True,,19,19,True,1.0260252205268197,36.22899071234524
