weight_scheme,model_id,exposure_model,term,beta,cluster_robust_se,odds_ratio,ci_low,ci_high,p_value
unweighted,SW1,n_ancestries_all,Intercept,-1.7036327180821549,0.2088738649738436,0.1820210902577008,0.12087262536941634,0.2741040595200406,3.4551477971738205e-16
unweighted,SW1,n_ancestries_all,n_ancestries_all,0.11836889902812052,0.0563080468606395,1.1256592894011024,1.0080392981422588,1.2570034106310952,0.0355386788689916
unweighted,SW2,n_ancestries_all,Intercept,-1.9351109994602826,0.24156113735143372,0.144408238697335,0.08994453029349314,0.23185111240916784,1.139146339632554e-15
unweighted,SW2,n_ancestries_all,n_ancestries_all,0.02525263671026074,0.07698629099242399,1.0255741854867406,0.8819342952442187,1.192608582757896,0.7429005326167679
unweighted,SW2,n_ancestries_all,log_studies,0.2901115717516246,0.16527194883627505,1.3365766038996354,0.9667498577645092,1.8478792665382955,0.07919795257733216
unweighted,SW3,n_ancestries_all,Intercept,-2.0157912330598493,0.24280982769320522,0.13321495757685217,0.08276998772139628,0.21440410238957994,1.0242986303355777e-16
unweighted,SW3,n_ancestries_all,n_ancestries_all,0.026325958224854926,0.0770305959318967,1.026675547276756,0.8828047398455842,1.1939929995849337,0.7325316925069786
unweighted,SW3,n_ancestries_all,log_studies,0.3574168142261739,0.1749338500930562,1.4296316364875237,1.0146591754463667,2.0143183696603053,0.04103718517969298
unweighted,SW3,n_ancestries_all,earliest_year_centered,0.02340482379981888,0.02836219309370485,1.0236808660549417,0.9683283417600562,1.0821975050552244,0.4092512075264546
unweighted,SW4,n_ancestries_all,Intercept,-1.9894227464982557,0.4372687745281203,0.13677435613785222,0.05804981277168916,0.3222615819709848,5.373354409309536e-06
unweighted,SW4,n_ancestries_all,n_ancestries_all,0.02138734420649908,0.08408272552301668,1.02161769270247,0.8663972394415357,1.20464685542566,0.799216879347163
unweighted,SW4,n_ancestries_all,log_studies,0.3830731321643174,0.17924462867144103,1.4667852953293166,1.0322698501126544,2.0842022096833652,0.032585578273240226
unweighted,SW4,n_ancestries_all,earliest_year_centered,0.017552593885264353,0.03259641745018141,1.0177075459371412,0.9547218758989406,1.0848485566356003,0.5902441206562496
unweighted,SW4,n_ancestries_all,mesh_C18,-0.3169746210635068,0.4208212477488543,0.7283492396202395,0.3192537267831218,1.66166459574569,0.451312524776721
unweighted,SW4,n_ancestries_all,mesh_C20,-0.9348457337618162,0.3629003147285285,0.39264643294779167,0.19279703402573237,0.7996555656870096,0.009993907861914212
unweighted,SW4,n_ancestries_all,mesh_C23,-0.3049036893181545,0.3195491542675713,0.7371943706652145,0.39407717116089425,1.3790586715275601,0.33999843258861306
unweighted,SW4,n_ancestries_all,mesh_C04,-0.6103889864882319,0.36800113018411373,0.5431395540300737,0.26403913507038956,1.1172607995149808,0.0971841969080959
unweighted,SW4,n_ancestries_all,mesh_C17,-0.0985577386791645,0.38464069167975257,0.9061433715824029,0.42637346372387297,1.92576668043882,0.7977707272609732
unweighted,SW4,n_ancestries_all,mesh_C06,-1.0700406710134747,0.5387965579625771,0.3429945671983595,0.11930613578827563,0.986078983702623,0.04703523910277539
unweighted,SW4,n_ancestries_all,mesh_C15,0.7516895524467415,0.41867027961402065,2.120579822453781,0.9334301758838766,4.817563112463103,0.0725865957262538
unweighted,SW4,n_ancestries_all,mesh_C08,0.2372239285628027,0.5223990277093824,1.2677249658228806,0.4553634665661099,3.5293270254856965,0.649753367550634
unweighted,SW4,n_ancestries_all,mesh_C10,0.21348069013934698,0.5222633052233326,1.2379795928238526,0.44479731230435593,3.4455996694503925,0.6827153171944266
