variable,target_mean,selected_unweighted_mean,selected_weighted_mean,smd_before,abs_smd_before,smd_after,abs_smd_after
has_source_otg,0.5886262924667651,1.0,1.0,1.1822611939585415,1.1822611939585415,1.1822611939585415,1.1822611939585415
has_source_intogen,0.3212703101920236,0.04177215189873418,0.041991288960121824,-0.7780621734171902,0.7780621734171902,-0.7771499016367495,0.7771499016367495
mesh_C04,0.38404726735598227,0.14177215189873418,0.14206580505544006,-0.5724587272522013,0.5724587272522013,-0.571597112221454,0.571597112221454
selection_year_centered,-0.7858197932053176,-3.3341772151898734,-3.2992184820984,-0.5651236671450666,0.5651236671450666,-0.5573548716978489,0.5573548716978489
earliest_year_missing,0.10487444608567208,0.0,0.0,-0.48406965649918016,0.48406965649918016,-0.48406965649918016,0.48406965649918016
log_support_rows,1.3713917239817928,1.7475342043538162,1.7400058536867824,0.3978967743579207,0.3978967743579207,0.39012893748853383,0.39012893748853383
n_assoc_sources,1.2134416543574593,1.3582278481012657,1.3559082225999721,0.2579117214927963,0.2579117214927963,0.25416391035190716,0.25416391035190716
log_pairs_for_gene,1.6581977197542015,1.4836982896522208,1.4846325917550067,-0.25625097519014545,0.25625097519014545,-0.2547473090307488,0.2547473090307488
has_source_omim,0.15805022156573117,0.08354430379746836,0.08291881299081284,-0.23013033410196124,0.23013033410196124,-0.23235143332985844,0.23235143332985844
has_source_piccolo,0.10782865583456426,0.16962025316455695,0.16829019319493763,0.1794831374015188,0.1794831374015188,0.17594689106703879,0.17594689106703879
mesh_C15,0.1447562776957164,0.09746835443037975,0.09707558142062234,-0.14532249471621025,0.14532249471621025,-0.1466391141910286,0.1466391141910286
mesh_C16,0.0915805022156573,0.05949367088607595,0.059267080488462284,-0.12164768037458473,0.12164768037458473,-0.12259472529521213,0.12259472529521213
mesh_F03,0.053175775480059084,0.08354430379746836,0.08301139001197827,0.12055523950071374,0.12055523950071374,0.1186475050273934,0.1186475050273934
mesh_C18,0.15066469719350073,0.1962025316455696,0.19586387526598073,0.12049071356466838,0.12049071356466838,0.11963776517864676,0.11963776517864676
has_source_genebass,0.03766617429837518,0.06329113924050633,0.06270792745409975,0.11724707417857677,0.11724707417857677,0.11488549071006583,0.11488549071006583
mesh_C23,0.1085672082717873,0.14303797468354432,0.1422947848060595,0.10408513773326097,0.10408513773326097,0.10196458011101821,0.10196458011101821
log_assoc_traits,0.8288634999259831,0.8569462446016843,0.8559278080097701,0.10214642838889498,0.10214642838889498,0.09859059944370019,0.09859059944370019
phase_Phase I,0.25036927621861155,0.2936708860759494,0.2930138010240516,0.09742232543291438,0.09742232543291438,0.0959769704797347,0.0959769704797347
mesh_C12,0.1019202363367799,0.0759493670886076,0.07589658420294833,-0.09133311319095347,0.09133311319095347,-0.09153140796163335,0.09153140796163335
mesh_C14,0.0620384047267356,0.08481012658227848,0.08443850564364093,0.08738759240657906,0.08738759240657906,0.08605935222664497,0.08605935222664497
mesh_C17,0.10709010339734121,0.1291139240506329,0.13032000477454717,0.06828224601056347,0.06828224601056347,0.07186746530264192,0.07186746530264192
mesh_C09,0.014771048744460856,0.024050632911392405,0.023854860555672038,0.0672989876649094,0.0672989876649094,0.06604123539636786,0.06604123539636786
mesh_C05,0.04357459379615953,0.056962025316455694,0.05663335994701395,0.06129902231398916,0.06129902231398916,0.05988562851539228,0.05988562851539228
mesh_C01,0.007385524372230428,0.012658227848101266,0.012559349299772432,0.05295393132809921,0.05295393132809921,0.052087639392981486,0.052087639392981486
mesh_C25,0.0066469719350073855,0.01139240506329114,0.011296656714633235,0.050209325567914166,0.050209325567914166,0.049325603789064316,0.049325603789064316
mesh_C06,0.1344165435745938,0.1189873417721519,0.12030515738894643,-0.04639673340633006,0.04639673340633006,-0.04233812724439752,0.04233812724439752
phase_Phase III,0.11299852289512555,0.09873417721518987,0.09866263890935165,-0.04637547677466967,0.04637547677466967,-0.04661513142696482,0.04661513142696482
phase_Phase II,0.43131462333825704,0.4088607594936709,0.4102994212500468,-0.045504287897284806,0.045504287897284806,-0.04257736965769318,0.04257736965769318
mesh_C10,0.09379615952732644,0.08481012658227848,0.08449701521014898,-0.03151386152122914,0.03151386152122914,-0.03263804993085013,0.03263804993085013
approval,0.20531757754800592,0.19873417721518988,0.19802413881655012,-0.01639709661730007,0.01639709661730007,-0.018177648928885178,0.018177648928885178
phase_Launched,0.20531757754800592,0.19873417721518988,0.19802413881655012,-0.01639709661730007,0.01639709661730007,-0.018177648928885178,0.018177648928885178
mesh_C08,0.0915805022156573,0.0949367088607595,0.0943073573228198,0.011541699012530035,0.011541699012530035,0.009391593092507781,0.009391593092507781
mesh_C07,0.00812407680945347,0.008860759493670886,0.00879674529163902,0.008028238318252856,0.008028238318252856,0.007344347985754227,0.007344347985754227
mesh_C11,0.030280649926144758,0.03164556962025317,0.03154765413667416,0.007879851433841414,0.007879851433841414,0.007320170086975359,0.007320170086975359
mesh_C24,0.0014771048744460858,0.0012658227848101266,0.0012559008917636747,-0.005709134674434207,0.005709134674434207,-0.005988065575018244,0.005988065575018244
mesh_C19,0.07163958641063516,0.07088607594936709,0.07165004119000785,-0.0029289489508976477,0.0029289489508976477,4.05382885176712e-05,4.05382885176712e-05
mesh_C20,0.16986706056129985,0.17088607594936708,0.1710500521878801,0.002710414444159766,0.002710414444159766,0.003145964088675354,0.003145964088675354
