weight_scheme,model_id,exposure,formula,n,n_A,n_B,n_gene_clusters,effective_sample_size,status,error,converged,beta,cluster_robust_se,odds_ratio,ci_low,ci_high,p_value,warning_messages,n_parameters,bread_rank,design_full_rank,finite_sample_correction,condition_number
unweighted,SW1,n_ancestries_all,approval ~ n_ancestries_all,790,157,633,383,790.0,ok,,True,0.11836889902812052,0.0563080468606395,1.1256592894011024,1.0080392981422588,1.2570034106310952,0.0355386788689916,,2,2,True,1.0038901586626625,5.461087483779579
unweighted,SW2,n_ancestries_all,approval ~ n_ancestries_all + log_studies,790,157,633,383,790.0,ok,,True,0.02525263671026074,0.07698629099242399,1.0255741854867406,0.8819342952442187,1.192608582757896,0.7429005326167679,,3,3,True,1.0051657497156012,8.68970846271344
unweighted,SW3,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered,790,157,633,383,790.0,ok,,True,0.026325958224854926,0.0770305959318967,1.026675547276756,0.8828047398455842,1.1939929995849337,0.7325316925069786,,4,4,True,1.0064445865473004,13.530750237788185
unweighted,SW4,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,790.0,ok,,True,0.02138734420649908,0.08408272552301668,1.02161769270247,0.8663972394415357,1.20464685542566,0.799216879347163,,19,19,True,1.0260252205268197,39.616898014085166
ipw_untrimmed,SW1,n_ancestries_all,approval ~ n_ancestries_all,790,157,633,383,788.4793855532432,ok,,True,0.11934524448564324,0.05645265644160716,1.1267588584272923,1.0087380266387496,1.2585879500099784,0.03450871862612323,,2,2,True,1.0038901586626625,5.461087483779579
ipw_untrimmed,SW2,n_ancestries_all,approval ~ n_ancestries_all + log_studies,790,157,633,383,788.4793855532432,ok,,True,0.02461523557967023,0.07705246523941063,1.024920691632393,0.8812580226246075,1.192003246685553,0.7493771773375881,,3,3,True,1.0051657497156012,8.68970846271344
ipw_untrimmed,SW3,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered,790,157,633,383,788.4793855532432,ok,,True,0.025661271875311337,0.07709435581001133,1.0259933568015356,0.8821079052337235,1.1933487524091164,0.7392434446294949,,4,4,True,1.0064445865473004,13.530750237788185
ipw_untrimmed,SW4,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,788.4793855532432,ok,,True,0.020966312142216167,0.08406469941255541,1.0211876494337588,0.8660631331314333,1.2040972250896946,0.8030460845628729,,19,19,True,1.0260252205268197,39.616898014085166
ipw_trimmed,SW1,n_ancestries_all,approval ~ n_ancestries_all,790,157,633,383,789.6388566004618,ok,,True,0.11904706338549655,0.056347094315122165,1.126422930317482,1.0086459500727702,1.2579524240923998,0.03462256661325379,,2,2,True,1.0038901586626625,5.461087483779579
ipw_trimmed,SW2,n_ancestries_all,approval ~ n_ancestries_all + log_studies,790,157,633,383,789.6388566004618,ok,,True,0.024532696392131664,0.07701633259437504,1.0248360990023657,0.8812476938964263,1.1918204576224716,0.7500762066542319,,3,3,True,1.0051657497156012,8.68970846271344
ipw_trimmed,SW3,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered,790,157,633,383,789.6388566004618,ok,,True,0.025583062656477418,0.07706201886469238,1.0259131178003271,0.8820948236963883,1.193179799949774,0.7399042274900256,,4,4,True,1.0064445865473004,13.530750237788185
ipw_trimmed,SW4,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,789.6388566004618,ok,,True,0.02113381952785567,0.0840586982598275,1.0213587202345742,0.8662184056920553,1.2042847722287493,0.8014914148987695,,19,19,True,1.0260252205268197,39.616898014085166
unweighted,SW1,n_ancestries_initial,approval ~ n_ancestries_initial,790,157,633,383,790.0,ok,,True,0.16158382978049615,0.053831233280620026,1.175370985120255,1.057678647320589,1.306159442815922,0.0026849927414648576,,2,2,True,1.0038901586626625,4.969620649577799
unweighted,SW2,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies,790,157,633,383,790.0,ok,,True,0.11214950847431758,0.07340178661305041,1.1186801002979059,0.9687823070205435,1.2917712862152793,0.12654102632149775,,3,3,True,1.0051657497156012,8.209237347370546
unweighted,SW3,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies + earliest_year_centered,790,157,633,383,790.0,ok,,True,0.1074401863546317,0.07435923379194932,1.1134242607908835,0.9624229828927251,1.288117186054261,0.14849153212314065,,4,4,True,1.0064445865473004,13.349228235583967
unweighted,SW4,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,790.0,ok,,True,0.057459841831764384,0.08428785817945966,1.0591427365684918,0.8978598207013051,1.249396966610651,0.4954225978307113,,19,19,True,1.0260252205268197,38.6383950050226
ipw_untrimmed,SW1,n_ancestries_initial,approval ~ n_ancestries_initial,790,157,633,383,788.4793855532432,ok,,True,0.16245345862891994,0.05396504178031943,1.176393566205077,1.0583212436783953,1.3076387069380626,0.0026095006493121026,,2,2,True,1.0038901586626625,4.969620649577799
ipw_untrimmed,SW2,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies,790,157,633,383,788.4793855532432,ok,,True,0.11157838787926548,0.07343193707464898,1.1180413814634527,0.9681719587920519,1.2911100340318673,0.12864162215222144,,3,3,True,1.0051657497156012,8.209237347370546
