ti_uid	indication_association_similarity	target	indication_mesh_id	indication_mesh_term	historical_max_phase	active_max_phase	combined_max_phase	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	assoc_share	assoc_rank	source_name	abs_beta	abs_or	areas	genetic_insight	target_status	ab_tractable	sm_tractable	rhodop_gpcr	nuclear_receptor	enzyme	ion_channel	kinase
A2M-D002545	0.368	A2M	D002545	Brain Ischemia	Phase III		Phase III	TRUE	TRUE	TRUE	FALSE	TRUE		D054222	Cobblestone Lissencephaly	OTG		Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021			0.512621990891347	0.82	1	0.82	1	GWAS			neurology, cardiovascular	omim/tcga	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
A2M-D010003	0.235	A2M	D010003	Osteoarthritis	Preclinical		Preclinical	FALSE				FALSE		D054222	Cobblestone Lissencephaly	OTG		Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021			0.512621990891347	0.82	1	0.82	1	GWAS			musculoskeletal	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
A2M-D016491	0.198	A2M	D016491	Peripheral Vascular Diseases	Phase III		Phase III	TRUE	TRUE	TRUE	FALSE	TRUE		D054222	Cobblestone Lissencephaly	OTG		Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021			0.512621990891347	0.82	1	0.82	1	GWAS			cardiovascular	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
A2M-D020521	0.381	A2M	D020521	Stroke	Phase III		Phase III	TRUE	TRUE	TRUE	FALSE	TRUE		D054222	Cobblestone Lissencephaly	OTG		Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021			0.512621990891347	0.82	1	0.82	1	GWAS			neurology, cardiovascular	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
AADAT-D012559	0.602	AADAT	D012559	Schizophrenia	Preclinical		Preclinical	FALSE				FALSE		D012893	Sleep Wake Disorders	OTG		Ease of getting up in the morning	https://genetics.opentargets.org/study/GCST007986	2019			0.0974961079398028	0.89	1	0.89	1	GWAS			psychiatry	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
AAK1-D009437	0.235	AAK1	D009437	Neuralgia		Phase II	Phase II	TRUE	TRUE			FALSE		D006402	Hematologic Diseases	OTG		Hemoglobin levels	https://genetics.opentargets.org/study/GCST90025969	2021			0.114700921240431	0.77	1	0.77	1	GWAS	0.0202474		neurology, signs/symptoms	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
AAK1-D051474	0.221	AAK1	D051474	Neuralgia, Postherpetic		Phase II	Phase II	TRUE	TRUE			FALSE		D006402	Hematologic Diseases	OTG		Hemoglobin levels	https://genetics.opentargets.org/study/GCST90025969	2021			0.114700921240431	0.77	1	0.77	1	GWAS	0.0202474		neurology, signs/symptoms	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ABAT-D000544	0.218	ABAT	D000544	Alzheimer Disease	Phase II		Phase II	TRUE	TRUE	FALSE		FALSE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology, psychiatry	both	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D000690	0.438	ABAT	D000690	Amyotrophic Lateral Sclerosis	Preclinical		Preclinical	FALSE				FALSE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology, metabolic	both	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D004827	0.226	ABAT	D004827	Epilepsy		Preclinical	Preclinical					TRUE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology	both	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D004828	0.201	ABAT	D004828	Epilepsies, Partial	Preclinical		Preclinical	FALSE				TRUE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology	both	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D005600	0.331	ABAT	D005600	Fragile X Syndrome		Preclinical	Preclinical					FALSE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology, congenital	omim/tcga	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D005879	0.355	ABAT	D005879	Tourette Syndrome	Phase II		Phase II	TRUE	TRUE	FALSE		TRUE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology, congenital, psychiatry	omim/tcga	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D009103	0.222	ABAT	D009103	Multiple Sclerosis	Preclinical		Preclinical	FALSE				TRUE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology, immune	both	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D009293	0.201	ABAT	D009293	Opioid-Related Disorders	Preclinical		Preclinical	FALSE				TRUE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			psychiatry	gwas	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D009437	0.206	ABAT	D009437	Neuralgia		Preclinical	Preclinical					TRUE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology, signs/symptoms	both	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D010300	0.464	ABAT	D010300	Parkinson Disease	Preclinical		Preclinical	FALSE				TRUE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology	both	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D013036	0.213	ABAT	D013036	Spasms, Infantile	Launched	Launched	Launched	TRUE	TRUE	TRUE	TRUE	TRUE	2019	D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology	both	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D013313	0.031	ABAT	D013313	Stress Disorders, Post-Traumatic	Preclinical		Preclinical	FALSE				TRUE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			psychiatry	gwas	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D014402	0.355	ABAT	D014402	Tuberous Sclerosis		Preclinical	Preclinical					FALSE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			oncology	both	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D019970	0.194	ABAT	D019970	Cocaine-Related Disorders	Preclinical		Preclinical	FALSE				TRUE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			psychiatry	gwas	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D020820	0.247	ABAT	D020820	Dyskinesias	Preclinical		Preclinical	FALSE				TRUE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology, signs/symptoms	omim/tcga	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABCA1-D000544	0.355	ABCA1	D000544	Alzheimer Disease		Preclinical	Preclinical					FALSE		D013631	Tangier Disease	OMIM		Tangier disease, 205400 (3), Autosomal recessive	https://omim.org/entry/600046									OMIM			neurology, psychiatry	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D002545	0.482	ABCA1	D002545	Brain Ischemia	Preclinical		Preclinical	FALSE				FALSE		D003324	Coronary Artery Disease	OTG		Coronary artery disease	https://genetics.opentargets.org/study/GCST010866	2020			0.0542590431738623	0.68	1	0.68	1	GWAS			neurology, cardiovascular	omim/tcga	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D003920	0.712	ABCA1	D003920	Diabetes Mellitus		Preclinical	Preclinical					FALSE		D004700	Endocrine System Diseases	OTG		Sex hormone-binding globulin levels adjusted for BMI	https://genetics.opentargets.org/study/GCST90012106	2020			0.567091454272864	0.84	1	0.84	1	GWAS	0.00804594		metabolic, endocrine	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D003924	0.663	ABCA1	D003924	Diabetes Mellitus, Type 2	Preclinical		Preclinical	FALSE				FALSE		D004700	Endocrine System Diseases	OTG		Sex hormone-binding globulin levels adjusted for BMI	https://genetics.opentargets.org/study/GCST90012106	2020			0.567091454272864	0.84	1	0.84	1	GWAS	0.00804594		metabolic, endocrine	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D006333	0.442	ABCA1	D006333	Heart Failure	Preclinical		Preclinical	FALSE				FALSE		D003324	Coronary Artery Disease	OTG		Coronary artery disease	https://genetics.opentargets.org/study/GCST010866	2020			0.0542590431738623	0.68	1	0.68	1	GWAS			cardiovascular	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D006949	1	ABCA1	D006949	Hyperlipidemias	Phase I		Phase I	TRUE	FALSE			FALSE		D006949	Hyperlipidemias	OTG		Hyperlipidemia	https://genetics.opentargets.org/study/SAIGE_272_1	2018			0.122148781752203	0.81	1	0.81	1	GWAS		1.0744404344866745	metabolic	both	genetically supported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D008060	0.774	ABCA1	D008060	Lipodystrophy	Phase II		Phase II	TRUE	TRUE	FALSE		FALSE		D052439	Lipid Metabolism Disorders	OTG		Disorders of lipoid metabolism	https://genetics.opentargets.org/study/SAIGE_272	2018			0.122148781752203	0.81	1	0.81	1	GWAS		1.0749777890313592	dermatology, metabolic	omim/tcga	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D008103	0.681	ABCA1	D008103	Liver Cirrhosis		Phase III	Phase III	TRUE	TRUE	TRUE		FALSE		D008107	Liver Diseases	OTG		Liver enzyme levels (alkaline phosphatase)	https://genetics.opentargets.org/study/GCST90013406	2021			0.333181759126933	0.76	1	0.76	1	GWAS			digestive, signs/symptoms	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D009203	0.755	ABCA1	D009203	Myocardial Infarction	Preclinical		Preclinical	FALSE				FALSE		D003324	Coronary Artery Disease	OTG		Coronary artery disease	https://genetics.opentargets.org/study/GCST010866	2020			0.0542590431738623	0.68	1	0.68	1	GWAS			cardiovascular, signs/symptoms	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D020521	0.501	ABCA1	D020521	Stroke	Preclinical		Preclinical	FALSE				FALSE		D003324	Coronary Artery Disease	OTG		Coronary artery disease	https://genetics.opentargets.org/study/GCST010866	2020			0.0542590431738623	0.68	1	0.68	1	GWAS			neurology, cardiovascular	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D020961	0.443	ABCA1	D020961	Lewy Body Disease		Preclinical	Preclinical					FALSE		D006073	Gout	OTG		Urate levels	https://genetics.opentargets.org/study/GCST008972	2019			0.356501950585176	0.81	1	0.81	1	GWAS	0.0193		neurology, psychiatry	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D042882	0.488	ABCA1	D042882	Gallstones	Phase II		Phase II	TRUE	TRUE	FALSE		FALSE		D008107	Liver Diseases	OTG		Liver enzyme levels (alkaline phosphatase)	https://genetics.opentargets.org/study/GCST90013406	2021			0.333181759126933	0.76	1	0.76	1	GWAS			digestive, signs/symptoms	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D050197	0.821	ABCA1	D050197	Atherosclerosis		Preclinical	Preclinical					FALSE		D003324	Coronary Artery Disease	OTG		Coronary artery disease	https://genetics.opentargets.org/study/GCST010866	2020			0.0542590431738623	0.68	1	0.68	1	GWAS			cardiovascular	both	genetically supported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1-D065626	0.601	ABCA1	D065626	Non-alcoholic Fatty Liver Disease		Phase III	Phase III	TRUE	TRUE	TRUE		FALSE		D008107	Liver Diseases	OTG		Liver enzyme levels (alkaline phosphatase)	https://genetics.opentargets.org/study/GCST90013406	2021			0.333181759126933	0.76	1	0.76	1	GWAS			digestive	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA4-D008268	0.806	ABCA4	D008268	Macular Degeneration		Preclinical	Preclinical					TRUE		D012174	Retinitis Pigmentosa	OMIM		Retinal dystrophy, early-onset severe, 248200 (3), Autosomal recessive	https://omim.org/entry/601691									OMIM			ophthalmology	both	genetically supported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA4-D012174	1	ABCA4	D012174	Retinitis Pigmentosa	Preclinical		Preclinical	FALSE				TRUE		D012174	Retinitis Pigmentosa	OMIM		Retinal dystrophy, early-onset severe, 248200 (3), Autosomal recessive	https://omim.org/entry/601691									OMIM			ophthalmology, congenital	both	genetically supported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB1-D001943	0.035	ABCB1	D001943	Breast Neoplasms	Launched	Launched	Launched	TRUE	TRUE	TRUE	TRUE	FALSE		D049628	Body Size	OTG		Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020			0.180548336798337	0.71	1	0.71	1	GWAS	0.0158		oncology	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB1-D002289	0.033	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	Launched	Launched	TRUE	TRUE	TRUE	TRUE	FALSE		D049628	Body Size	OTG		Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020			0.180548336798337	0.71	1	0.71	1	GWAS	0.0158		oncology	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB1-D006086	0.033	ABCB1	D006086	Graft vs Host Disease	Phase III		Phase III	TRUE	TRUE	TRUE	FALSE	FALSE		D049628	Body Size	OTG		Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020			0.180548336798337	0.71	1	0.71	1	GWAS	0.0158		immune	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB1-D007239	0.043	ABCB1	D007239	Infections	Preclinical		Preclinical	FALSE				FALSE		D049628	Body Size	OTG		Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020			0.180548336798337	0.71	1	0.71	1	GWAS	0.0158		infection	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB1-D007938	0.037	ABCB1	D007938	Leukemia	Launched	Launched	Launched	TRUE	TRUE	TRUE	TRUE	FALSE		D049628	Body Size	OTG		Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020			0.180548336798337	0.71	1	0.71	1	GWAS	0.0158		oncology	omim/tcga	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB1-D008268	0.035	ABCB1	D008268	Macular Degeneration	Preclinical		Preclinical	FALSE				FALSE		D049628	Body Size	OTG		Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020			0.180548336798337	0.71	1	0.71	1	GWAS	0.0158		ophthalmology	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB1-D009369	0.044	ABCB1	D009369	Neoplasms	Launched	Launched	Launched	TRUE	TRUE	TRUE	TRUE	FALSE		D049628	Body Size	OTG		Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020			0.180548336798337	0.71	1	0.71	1	GWAS	0.0158		oncology	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB1-D015212	0.034	ABCB1	D015212	Inflammatory Bowel Diseases	Preclinical		Preclinical	FALSE				FALSE		D049628	Body Size	OTG		Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020			0.180548336798337	0.71	1	0.71	1	GWAS	0.0158		digestive	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB11-D002780	1	ABCB11	D002780	Cholestasis, Intrahepatic		Preclinical	Preclinical					FALSE		D002780	Cholestasis, Intrahepatic	OMIM		Cholestasis, benign recurrent intrahepatic, 2, 605479 (3), Autosomal recessive	https://omim.org/entry/603201									OMIM			digestive	both	genetically supported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB4-D002780	1	ABCB4	D002780	Cholestasis, Intrahepatic		Preclinical	Preclinical					TRUE		D002780	Cholestasis, Intrahepatic	OMIM		Cholestasis, progressive familial intrahepatic 3, 602347 (3), Autosomal recessive	https://omim.org/entry/171060									OMIM			digestive	both	genetically supported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D001749	0.606	ABCC1	D001749	Urinary Bladder Neoplasms	Preclinical		Preclinical	FALSE				FALSE		D051437	Renal Insufficiency	OTG		Creatinine levels	https://genetics.opentargets.org/study/GCST90025946	2021			0.586624951114587	0.63	1	0.63	1	GWAS	0.011183		oncology	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D001943	0.251	ABCC1	D001943	Breast Neoplasms	Preclinical		Preclinical	FALSE				FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		oncology	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D002289	0.233	ABCC1	D002289	Carcinoma, Non-Small-Cell Lung	Preclinical		Preclinical	FALSE				FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		oncology	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D003424	0.241	ABCC1	D003424	Crohn Disease	Phase I		Phase I	TRUE	FALSE			FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		digestive	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D003967	0.464	ABCC1	D003967	Diarrhea	Preclinical		Preclinical	FALSE				FALSE		D009765	Obesity	OTG		Hip circumference adjusted for BMI	https://genetics.opentargets.org/study/GCST90020028	2021			0.0333506358681547	0.51	1	0.51	1	GWAS	0.0461289		signs/symptoms	omim/tcga	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D005334	0.47	ABCC1	D005334	Fever	Preclinical		Preclinical	FALSE				FALSE		D009765	Obesity	OTG		Hip circumference adjusted for BMI	https://genetics.opentargets.org/study/GCST90020028	2021			0.0333506358681547	0.51	1	0.51	1	GWAS	0.0461289		signs/symptoms	omim/tcga	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D005767	0.317	ABCC1	D005767	Gastrointestinal Diseases	Phase II		Phase II	TRUE	TRUE	FALSE		FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		digestive	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D006258	0.255	ABCC1	D006258	Head and Neck Neoplasms	Preclinical		Preclinical	FALSE				FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		oncology	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D007239	0.335	ABCC1	D007239	Infections	Preclinical		Preclinical	FALSE				FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		infection	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D007249	0.397	ABCC1	D007249	Inflammation	Preclinical		Preclinical	FALSE				FALSE		D008218	Lymphocytosis	OTG		Lymphocyte counts	https://genetics.opentargets.org/study/GCST90002316	2020			0.0127124140614866	0.8	1	0.8	1	GWAS	0.052749		signs/symptoms	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D008107	0.293	ABCC1	D008107	Liver Diseases	Preclinical		Preclinical	FALSE				FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		digestive	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D008113	0.246	ABCC1	D008113	Liver Neoplasms		Phase II	Phase II	TRUE	TRUE			FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		oncology	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D008268	0.256	ABCC1	D008268	Macular Degeneration	Preclinical		Preclinical	FALSE				FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		ophthalmology	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D008545	0.254	ABCC1	D008545	Melanoma	Preclinical		Preclinical	FALSE				FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		oncology	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D009369	0.336	ABCC1	D009369	Neoplasms	Preclinical		Preclinical	FALSE				FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		oncology	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D010190	0.582	ABCC1	D010190	Pancreatic Neoplasms	Phase II		Phase II	TRUE	TRUE	FALSE		FALSE		D003920	Diabetes Mellitus	OTG		Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90018958	2021			0.252763739734681	0.77	1	0.77	1	GWAS	0.02		oncology	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D011471	0.521	ABCC1	D011471	Prostatic Neoplasms	Preclinical		Preclinical	FALSE				FALSE		D051437	Renal Insufficiency	OTG		Creatinine levels	https://genetics.opentargets.org/study/GCST90025946	2021			0.586624951114587	0.63	1	0.63	1	GWAS	0.011183		oncology	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D015179	0.254	ABCC1	D015179	Colorectal Neoplasms	Phase II		Phase II	TRUE	TRUE	FALSE		FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		oncology	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC1-D015212	0.248	ABCC1	D015212	Inflammatory Bowel Diseases	Preclinical		Preclinical	FALSE				FALSE		D006402	Hematologic Diseases	OTG		Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020			0.653976091476091	0.78	1	0.78	1	GWAS	0.0179439999999999		digestive	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC4-D009369	0.294	ABCC4	D009369	Neoplasms	Preclinical		Preclinical	FALSE				FALSE		D003920	Diabetes Mellitus	OTG		Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021			0.361154446177847	0.94	1	0.94	1	GWAS	0.0111291		oncology	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC8-D000787	0.454	ABCC8	D000787	Angina Pectoris	Preclinical		Preclinical	FALSE				FALSE		D001724	Birth Weight	Genebass	missenseLC skat continuous both_sexes irnt	Birth weight	https://genebass.org/gene/ENSG00000006071/phenotype/continuous-20022-both_sexes-NA-irnt?burdenSet=pLoF&phewasOpts=1&resultLayout=full	2021								GWAS	0.0018439		cardiovascular, signs/symptoms	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC8-D002545	0.227	ABCC8	D002545	Brain Ischemia		Phase III	Phase III	TRUE	TRUE	TRUE		TRUE		D003920	Diabetes Mellitus	OMIM		Diabetes mellitus, permanent neonatal 3, with or without neurologic features, 618857 (3), Autosomal dominant, Autosomal recessive	https://omim.org/entry/600509									OMIM			neurology, cardiovascular	omim/tcga	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCC8-D003920	1	ABCC8	D003920	Diabetes Mellitus	Launched	Launched	Launched	TRUE	TRUE	TRUE	TRUE	FALSE	2019	D003920	Diabetes Mellitus	OMIM		Diabetes mellitus, permanent neonatal 3, with or without neurologic features, 618857 (3), Autosomal dominant, Autosomal recessive	https://omim.org/entry/600509									OMIM			metabolic, endocrine	both	genetically supported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
